Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,234.12,239.86,234.01,239.36,238.28,45486100
2025-01-30,238.67,240.79,237.21,237.59,236.52,55658300
2025-01-31,247.19,247.19,233.44,236.0,234.94,100959800
2025-02-03,229.99,231.83,225.7,228.01,226.98,73063300
2025-02-04,227.25,233.13,226.65,232.8,231.75,45067300
2025-02-05,228.53,232.67,228.27,232.47,231.42,39620300
2025-02-06,231.29,233.8,230.43,233.22,232.17,29925300
2025-02-07,232.6,234.0,227.26,227.63,226.61,39707200
2025-02-10,229.57,230.59,227.2,227.65,226.87,33115600
2025-02-11,228.2,235.23,228.13,232.62,231.83,53718400
2025-02-12,231.2,236.96,230.68,236.87,236.06,45243300
2025-02-13,236.91,242.34,235.57,241.53,240.71,53614100
2025-02-14,241.25,245.55,240.99,244.6,243.77,40896200
2025-02-18,244.15,245.18,241.84,244.47,243.64,48822500
2025-02-19,244.66,246.01,243.16,244.87,244.04,32204200
2025-02-20,244.94,246.78,244.29,245.83,244.99,32316900
2025-02-21,245.95,248.69,245.22,245.55,244.71,53197400
2025-02-24,244.93,248.86,244.42,247.1,246.26,51326400
2025-02-25,248.0,250.0,244.91,247.04,246.2,48013300
2025-02-26,244.33,244.98,239.13,240.36,239.54,44433600
2025-02-27,239.41,242.46,237.06,237.3,236.49,41153600
2025-02-28,236.95,242.09,230.2,241.84,241.02,56833400
2025-03-03,241.79,244.03,236.11,238.03,237.22,47184000
2025-03-04,237.71,240.07,234.68,235.93,235.13,53798100
2025-03-05,235.42,236.55,229.23,235.74,234.94,47227600
2025-03-06,234.44,237.86,233.16,235.33,234.53,45170400
2025-03-07,235.11,241.37,234.76,239.07,238.26,46273600
2025-03-10,235.54,236.16,224.22,227.48,226.7,72071200
2025-03-11,223.81,225.84,217.45,220.84,220.09,76137400
2025-03-12,220.14,221.75,214.91,216.98,216.24,62547500
2025-03-13,215.95,216.84,208.42,209.68,208.97,61368300
2025-03-14,211.25,213.95,209.58,213.49,212.76,60107600
2025-03-17,213.31,215.22,209.97,214.0,213.27,48073400
2025-03-18,214.16,215.15,211.49,212.69,211.97,42432400
2025-03-19,214.22,218.76,213.75,215.24,214.51,54385400
2025-03-20,213.99,217.49,212.22,214.1,213.37,48862900
2025-03-21,211.56,218.84,211.28,218.27,217.53,94127800
2025-03-24,221.0,221.48,218.58,220.73,219.98,44299500
2025-03-25,220.77,224.1,220.08,223.75,222.99,34493600
2025-03-26,223.51,225.02,220.47,221.53,220.78,34466100
2025-03-27,221.39,224.99,220.56,223.85,223.09,37094800
2025-03-28,221.67,223.81,217.68,217.9,217.16,39818600
2025-03-31,217.01,225.62,216.23,222.13,221.37,65299300
2025-04-01,219.81,223.68,218.9,223.19,222.43,36412700
2025-04-02,221.32,225.19,221.02,223.89,223.13,35905900
2025-04-03,205.54,207.49,201.25,203.19,202.5,103419000
2025-04-04,193.89,199.88,187.34,188.38,187.74,125910900
2025-04-07,177.2,194.15,174.62,181.46,180.84,160466300
2025-04-08,186.7,190.34,169.21,172.42,171.83,120859500
2025-04-09,171.95,200.61,171.89,198.85,198.17,184395900
2025-04-10,189.07,194.78,183.0,190.42,189.77,121880000
2025-04-11,186.1,199.54,186.06,198.15,197.47,87435900
2025-04-14,211.44,212.94,201.16,202.52,201.83,101352900
2025-04-15,201.86,203.51,199.8,202.14,201.45,51343900
2025-04-16,198.36,200.7,192.37,194.27,193.61,59732400
2025-04-17,197.2,198.83,194.42,196.98,196.31,52164700
2025-04-21,193.27,193.8,189.81,193.16,192.5,46742500
2025-04-22,196.12,201.59,195.97,199.74,199.06,52976400
2025-04-23,206.0,208.0,202.8,204.6,203.9,52929200
2025-04-24,204.89,208.83,202.94,208.37,207.66,47311000
2025-04-25,206.37,209.75,206.2,209.28,208.57,38222300
2025-04-28,210.0,211.5,207.46,210.14,209.42,38743100
2025-04-29,208.69,212.24,208.37,211.21,210.49,36827600
2025-04-30,209.3,213.58,206.67,212.5,211.78,52286500
2025-05-01,209.08,214.56,208.9,213.32,212.59,57365700
2025-05-02,206.09,206.99,202.16,205.35,204.65,101010600
