Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,130.16,133.19,130.15,132.57,132.57,3704400
2025-02-07,134.7,139.5,133.91,134.98,134.98,5933200
2025-02-10,136.3,136.36,133.16,135.24,135.24,4760100
2025-02-11,134.91,136.25,134.09,134.52,134.52,4043000
2025-02-12,133.07,141.2,132.79,140.52,140.52,6147200
2025-02-13,139.64,141.94,138.76,141.04,141.04,12745300
2025-02-14,158.18,163.93,156.93,161.42,161.42,21649300
2025-02-18,161.04,162.58,158.07,160.6,160.6,8144500
2025-02-19,160.0,160.0,155.21,157.98,157.98,6906100
2025-02-20,156.32,157.75,152.47,155.31,155.31,5099700
2025-02-21,154.57,154.57,145.75,146.07,146.07,7356400
2025-02-24,147.0,147.07,143.88,144.82,144.82,4478900
2025-02-25,144.79,145.16,140.4,141.55,141.55,6189200
2025-02-26,143.16,145.13,142.22,144.03,144.03,2909400
2025-02-27,144.63,145.69,139.05,139.45,139.45,4411800
2025-02-28,139.5,140.16,137.59,138.87,138.87,6253100
2025-03-03,140.34,144.75,139.9,140.98,140.98,6688900
2025-03-04,139.99,143.23,137.82,141.42,141.42,4799500
2025-03-05,141.87,142.79,139.21,142.58,142.58,3881600
2025-03-06,140.32,140.32,134.61,134.77,134.77,5924300
2025-03-07,134.71,134.73,130.37,134.39,134.39,5616600
2025-03-10,134.57,135.94,130.2,132.15,132.15,7493000
2025-03-11,129.98,130.77,123.7,125.44,125.44,9318400
2025-03-12,127.0,127.48,123.53,126.55,126.55,4834100
2025-03-13,124.99,126.22,119.15,119.38,119.38,7669700
2025-03-14,121.88,124.45,121.57,122.86,122.86,4418200
2025-03-17,123.9,128.0,123.75,126.94,126.94,5266200
2025-03-18,126.0,126.07,123.0,124.56,124.56,3918000
2025-03-19,125.1,127.08,124.12,126.0,126.0,4353100
2025-03-20,124.7,127.77,124.36,126.15,126.15,3260600
2025-03-21,124.65,129.25,123.3,128.8,128.8,8704200
2025-03-24,130.24,130.72,128.69,129.82,129.82,3706200
2025-03-25,129.55,130.76,128.55,129.88,129.88,4362900
2025-03-26,129.97,131.0,127.85,128.64,128.64,3502100
2025-03-27,126.01,127.09,123.43,125.65,125.65,4904500
2025-03-28,125.54,125.54,119.94,120.69,120.69,3997100
2025-03-31,118.81,119.95,115.68,119.46,119.46,7090000
2025-04-01,119.67,121.35,117.8,121.18,121.18,3916400
2025-04-02,119.48,124.59,119.08,122.8,122.8,5184800
2025-04-03,116.62,117.18,111.8,113.97,113.97,7950600
2025-04-04,109.26,110.42,104.73,106.66,106.66,10259900
2025-04-07,103.01,110.91,99.88,106.3,106.3,9975600
2025-04-08,110.74,112.97,104.15,105.69,105.69,7661500
2025-04-09,105.73,123.29,105.39,121.32,121.32,12840700
2025-04-10,117.61,118.5,110.06,113.91,113.91,6929600
2025-04-11,113.87,115.43,111.59,114.54,114.54,4817300
2025-04-14,117.3,118.29,112.55,113.22,113.22,4338000
2025-04-15,114.22,115.71,113.52,114.64,114.64,5182400
2025-04-16,113.58,115.62,111.03,112.64,112.64,5026300
2025-04-17,113.75,114.0,111.86,112.7,112.7,4454600
2025-04-21,111.32,113.4,109.79,111.61,111.61,5695000
2025-04-22,112.59,115.8,112.05,114.91,114.91,4827200
2025-04-23,119.7,122.32,116.72,118.28,118.28,5183400
2025-04-24,118.86,121.89,118.0,121.71,121.71,3690300
2025-04-25,121.43,123.09,120.83,122.51,122.51,2905000
2025-04-28,122.51,125.23,122.11,123.3,123.3,5608800
2025-04-29,123.28,125.99,123.16,125.49,125.49,6525400
2025-04-30,121.06,122.25,118.05,121.92,121.92,7534200
2025-05-01,121.92,125.08,121.9,124.01,124.01,9431800
2025-05-02,121.1,126.56,120.13,125.26,125.26,11301600
2025-05-05,123.36,127.59,122.3,124.89,124.89,6761400
2025-05-06,123.14,124.5,121.57,121.67,121.67,5229300
2025-05-07,121.33,123.65,120.41,123.12,123.12,3423600
2025-05-08,124.62,127.63,123.62,126.39,126.39,3819900
2025-05-09,124.96,127.33,123.4,127.04,127.04,6145200
2025-05-12,133.16,134.85,132.14,134.21,134.21,7198300
2025-05-13,134.62,138.53,133.75,138.05,138.05,6890700
2025-05-14,138.35,139.84,137.1,137.45,137.45,6148700
2025-05-15,137.08,137.78,135.27,136.79,136.79,3463300
2025-05-16,137.55,138.45,136.21,138.0,138.0,3690200
2025-05-19,135.31,137.37,135.03,136.6,136.6,4904700
2025-05-20,133.76,134.6,131.39,132.13,132.13,6607900
2025-05-21,130.68,130.79,126.97,127.52,127.52,6687400
2025-05-22,126.79,128.33,125.94,127.65,127.65,6451800
2025-05-23,125.09,127.38,125.0,126.72,126.72,4371500
2025-05-27,128.68,130.4,128.35,129.4,129.4,7243800
2025-05-28,129.45,129.55,127.67,128.67,128.67,4752200
2025-05-29,130.0,130.0,126.96,128.36,128.36,4680600
2025-05-30,125.5,129.25,125.0,129.0,129.0,9562900
2025-06-02,128.85,129.77,127.99,129.62,129.62,5223100
2025-06-03,129.5,133.49,128.95,132.9,132.9,5809300
2025-06-04,132.28,134.85,131.64,133.51,133.51,4501000
2025-06-05,133.5,137.8,133.5,137.29,137.29,5858000
2025-06-06,139.18,143.88,138.95,140.64,140.64,9053500
2025-06-09,141.47,141.53,138.34,139.01,139.01,3990000
2025-06-10,139.22,140.6,138.13,138.56,138.56,4138000
2025-06-11,140.24,140.37,137.12,138.06,138.06,4020200
2025-06-12,137.13,139.4,136.7,138.81,138.81,3461000
2025-06-13,136.08,136.63,134.68,135.54,135.54,5090900
2025-06-16,138.56,139.29,136.83,137.21,137.21,3406800
2025-06-17,136.09,136.16,132.89,133.37,133.37,4773800
2025-06-18,132.71,133.82,131.69,132.17,132.17,3702500
2025-06-20,132.0,132.64,131.39,131.73,131.73,7968000
2025-06-23,131.53,131.53,127.04,130.53,130.53,4250200
2025-06-24,131.92,132.73,130.36,132.15,132.15,5045600
2025-06-25,132.8,133.03,128.77,129.67,129.67,3765600
2025-06-26,130.33,134.18,128.32,133.72,133.72,5138300
2025-06-27,134.01,134.58,132.1,134.52,134.52,4930600
