ticker,date,open,high,low,close,volume
ADBE,2020-01-01,330,332.33,329.44,330.4,12697083
ADBE,2020-01-02,330.4,330.86,326.39,328.42,10187729
ADBE,2020-01-03,328.42,328.93,326.97,328.43,15350971
ADBE,2020-01-06,328.43,330.0,322.55,324.82,11443792
ADBE,2020-01-07,324.82,326.88,319.81,321.9,6490758
ADBE,2020-01-08,321.9,324.72,318.95,323.74,3929794
ADBE,2020-01-09,323.74,327.16,320.6,325.17,7380549
ADBE,2020-01-10,325.17,327.32,322.62,323.65,10309067
ADBE,2020-01-13,323.65,332.04,323.48,328.98,10459936
ADBE,2020-01-14,328.98,332.78,325.7,331.44,12714393
ADBE,2020-01-15,331.44,332.58,326.0,326.03,11301197
ADBE,2020-01-16,326.03,330.04,325.76,329.63,7517814
ADBE,2020-01-17,329.63,337.17,327.33,333.93,10231141
ADBE,2020-01-20,333.93,343.15,332.51,340.66,8715207
ADBE,2020-01-21,340.66,341.02,339.76,340.58,8346798
ADBE,2020-01-22,340.58,341.64,334.92,338.09,11141318
ADBE,2020-01-23,338.09,341.29,327.6,328.51,10377680
ADBE,2020-01-24,328.51,335.17,327.45,333.77,5400876
ADBE,2020-01-27,333.77,335.77,331.93,335.32,8275491
ADBE,2020-01-28,335.32,341.99,335.18,338.28,12296020
ADBE,2020-01-29,338.28,340.05,335.9,336.34,11697211
ADBE,2020-01-30,336.34,350.23,334.56,349.38,10989855
ADBE,2020-01-31,349.38,357.22,345.94,354.1,9292630
ADBE,2020-02-03,354.1,355.25,351.53,353.02,8157208
ADBE,2020-02-04,353.02,353.1,346.71,346.79,16163682
ADBE,2020-02-05,346.79,352.17,344.03,349.63,10453818
ADBE,2020-02-06,349.63,353.37,348.97,351.34,6869749
ADBE,2020-02-07,351.34,353.39,345.38,346.08,6424236
ADBE,2020-02-10,346.08,357.61,345.97,357.37,4920320
ADBE,2020-02-11,357.37,364.22,354.84,362.5,17268641
ADBE,2020-02-12,362.5,364.23,362.27,363.3,14986442
ADBE,2020-02-13,363.3,365.85,362.07,364.51,10060300
ADBE,2020-02-14,364.51,374.15,363.39,372.41,11838889
ADBE,2020-02-17,372.41,374.67,370.57,371.09,11800872
ADBE,2020-02-18,371.09,371.21,352.77,352.83,12914581
ADBE,2020-02-19,352.83,355.54,349.46,350.87,12676457
ADBE,2020-02-20,350.87,351.04,341.88,345.14,15559165
ADBE,2020-02-21,345.14,350.71,345.01,349.35,12776681
ADBE,2020-02-24,349.35,352.2,343.91,344.27,7065450
ADBE,2020-02-25,344.27,346.73,341.88,343.78,9504147
ADBE,2020-02-26,343.78,356.33,342.48,354.14,7290269
ADBE,2020-02-27,354.14,358.66,346.83,348.73,12014202
ADBE,2020-02-28,348.73,354.69,347.85,352.92,13558433
ADBE,2020-03-02,352.92,353.23,343.81,345.57,7232635
ADBE,2020-03-03,345.57,359.23,344.27,356.43,10599778
ADBE,2020-03-04,356.43,358.3,354.42,356.25,5440530
ADBE,2020-03-05,356.25,360.17,348.19,348.21,7684144
ADBE,2020-03-06,348.21,350.83,346.61,350.45,6888018
ADBE,2020-03-09,350.45,354.44,348.48,353.46,9531312
ADBE,2020-03-10,353.46,359.25,352.36,356.28,8522414
ADBE,2020-03-11,356.28,356.85,346.45,348.67,13818556
ADBE,2020-03-12,348.67,351.94,345.0,345.62,9688519
ADBE,2020-03-13,345.62,346.44,335.83,340.81,12436287
ADBE,2020-03-16,340.81,342.29,332.13,334.66,14546215
ADBE,2020-03-17,334.66,335.02,330.33,332.39,9632859
ADBE,2020-03-18,332.39,336.68,330.24,335.29,10771162
ADBE,2020-03-19,335.29,337.31,334.55,335.92,9499230
ADBE,2020-03-20,335.92,336.6,328.83,330.95,8254642
ADBE,2020-03-23,330.95,339.31,330.76,336.62,6461733
ADBE,2020-03-24,336.62,339.41,336.0,338.54,12948271
ADBE,2020-03-25,338.54,340.69,330.9,331.77,9181889
ADBE,2020-03-26,331.77,337.27,330.71,336.93,14572508
ADBE,2020-03-27,336.93,337.36,334.52,336.01,10189358
ADBE,2020-03-30,336.01,339.65,333.83,336.31,10480768
ADBE,2020-03-31,336.31,341.4,335.99,340.7,9151790
ADBE,2020-04-01,340.7,346.36,338.62,343.68,7942644
ADBE,2020-04-02,343.68,354.32,342.49,353.88,6375018
ADBE,2020-04-03,353.88,356.47,349.33,349.64,8155590
ADBE,2020-04-06,349.64,354.33,349.51,352.97,8609224
ADBE,2020-04-07,352.97,362.07,352.26,361.73,9610881
ADBE,2020-04-08,361.73,362.99,355.09,356.29,12409460
ADBE,2020-04-09,356.29,356.78,352.14,353.3,8927238
ADBE,2020-04-10,353.3,353.97,346.35,348.5,12524592
ADBE,2020-04-13,348.5,362.8,348.43,360.63,7979815
ADBE,2020-04-14,360.63,363.66,353.41,355.29,10810554
ADBE,2020-04-15,355.29,357.7,353.04,354.23,7048517
ADBE,2020-04-16,354.23,355.42,351.71,352.94,9373793
ADBE,2020-04-17,352.94,353.6,341.58,343.47,8738652
ADBE,2020-04-20,343.47,344.32,336.28,337.34,9562378
ADBE,2020-04-21,337.34,341.46,325.72,325.78,13660196
ADBE,2020-04-22,325.78,326.84,322.08,322.79,11542337
ADBE,2020-04-23,322.79,323.81,320.75,322.32,8133864
ADBE,2020-04-24,322.32,325.23,320.73,323.87,11399407
ADBE,2020-04-27,323.87,327.66,323.02,324.16,6729961
ADBE,2020-04-28,324.16,324.93,317.28,318.39,13463734
ADBE,2020-04-29,318.39,319.15,312.68,313.59,8454307
ADBE,2020-04-30,313.59,317.32,312.94,316.2,11841676
ADBE,2020-05-01,316.2,324.67,316.12,321.38,11736487
ADBE,2020-05-04,321.38,322.5,316.57,317.35,2862048
ADBE,2020-05-05,317.35,317.59,312.35,315.58,12177096
ADBE,2020-05-06,315.58,316.26,314.15,314.21,12105045
ADBE,2020-05-07,314.21,318.09,312.69,317.93,10902149
ADBE,2020-05-08,317.93,326.14,315.29,324.75,8045197
ADBE,2020-05-11,324.75,326.54,324.0,326.16,13106563
ADBE,2020-05-12,326.16,328.27,325.19,326.53,12661363
ADBE,2020-05-13,326.53,328.6,325.11,327.54,15819016
ADBE,2020-05-14,327.54,332.47,325.97,331.57,11202929
ADBE,2020-05-15,331.57,337.22,330.45,336.53,10808557
ADBE,2020-05-18,336.53,340.9,332.29,335.49,8980380
ADBE,2020-05-19,335.49,344.64,334.14,344.58,10611415
ADBE,2020-05-20,344.58,350.97,342.35,349.63,5143804
ADBE,2020-05-21,349.63,352.17,349.63,349.77,13280606
ADBE,2020-05-22,349.77,354.3,349.68,351.25,10482261
ADBE,2020-05-25,351.25,351.42,345.09,345.29,14167309
ADBE,2020-05-26,345.29,347.44,343.46,345.88,7580291
ADBE,2020-05-27,345.88,345.99,342.44,344.36,11821694
ADBE,2020-05-28,344.36,354.25,342.56,353.4,14299256
ADBE,2020-05-29,353.4,359.88,353.21,357.12,8759332
ADBE,2020-06-01,357.12,360.83,354.76,359.81,11047089
ADBE,2020-06-02,359.81,363.72,355.14,362.74,7666079
ADBE,2020-06-03,362.74,367.19,362.67,365.75,6589735
ADBE,2020-06-04,365.75,370.8,363.79,369.44,5275939
ADBE,2020-06-05,369.44,372.94,367.91,369.45,12946419
ADBE,2020-06-08,369.45,369.54,366.25,367.82,11659455
ADBE,2020-06-09,367.82,373.5,364.15,372.72,14224770
ADBE,2020-06-10,372.72,381.21,370.33,378.59,8998890
ADBE,2020-06-11,378.59,379.76,377.93,379.38,10260855
ADBE,2020-06-12,379.38,383.9,378.19,383.55,12775870
ADBE,2020-06-15,383.55,386.36,381.8,383.67,12132685
ADBE,2020-06-16,383.67,385.55,382.2,384.65,10006968
ADBE,2020-06-17,384.65,389.02,383.38,384.55,12595110
ADBE,2020-06-18,384.55,384.99,375.04,376.32,5962486
ADBE,2020-06-19,376.32,377.37,371.29,374.94,9761384
ADBE,2020-06-22,374.94,376.95,363.95,364.96,8278438
ADBE,2020-06-23,364.96,368.05,355.44,359.01,11418716
ADBE,2020-06-24,359.01,360.67,354.62,357.87,10915342
ADBE,2020-06-25,357.87,358.89,350.58,351.46,12038767
ADBE,2020-06-26,351.46,360.29,348.61,356.59,6268689
ADBE,2020-06-29,356.59,358.54,354.96,355.21,11243032
ADBE,2020-06-30,355.21,359.19,344.94,352.62,7401693
ADBE,2020-07-01,352.62,355.57,344.13,345.74,9556235
ADBE,2020-07-02,345.74,354.53,344.13,354.39,8800596
ADBE,2020-07-03,354.39,355.9,351.99,354.7,12636399
ADBE,2020-07-06,354.7,358.29,351.18,353.2,12544926
ADBE,2020-07-07,353.2,353.77,340.7,344.01,8402210
ADBE,2020-07-08,344.01,346.79,337.7,340.02,12381367
ADBE,2020-07-09,340.02,341.34,334.36,336.41,15835549
ADBE,2020-07-10,336.41,340.24,335.27,339.99,5191804
ADBE,2020-07-13,339.99,342.94,330.71,332.41,10139236
ADBE,2020-07-14,332.41,339.12,331.08,336.51,11874306
ADBE,2020-07-15,336.51,342.27,335.85,340.31,10497837
ADBE,2020-07-16,340.31,342.38,331.8,332.3,7435248
ADBE,2020-07-17,332.3,337.08,332.3,335.88,10951925
ADBE,2020-07-20,335.88,339.51,334.0,339.08,6389369
ADBE,2020-07-21,339.08,341.63,338.7,341.17,7306666
ADBE,2020-07-22,341.17,343.33,337.74,338.52,12769544
ADBE,2020-07-23,338.52,339.23,331.25,331.78,15012791
ADBE,2020-07-24,331.78,332.63,325.5,326.63,9995868
ADBE,2020-07-27,326.63,327.64,323.02,326.41,18630740
ADBE,2020-07-28,326.41,330.22,324.49,324.53,12206121
ADBE,2020-07-29,324.53,326.69,320.98,322.86,12157735
ADBE,2020-07-30,322.86,324.15,316.72,319.66,2446514
ADBE,2020-07-31,319.66,319.95,316.15,318.11,5805547
ADBE,2020-08-03,318.11,318.12,313.68,314.74,981715
ADBE,2020-08-04,314.74,315.63,308.65,310.62,14521450
ADBE,2020-08-05,310.62,312.55,309.73,310.43,6418905
ADBE,2020-08-06,310.43,313.5,308.22,312.78,8171113
ADBE,2020-08-07,312.78,313.47,309.45,310.25,7689186
ADBE,2020-08-10,310.25,312.5,307.96,312.35,8816333
ADBE,2020-08-11,312.35,313.64,305.24,307.07,11115175
ADBE,2020-08-12,307.07,308.44,306.49,306.58,10276002
ADBE,2020-08-13,306.58,308.43,304.73,305.98,9916424
ADBE,2020-08-14,305.98,308.87,305.82,306.93,13164090
