Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,208.84,211.45,202.77,206.35,204.5,32533700
2025-01-30,218.57,221.96,213.7,215.66,213.73,42449500
2025-01-31,219.66,226.8,216.3,221.27,219.29,41104700
2025-02-03,215.46,220.94,213.51,217.73,215.78,24507300
2025-02-04,219.35,223.03,215.3,222.43,220.44,23768500
2025-02-05,233.94,237.93,227.5,232.0,229.92,29196000
2025-02-06,234.5,234.8,228.56,231.36,229.29,21169500
2025-02-07,235.0,235.65,224.11,224.87,222.86,22117500
2025-02-10,227.43,235.82,227.12,235.04,232.94,23901600
2025-02-11,232.48,237.89,229.97,235.04,232.94,18476200
2025-02-12,230.36,236.48,230.0,236.35,234.23,16397300
2025-02-13,236.06,236.95,230.73,235.8,233.69,20962000
2025-02-14,234.53,235.74,228.9,233.04,230.95,16988800
2025-02-18,230.1,232.2,224.3,228.53,226.48,26080500
2025-02-19,227.85,229.07,224.4,228.73,226.68,16375500
2025-02-20,228.65,228.98,222.75,226.74,224.71,16104000
2025-02-21,225.65,227.75,215.63,218.66,216.7,24883600
2025-02-24,218.6,219.48,207.54,207.93,206.07,33050400
2025-02-25,207.0,208.64,200.92,202.54,200.73,33100800
2025-02-26,206.91,213.54,206.0,212.94,211.03,21368300
2025-02-27,217.28,219.25,197.4,197.8,196.03,27572900
2025-02-28,195.76,201.19,193.15,199.43,197.64,39747200
2025-03-03,204.0,204.06,184.53,187.37,185.69,37435600
2025-03-04,189.22,193.95,180.48,187.48,185.8,37910500
2025-03-05,191.86,194.08,187.1,191.58,189.86,25644500
2025-03-06,181.04,186.83,177.61,179.45,177.84,56864100
2025-03-07,187.73,195.48,181.56,194.96,193.21,74528900
2025-03-10,189.6,191.98,180.43,184.45,182.8,44217100
2025-03-11,188.05,195.62,185.35,190.09,188.39,42153200
2025-03-12,196.22,199.98,192.45,194.23,192.49,30409700
2025-03-13,193.15,196.32,189.47,191.36,189.65,27236100
2025-03-14,196.2,197.5,193.2,195.54,193.79,25900900
2025-03-17,188.05,196.72,187.5,194.5,192.76,26830600
2025-03-18,190.44,192.89,186.9,188.67,186.98,24951000
2025-03-19,189.34,198.27,186.9,195.57,193.82,37962700
2025-03-20,191.52,193.84,188.94,190.54,189.41,31430000
2025-03-21,188.21,192.07,187.37,191.66,190.52,43086500
2025-03-24,194.3,196.69,190.67,191.25,190.11,33180300
2025-03-25,190.89,191.6,187.68,188.26,187.14,23417300
2025-03-26,186.66,188.06,177.58,179.27,178.2,30578500
2025-03-27,177.66,178.38,170.46,171.99,170.97,32151700
2025-03-28,171.93,173.3,166.47,169.12,168.11,30391500
2025-03-31,164.49,167.94,160.62,167.43,166.43,35656400
