Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,192.13,193.11,188.18,189.43,189.43,56805412
2023-01-04,189.43,190.87,187.46,188.68,188.68,30869550
2023-01-05,188.68,190.37,184.84,185.92,185.92,74579562
2023-01-06,185.92,186.51,182.62,182.90,182.90,33044371
2023-01-07,182.90,186.67,181.30,185.36,185.36,20514867
2023-01-10,185.36,187.02,182.20,183.62,183.62,39286884
2023-01-11,183.62,186.04,183.00,185.81,185.81,55231482
2023-01-12,185.81,187.46,184.22,186.36,186.36,35994437
2023-01-13,186.36,187.19,185.05,186.48,186.48,25298952
2023-01-14,186.48,187.67,186.45,187.57,187.57,37624709
2023-01-17,187.57,191.37,187.01,190.06,190.06,51616611
2023-01-18,190.06,190.56,186.12,187.03,187.03,75603405
2023-01-19,187.03,190.13,186.91,189.42,189.42,22038096
2023-01-20,189.42,190.07,187.43,188.06,188.06,62710348
2023-01-21,188.06,189.79,187.52,188.55,188.55,22575174
2023-01-24,188.55,191.14,188.34,189.47,189.47,25161925
2023-01-25,189.47,189.58,188.09,189.54,189.54,52318416
2023-01-26,189.54,192.23,188.68,190.86,190.86,64067546
2023-01-27,190.86,191.78,190.57,191.69,191.69,39327023
2023-01-28,191.69,192.44,189.23,189.28,189.28,25530570
2023-01-31,189.28,190.69,188.61,189.33,189.33,23650349
2023-02-01,189.33,190.08,187.92,188.10,188.10,23919424
2023-02-02,188.10,192.01,187.66,190.30,190.30,53989285
2023-02-03,190.30,193.07,189.71,191.51,191.51,65162827
2023-02-04,191.51,191.60,187.52,189.15,189.15,28740998
2023-02-07,189.15,193.17,187.98,192.27,192.27,36576656
2023-02-08,192.27,193.41,187.85,189.39,189.39,27880523
2023-02-09,189.39,190.52,186.24,186.79,186.79,61664745
2023-02-10,186.79,187.84,186.32,187.05,187.05,20455962
2023-02-11,187.05,187.38,185.11,185.52,185.52,36961098
2023-02-14,185.52,187.37,184.77,187.23,187.23,36257844
2023-02-15,187.23,189.81,185.65,189.78,189.78,33683699
2023-02-16,189.78,191.35,187.39,189.02,189.02,20605140
2023-02-17,189.02,190.09,185.94,186.77,186.77,53926982
2023-02-18,186.77,190.35,185.16,189.23,189.23,64870757
2023-02-21,189.23,191.42,189.04,191.05,191.05,32476941
2023-02-22,191.05,191.60,188.76,189.38,189.38,19340806
2023-02-23,189.38,190.09,188.38,189.61,189.61,29596442
2023-02-24,189.61,193.38,189.13,192.59,192.59,23271776
2023-02-25,192.59,193.84,191.63,192.49,192.49,33721834
2023-02-28,192.49,193.92,190.77,191.08,191.08,36738978
2023-03-01,191.08,192.90,190.77,192.27,192.27,36181166
2023-03-02,192.27,193.21,190.67,190.87,190.87,18292232
2023-03-03,190.87,192.04,187.24,187.69,187.69,13770369
2023-03-04,187.69,190.86,187.45,190.34,190.34,53739437
2023-03-07,190.34,193.16,189.92,193.14,193.14,29884622
2023-03-08,193.14,194.20,191.44,192.16,192.16,27466299
2023-03-09,192.16,194.49,190.73,193.62,193.62,30969247
2023-03-10,193.62,193.79,190.75,192.41,192.41,49260371
2023-03-11,192.41,193.35,188.78,190.07,190.07,28039587
2023-03-13,190.07,192.02,189.03,191.25,191.25,20861710
2023-03-14,191.25,192.59,188.16,188.50,188.50,15568915
2023-03-15,188.50,190.95,188.20,189.62,189.62,55699525
2023-03-16,189.62,190.19,188.23,189.17,189.17,61557674
2023-03-17,189.17,190.47,187.14,188.39,188.39,53773828
2023-03-20,188.39,189.49,183.85,185.30,185.30,48726883
2023-03-21,185.30,188.40,184.35,187.55,187.55,31169146
2023-03-22,187.55,187.59,187.03,187.48,187.48,17389056
2023-03-23,187.48,189.72,186.95,189.28,189.28,69151986
2023-03-24,189.28,190.13,185.56,186.36,186.36,43088842
2023-03-27,186.36,187.43,186.10,186.16,186.16,55108608
2023-03-28,186.16,188.58,185.98,187.94,187.94,63598610
2023-03-29,187.94,191.34,186.99,190.80,190.80,21110546
2023-03-30,190.80,193.57,190.33,192.74,192.74,14978748
2023-03-31,192.74,194.43,188.99,190.55,190.55,42692931
2023-04-03,190.55,192.92,189.35,191.61,191.61,20737194
2023-04-04,191.61,191.68,187.25,188.77,188.77,25207207
2023-04-05,188.77,189.80,186.05,187.09,187.09,38575926
2023-04-06,187.09,187.81,184.66,185.81,185.81,56989016
2023-04-07,185.81,187.85,184.74,187.27,187.27,38496646
2023-04-10,187.27,189.45,186.73,188.88,188.88,61428676
2023-04-11,188.88,190.65,188.68,189.93,189.93,51137200
2023-04-12,189.93,191.78,189.52,190.17,190.17,28659581
2023-04-13,190.17,190.92,189.16,190.40,190.40,42302103
2023-04-14,190.40,193.86,189.44,192.82,192.82,20493280
2023-04-17,192.82,193.58,192.75,193.32,193.32,24626378
2023-04-18,193.32,197.79,192.09,196.45,196.45,15159936
2023-04-19,196.45,199.39,196.32,199.17,199.17,15853465
2023-04-20,199.17,202.85,197.74,202.07,202.07,52793528
2023-04-21,202.07,203.70,199.55,200.54,200.54,44215496
2023-04-24,200.54,204.52,199.01,204.15,204.15,70203214
2023-04-25,204.15,206.23,203.57,205.45,205.45,28039899
2023-04-26,205.45,207.74,204.09,205.95,205.95,37025228
2023-04-27,205.95,209.96,205.44,208.18,208.18,69645671
2023-04-28,208.18,211.19,207.82,209.99,209.99,43863815
2023-05-01,209.99,211.99,209.29,211.76,211.76,24695568
2023-05-02,211.76,212.06,211.53,211.87,211.87,22944818
2023-05-03,211.87,212.10,209.24,211.11,211.11,36321642
2023-05-04,211.11,214.79,209.37,213.44,213.44,42713250
2023-05-05,213.44,215.19,211.57,212.10,212.10,17061128
2023-05-08,212.10,213.64,210.35,213.32,213.32,20284040
2023-05-09,213.32,213.72,211.86,213.25,213.25,50238188
2023-05-10,213.25,215.71,213.12,213.84,213.84,18602356
2023-05-11,213.84,214.94,212.04,212.07,212.07,12684602
2023-05-12,212.07,213.54,208.01,208.86,208.86,44184560
2023-05-15,208.86,209.43,205.67,206.50,206.50,48026242
2023-05-16,206.50,209.02,206.06,208.55,208.55,36629708
2023-05-17,208.55,208.61,204.89,205.77,205.77,61549411
2023-05-18,205.77,207.01,205.08,205.73,205.73,59136444
2023-05-19,205.73,206.15,200.77,202.24,202.24,31745323
2023-05-22,202.24,202.36,199.10,200.30,200.30,36346303
2023-05-23,200.30,202.09,197.08,198.14,198.14,26159767
2023-05-24,198.14,200.81,196.65,200.37,200.37,29765862
2023-05-25,200.37,201.14,198.68,199.58,199.58,26061736
2023-05-26,199.58,203.09,199.56,202.13,202.13,38316957
2023-05-29,202.13,202.84,198.42,199.84,199.84,47809536
2023-05-30,199.84,201.07,197.25,198.20,198.20,41272170
2023-05-31,198.20,201.23,196.69,200.43,200.43,66128226
2023-06-01,200.43,201.09,197.52,198.01,198.01,20461080
2023-06-02,198.01,198.36,194.52,194.93,194.93,37239469
2023-06-05,194.93,195.61,192.95,192.96,192.96,71482982
2023-06-06,192.96,193.20,189.61,190.12,190.12,49850382
2023-06-07,190.12,193.51,188.81,192.30,192.30,58650874
2023-06-08,192.30,195.17,191.43,194.14,194.14,69022180
2023-06-09,194.14,195.67,190.59,191.10,191.10,15677626
2023-06-12,191.10,192.65,190.67,191.94,191.94,14157265
2023-06-13,191.94,192.88,190.85,192.76,192.76,50997500
2023-06-14,192.76,193.55,191.09,193.34,193.34,62134527
2023-06-15,193.34,194.55,189.19,190.20,190.20,64696588
2023-06-16,190.20,192.96,190.10,191.62,191.62,26707507
2023-06-19,191.62,192.18,187.66,188.86,188.86,67994493
2023-06-20,188.86,192.60,188.78,191.66,191.66,72636930
2023-06-21,191.66,195.80,191.17,194.83,194.83,42323086
2023-06-22,194.83,196.10,191.00,191.84,191.84,33113699
2023-06-23,191.84,195.62,191.28,194.58,194.58,40147530
2023-06-26,194.58,195.36,193.13,194.97,194.97,14325944
2023-06-27,194.97,195.12,191.48,191.82,191.82,14506255
2023-06-28,191.82,193.90,190.13,193.89,193.89,45748995
2023-06-29,193.89,195.41,192.02,193.29,193.29,18422542
2023-06-30,193.29,196.72,192.00,195.52,195.52,29397105
2023-07-03,195.52,197.36,193.83,195.98,195.98,16731936
2023-07-04,195.98,197.54,195.27,197.17,197.17,52769004
2023-07-05,197.17,200.43,196.31,198.68,198.68,46378472
2023-07-06,198.68,200.40,195.30,195.43,195.43,37469563
