ticker,date,open,high,low,close,volume
BRK-B,2020-01-01,220,223.67,218.36,222.84,10393564
BRK-B,2020-01-02,222.84,222.96,215.86,216.22,17724471
BRK-B,2020-01-03,216.22,220.11,213.45,218.83,8044243
BRK-B,2020-01-06,218.83,219.68,217.8,218.36,10808488
BRK-B,2020-01-07,218.36,218.84,215.99,217.76,8412445
BRK-B,2020-01-08,217.76,218.04,214.89,216.18,4534454
BRK-B,2020-01-09,216.18,217.03,214.9,215.45,9953277
BRK-B,2020-01-10,215.45,216.28,214.92,215.48,11506755
BRK-B,2020-01-13,215.48,216.33,212.15,212.58,11593222
BRK-B,2020-01-14,212.58,213.0,211.93,212.01,10790916
BRK-B,2020-01-15,212.01,213.58,206.35,207.09,9560888
BRK-B,2020-01-16,207.09,208.21,206.5,206.74,13234888
BRK-B,2020-01-17,206.74,210.04,205.01,208.36,13421067
BRK-B,2020-01-20,208.36,210.84,207.02,210.07,6139549
BRK-B,2020-01-21,210.07,213.65,209.24,212.0,11595315
BRK-B,2020-01-22,212.0,215.8,211.04,215.18,7218090
BRK-B,2020-01-23,215.18,216.09,211.77,213.03,17205652
BRK-B,2020-01-24,213.03,214.0,212.35,213.93,10978408
BRK-B,2020-01-27,213.93,215.07,210.92,211.85,16850504
BRK-B,2020-01-28,211.85,212.04,208.44,209.96,10017718
BRK-B,2020-01-29,209.96,209.98,207.32,207.89,12380852
BRK-B,2020-01-30,207.89,208.77,203.05,203.09,7243545
BRK-B,2020-01-31,203.09,204.09,201.08,202.46,8158317
BRK-B,2020-02-03,202.46,202.57,199.62,201.8,8359463
BRK-B,2020-02-04,201.8,202.82,198.6,198.77,10013921
BRK-B,2020-02-05,198.77,198.99,198.41,198.94,7509782
BRK-B,2020-02-06,198.94,202.07,198.46,199.73,13853480
BRK-B,2020-02-07,199.73,203.06,198.22,202.75,11367314
BRK-B,2020-02-10,202.75,203.96,198.39,198.7,11920592
BRK-B,2020-02-11,198.7,200.8,197.66,199.85,11568686
BRK-B,2020-02-12,199.85,200.6,196.79,197.74,7391811
BRK-B,2020-02-13,197.74,199.52,196.46,199.3,8566187
BRK-B,2020-02-14,199.3,205.5,198.41,202.99,4468244
BRK-B,2020-02-17,202.99,203.78,198.48,198.77,11226728
BRK-B,2020-02-18,198.77,203.88,197.0,201.98,11858038
BRK-B,2020-02-19,201.98,202.45,200.71,202.42,9364975
BRK-B,2020-02-20,202.42,209.74,202.29,208.33,15186073
BRK-B,2020-02-21,208.33,208.77,207.09,208.2,7371129
BRK-B,2020-02-24,208.2,208.87,207.4,207.62,11718782
BRK-B,2020-02-25,207.62,208.05,203.06,203.07,9110903
BRK-B,2020-02-26,203.07,204.64,201.63,202.21,9819959
BRK-B,2020-02-27,202.21,203.96,200.51,200.75,6574691
BRK-B,2020-02-28,200.75,202.7,200.26,202.63,14091641
BRK-B,2020-03-02,202.63,203.73,201.4,202.04,9071592
BRK-B,2020-03-03,202.04,203.77,195.25,196.19,15730197
BRK-B,2020-03-04,196.19,197.75,195.93,197.3,11354982
BRK-B,2020-03-05,197.3,197.59,191.9,191.95,6316221
BRK-B,2020-03-06,191.95,192.45,189.57,190.94,12722488
BRK-B,2020-03-09,190.94,192.62,187.63,187.84,17649179
BRK-B,2020-03-10,187.84,191.29,187.02,190.71,11603261
BRK-B,2020-03-11,190.71,191.72,189.43,189.57,12625867
BRK-B,2020-03-12,189.57,190.59,187.35,188.93,6219488
BRK-B,2020-03-13,188.93,190.18,187.08,187.36,10480936
BRK-B,2020-03-16,187.36,187.86,186.8,187.15,17266942
BRK-B,2020-03-17,187.15,189.99,186.49,188.52,11805789
BRK-B,2020-03-18,188.52,189.79,188.1,188.33,11243067
BRK-B,2020-03-19,188.33,189.13,185.69,186.79,8727925
BRK-B,2020-03-20,186.79,191.43,184.67,190.76,9232872
BRK-B,2020-03-23,190.76,190.78,189.74,190.1,12654676
BRK-B,2020-03-24,190.1,190.64,188.89,190.08,11019564
BRK-B,2020-03-25,190.08,190.49,188.45,189.46,9037308
BRK-B,2020-03-26,189.46,189.69,182.0,183.17,4790649
BRK-B,2020-03-27,183.17,183.27,181.78,182.18,12484431
BRK-B,2020-03-30,182.18,184.26,181.91,182.52,9510001
BRK-B,2020-03-31,182.52,182.72,179.73,180.44,8183545
BRK-B,2020-04-01,180.44,180.69,175.9,177.64,12840589
BRK-B,2020-04-02,177.64,180.37,176.46,179.95,10735501
BRK-B,2020-04-03,179.95,184.22,179.0,183.52,10222652
BRK-B,2020-04-06,183.52,184.91,177.53,178.05,9143191
BRK-B,2020-04-07,178.05,178.32,177.15,177.72,13602278
BRK-B,2020-04-08,177.72,179.02,175.02,176.15,7912766
BRK-B,2020-04-09,176.15,178.58,175.88,177.97,7372523
BRK-B,2020-04-10,177.97,180.59,177.5,179.65,10058022
BRK-B,2020-04-13,179.65,180.51,178.56,179.03,13629805
BRK-B,2020-04-14,179.03,180.41,178.72,180.02,8726806
BRK-B,2020-04-15,180.02,181.23,174.21,174.4,8467428
BRK-B,2020-04-16,174.4,175.38,172.29,172.56,8817553
BRK-B,2020-04-17,172.56,172.84,171.98,172.15,10863220
BRK-B,2020-04-20,172.15,172.23,170.14,171.98,9521961
BRK-B,2020-04-21,171.98,172.32,170.82,171.02,14114505
BRK-B,2020-04-22,171.02,175.49,169.75,173.04,9249263
BRK-B,2020-04-23,173.04,173.65,171.48,171.63,9720781
BRK-B,2020-04-24,171.63,173.43,170.74,173.12,9499184
BRK-B,2020-04-27,173.12,173.92,172.85,172.88,7552749
BRK-B,2020-04-28,172.88,172.99,169.85,170.64,12931128
BRK-B,2020-04-29,170.64,171.93,168.29,170.0,8357509
BRK-B,2020-04-30,170.0,171.4,169.93,170.31,6286383
BRK-B,2020-05-01,170.31,170.77,169.2,169.24,9957207
BRK-B,2020-05-04,169.24,172.74,162.22,162.64,13234375
BRK-B,2020-05-05,162.64,162.93,160.77,161.94,10249015
BRK-B,2020-05-06,161.94,162.75,159.38,160.3,8736077
BRK-B,2020-05-07,160.3,163.74,159.42,161.44,9796582
BRK-B,2020-05-08,161.44,162.23,159.86,160.05,11638391
BRK-B,2020-05-11,160.05,161.15,159.45,160.69,7626432
BRK-B,2020-05-12,160.69,164.35,160.02,164.22,12315745
BRK-B,2020-05-13,164.22,165.62,162.13,162.15,13200790
BRK-B,2020-05-14,162.15,162.52,161.51,161.87,9745630
BRK-B,2020-05-15,161.87,163.44,160.78,162.18,7985356
BRK-B,2020-05-18,162.18,164.87,161.67,164.63,9342753
BRK-B,2020-05-19,164.63,164.82,163.84,164.17,7563408
BRK-B,2020-05-20,164.17,165.21,161.82,161.93,10365257
BRK-B,2020-05-21,161.93,163.36,160.18,160.57,13429301
BRK-B,2020-05-22,160.57,161.36,160.4,161.01,12241264
BRK-B,2020-05-25,161.01,162.59,161.01,162.23,10045287
BRK-B,2020-05-26,162.23,162.99,158.23,158.4,11446495
BRK-B,2020-05-27,158.4,159.75,157.73,158.82,8210855
BRK-B,2020-05-28,158.82,159.36,156.88,157.41,10541000
BRK-B,2020-05-29,157.41,157.88,154.56,155.93,8644867
BRK-B,2020-06-01,155.93,156.83,155.17,156.47,10461608
BRK-B,2020-06-02,156.47,157.27,154.99,155.51,15928116
BRK-B,2020-06-03,155.51,155.63,154.99,155.48,8918389
BRK-B,2020-06-04,155.48,156.23,155.44,155.82,10489390
BRK-B,2020-06-05,155.82,155.83,150.5,151.64,5761880
BRK-B,2020-06-08,151.64,152.75,150.51,151.38,8376779
BRK-B,2020-06-09,151.38,152.49,147.68,148.83,7793246
BRK-B,2020-06-10,148.83,154.64,148.17,153.79,9367318
BRK-B,2020-06-11,153.79,156.08,152.85,155.64,7031686
BRK-B,2020-06-12,155.64,159.51,154.4,159.35,7592912
BRK-B,2020-06-15,159.35,160.26,158.1,158.48,7820784
BRK-B,2020-06-16,158.48,159.11,158.47,159.11,8632757
BRK-B,2020-06-17,159.11,163.19,158.45,162.9,8716275
BRK-B,2020-06-18,162.9,163.57,161.07,162.23,7132664
BRK-B,2020-06-19,162.23,162.59,158.6,158.75,5196966
BRK-B,2020-06-22,158.75,159.65,157.58,158.52,11546530
BRK-B,2020-06-23,158.52,162.93,158.41,161.85,10367320
BRK-B,2020-06-24,161.85,164.46,160.68,164.35,12813549
BRK-B,2020-06-25,164.35,164.73,162.23,162.77,8806923
BRK-B,2020-06-26,162.77,164.22,162.03,163.18,6994612
BRK-B,2020-06-29,163.18,163.39,162.42,162.46,11966795
BRK-B,2020-06-30,162.46,165.47,162.06,165.29,10517513
BRK-B,2020-07-01,165.29,166.37,165.22,165.31,11702720
BRK-B,2020-07-02,165.31,166.08,158.87,159.75,7475436
BRK-B,2020-07-03,159.75,160.62,159.01,160.4,6150248
BRK-B,2020-07-06,160.4,163.75,160.28,163.17,9169147
BRK-B,2020-07-07,163.17,164.66,162.05,164.62,11519574
BRK-B,2020-07-08,164.62,166.26,161.63,161.71,7766266
BRK-B,2020-07-09,161.71,163.11,159.11,159.32,4509017
BRK-B,2020-07-10,159.32,160.17,157.21,159.3,15294634
BRK-B,2020-07-13,159.3,160.03,158.06,159.4,8970866
BRK-B,2020-07-14,159.4,162.46,158.32,162.22,10207621
BRK-B,2020-07-15,162.22,164.47,161.86,163.36,6887482
BRK-B,2020-07-16,163.36,164.67,161.96,162.54,4025837
BRK-B,2020-07-17,162.54,163.99,159.51,160.56,9250068
BRK-B,2020-07-20,160.56,161.6,159.45,161.36,12720231
BRK-B,2020-07-21,161.36,162.81,160.82,161.87,8296836
BRK-B,2020-07-22,161.87,163.18,161.4,162.94,5936019
BRK-B,2020-07-23,162.94,165.27,161.63,164.32,11824499
BRK-B,2020-07-24,164.32,166.18,160.99,161.14,7679203
BRK-B,2020-07-27,161.14,161.9,160.65,161.55,11660746
BRK-B,2020-07-28,161.55,164.27,160.6,162.88,13378012
BRK-B,2020-07-29,162.88,164.38,161.2,161.61,9838137
BRK-B,2020-07-30,161.61,161.98,157.78,158.93,7016093
BRK-B,2020-07-31,158.93,164.1,158.35,163.08,5485941
BRK-B,2020-08-03,163.08,163.66,161.89,162.1,8074369
BRK-B,2020-08-04,162.1,162.11,161.61,162.01,8569132
BRK-B,2020-08-05,162.01,170.6,161.74,170.48,8581964
BRK-B,2020-08-06,170.48,173.94,170.19,172.75,11887290
BRK-B,2020-08-07,172.75,175.11,171.53,174.96,10497463
BRK-B,2020-08-10,174.96,175.65,169.81,171.11,9521743
BRK-B,2020-08-11,171.11,172.38,169.0,171.16,3189033
BRK-B,2020-08-12,171.16,171.53,170.02,170.86,9033719
BRK-B,2020-08-13,170.86,173.48,170.43,171.2,9060765
BRK-B,2020-08-14,171.2,176.22,169.89,175.28,13284029
BRK-B,2020-08-17,175.28,176.44,172.94,173.12,10108783
BRK-B,2020-08-18,173.12,174.73,172.14,173.18,11483239
BRK-B,2020-08-19,173.18,173.68,172.05,172.2,10580193
BRK-B,2020-08-20,172.2,173.31,165.84,166.16,11061878
BRK-B,2020-08-21,166.16,169.97,166.13,169.77,2893541
BRK-B,2020-08-24,169.77,172.27,167.96,172.16,8344169
BRK-B,2020-08-25,172.16,172.19,170.87,172.01,13469047
BRK-B,2020-08-26,172.01,172.96,170.48,171.04,12193958
BRK-B,2020-08-27,171.04,172.92,170.77,172.78,11911963
BRK-B,2020-08-28,172.78,173.82,172.35,172.86,12084545
BRK-B,2020-08-31,172.86,173.88,169.42,169.79,6970066
BRK-B,2020-09-01,169.79,174.56,168.55,172.82,9542365
BRK-B,2020-09-02,172.82,173.6,169.22,170.98,7616860
BRK-B,2020-09-03,170.98,171.51,169.68,170.85,14182008
BRK-B,2020-09-04,170.85,171.91,169.77,169.82,6912534
BRK-B,2020-09-07,169.82,170.83,169.63,170.45,4835337
BRK-B,2020-09-08,170.45,174.58,169.55,174.18,8247111
BRK-B,2020-09-09,174.18,179.31,173.45,176.77,10018103
BRK-B,2020-09-10,176.77,176.94,174.62,174.89,9261446
BRK-B,2020-09-11,174.89,177.31,174.48,176.27,11358487
BRK-B,2020-09-14,176.27,177.27,172.8,174.0,10074629
BRK-B,2020-09-15,174.0,174.9,173.06,174.29,4550648
BRK-B,2020-09-16,174.29,175.57,171.85,173.1,10469393
BRK-B,2020-09-17,173.1,175.44,171.15,173.24,13623561
BRK-B,2020-09-18,173.24,173.3,171.79,172.86,9343028
BRK-B,2020-09-21,172.86,173.5,170.89,171.74,8034477
BRK-B,2020-09-22,171.74,173.16,167.01,167.18,13265206
BRK-B,2020-09-23,167.18,167.64,165.01,166.08,7659999
BRK-B,2020-09-24,166.08,167.46,165.47,166.21,11757340
BRK-B,2020-09-25,166.21,166.76,162.5,162.83,8265924
BRK-B,2020-09-28,162.83,163.84,160.49,162.4,9982717
BRK-B,2020-09-29,162.4,163.87,161.73,163.04,11664837
BRK-B,2020-09-30,163.04,165.22,162.59,164.96,14350828
BRK-B,2020-10-01,164.96,169.17,164.62,167.88,10373363
BRK-B,2020-10-02,167.88,169.84,164.52,166.59,10851547
BRK-B,2020-10-05,166.59,167.75,165.77,167.59,13909960
BRK-B,2020-10-06,167.59,173.49,167.18,172.18,12498668
BRK-B,2020-10-07,172.18,172.39,168.75,169.23,6151070
BRK-B,2020-10-08,169.23,174.72,168.48,174.02,12187864
BRK-B,2020-10-09,174.02,174.84,173.67,174.58,6098076
BRK-B,2020-10-12,174.58,175.12,171.98,172.71,7410876
BRK-B,2020-10-13,172.71,173.28,166.99,167.0,4864960
BRK-B,2020-10-14,167.0,167.35,165.51,166.23,11281479
BRK-B,2020-10-15,166.23,167.68,164.53,167.37,7787401
BRK-B,2020-10-16,167.37,168.18,164.53,164.99,9764613
BRK-B,2020-10-19,164.99,165.52,158.14,159.51,8609156
BRK-B,2020-10-20,159.51,162.13,158.18,161.89,6492881
BRK-B,2020-10-21,161.89,163.53,161.11,162.63,7123512
BRK-B,2020-10-22,162.63,164.85,162.07,164.15,9968310
BRK-B,2020-10-23,164.15,168.42,162.57,166.99,9630157
BRK-B,2020-10-26,166.99,168.59,165.03,167.82,4385847
BRK-B,2020-10-27,167.82,168.45,166.53,167.03,8112784
