ticker,date,open,high,low,close,volume
COIN,2020-01-01,50,50.09,49.94,49.97,9945724
COIN,2020-01-02,49.97,50.17,49.29,49.71,6275830
COIN,2020-01-03,49.71,49.89,48.67,48.76,9009830
COIN,2020-01-06,48.76,49.64,48.67,49.5,8250398
COIN,2020-01-07,49.5,49.54,49.34,49.4,10160050
COIN,2020-01-08,49.4,49.73,49.08,49.61,3889099
COIN,2020-01-09,49.61,49.72,48.83,48.95,14730697
COIN,2020-01-10,48.95,49.06,48.2,48.36,8685698
COIN,2020-01-13,48.36,49.52,48.32,49.49,8484810
COIN,2020-01-14,49.49,49.56,49.2,49.21,12649617
COIN,2020-01-15,49.21,49.48,48.65,49.37,11238665
COIN,2020-01-16,49.37,49.65,48.73,48.73,5822071
COIN,2020-01-17,48.73,49.9,48.5,49.41,11222287
COIN,2020-01-20,49.41,50.07,49.28,49.89,8536115
COIN,2020-01-21,49.89,50.44,49.75,50.29,3977948
COIN,2020-01-22,50.29,51.71,50.28,51.38,10524677
COIN,2020-01-23,51.38,51.56,50.96,51.02,12124541
COIN,2020-01-24,51.02,51.8,50.66,51.63,6024263
COIN,2020-01-27,51.63,52.62,51.42,52.33,12616289
COIN,2020-01-28,52.33,52.84,51.67,51.75,11129644
COIN,2020-01-29,51.75,52.04,51.25,51.91,10795251
COIN,2020-01-30,51.91,52.86,51.85,52.59,11392801
COIN,2020-01-31,52.59,55.12,52.39,54.59,11419322
COIN,2020-02-03,54.59,54.9,54.04,54.63,7561569
COIN,2020-02-04,54.63,54.66,53.19,53.2,8362842
COIN,2020-02-05,53.2,53.34,52.34,52.49,4367612
COIN,2020-02-06,52.49,52.49,52.11,52.31,9880120
COIN,2020-02-07,52.31,53.25,52.26,52.96,10461118
COIN,2020-02-10,52.96,53.48,51.89,51.96,12487342
COIN,2020-02-11,51.96,51.96,51.4,51.4,6221770
COIN,2020-02-12,51.4,51.53,49.82,49.85,13356727
COIN,2020-02-13,49.85,49.98,49.21,49.52,7403398
COIN,2020-02-14,49.52,49.77,48.71,48.91,9088945
COIN,2020-02-17,48.91,50.57,48.89,50.29,16572337
COIN,2020-02-18,50.29,50.61,50.26,50.47,14193936
COIN,2020-02-19,50.47,51.29,50.33,50.52,7851923
COIN,2020-02-20,50.52,51.56,50.31,51.52,9593104
COIN,2020-02-21,51.52,51.69,51.3,51.35,9933610
COIN,2020-02-24,51.35,51.53,51.09,51.1,5570096
COIN,2020-02-25,51.1,52.68,50.65,52.04,10158071
COIN,2020-02-26,52.04,52.35,50.39,51.12,7086163
COIN,2020-02-27,51.12,52.6,51.02,52.51,5568942
COIN,2020-02-28,52.51,52.75,51.26,51.76,14334814
COIN,2020-03-02,51.76,51.94,51.09,51.36,14091340
COIN,2020-03-03,51.36,51.74,51.19,51.7,9652412
COIN,2020-03-04,51.7,54.15,51.25,53.87,8808124
