Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,1050.0,1063.0,1044.2,1050.99,1044.11,2218000
2025-02-07,1047.0,1056.71,1035.51,1043.81,1038.12,1632900
2025-02-10,1052.0,1063.0,1046.0,1061.92,1056.13,2036900
2025-02-11,1059.91,1066.0,1049.04,1058.34,1052.57,1748500
2025-02-12,1054.15,1067.0,1051.0,1065.12,1059.31,1662300
2025-02-13,1067.01,1078.23,1064.65,1076.86,1070.99,1623300
2025-02-14,1076.48,1077.49,1068.01,1071.85,1066.01,1410700
2025-02-18,1069.21,1071.0,1045.24,1056.03,1050.27,2090600
2025-02-19,1056.06,1063.18,1053.0,1062.54,1056.75,1349600
2025-02-20,1053.64,1053.64,1033.85,1034.83,1029.19,2000500
2025-02-21,1034.61,1036.21,1024.68,1035.03,1029.39,1816300
2025-02-24,1028.54,1038.19,1025.22,1035.6,1029.96,1759700
2025-02-25,1040.73,1057.02,1037.46,1055.66,1049.91,2083800
2025-02-26,1050.14,1058.89,1030.18,1031.97,1026.35,1555700
2025-02-27,1034.0,1042.53,1018.83,1021.71,1016.14,1629100
2025-02-28,1030.61,1049.38,1023.99,1048.61,1042.89,3307100
2025-03-03,1051.74,1066.0,1041.14,1046.85,1041.14,2422500
2025-03-04,1045.73,1047.93,1028.73,1036.87,1031.22,2536800
2025-03-05,1033.08,1050.98,1028.5,1047.75,1042.04,1898600
2025-03-06,1032.95,1045.89,1019.05,1026.62,1021.02,2594600
2025-03-07,995.15,1002.42,942.78,964.31,959.05,5510700
2025-03-10,955.47,959.66,924.03,934.41,929.32,4459900
2025-03-11,931.0,938.0,921.2,930.49,925.42,3204900
2025-03-12,938.0,944.38,923.25,927.08,922.03,2331600
2025-03-13,922.0,923.5,887.47,890.62,885.77,3447200
2025-03-14,891.81,906.95,881.56,903.92,898.99,3186400
2025-03-17,901.63,923.39,898.0,916.61,911.61,2256100
2025-03-18,913.0,917.56,896.84,898.05,893.16,2182000
2025-03-19,902.86,910.16,896.0,904.05,899.12,1908500
2025-03-20,901.5,907.48,894.1,895.4,890.52,1891800
2025-03-21,888.75,909.77,883.96,909.26,904.3,3447600
2025-03-24,920.0,928.65,920.0,926.04,920.99,2208100
2025-03-25,926.63,932.29,922.49,930.26,925.19,1623000
2025-03-26,934.33,939.42,923.45,929.75,924.68,1644700
2025-03-27,929.56,942.9,928.0,938.75,933.63,1547000
2025-03-28,937.5,938.75,926.0,929.66,924.59,2100500
2025-03-31,922.36,995.0,922.04,945.78,940.62,3102000
2025-04-01,942.42,957.72,938.75,954.4,949.2,2041500
2025-04-02,950.84,970.89,950.0,965.08,959.82,1719900
2025-04-03,931.08,981.35,928.0,967.08,961.81,3096900
2025-04-04,955.0,964.52,914.14,916.48,911.48,5167000
2025-04-07,887.75,937.82,871.71,908.13,903.18,4626600
2025-04-08,932.05,942.99,899.57,908.75,903.8,3545400
2025-04-09,908.0,967.46,897.67,965.19,959.93,5084500
2025-04-10,966.5,993.41,942.89,964.31,959.05,4209100
2025-04-11,963.96,970.21,943.16,963.41,958.16,2721800
