Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,358.76,360.18,351.5,354.0,351.7,6266700
2025-01-30,340.9,348.0,340.0,343.57,341.34,7591100
2025-01-31,348.0,349.5,340.1,341.7,339.48,5778000
2025-02-03,335.97,341.46,331.26,339.24,337.04,4549400
2025-02-04,345.62,346.93,338.67,344.14,341.91,4965600
2025-02-05,345.72,348.04,338.87,347.93,345.67,4521000
2025-02-06,337.48,337.48,329.1,330.81,328.66,13240600
2025-02-07,332.0,333.82,323.72,325.83,323.72,7626100
2025-02-10,327.92,331.75,326.65,327.2,325.08,5981900
2025-02-11,324.02,326.44,321.26,324.4,322.3,5455900
2025-02-12,319.55,327.0,316.97,326.12,324.0,5643400
2025-02-13,326.2,330.35,323.22,329.85,327.71,4312100
2025-02-14,328.03,328.5,322.62,326.54,324.42,5879700
2025-02-18,328.59,329.16,323.0,328.96,326.83,5262100
2025-02-19,329.74,329.74,322.87,324.53,322.43,5012000
2025-02-20,322.24,324.45,318.21,318.43,316.36,6393100
2025-02-21,318.97,318.97,306.86,309.8,307.79,7353200
2025-02-24,311.51,312.73,303.52,308.32,306.32,6652900
2025-02-25,306.25,308.42,300.62,305.88,303.9,7360100
2025-02-26,312.66,313.7,306.45,307.33,305.34,12638500
2025-02-27,296.34,304.92,292.67,294.9,292.99,16691400
2025-02-28,295.96,301.98,292.15,297.85,295.92,10863100
2025-03-03,301.0,303.07,291.06,293.06,291.16,6298200
2025-03-04,290.0,291.65,282.24,287.34,285.48,9096300
2025-03-05,287.22,292.68,285.62,291.97,290.08,6612600
2025-03-06,288.23,298.08,284.83,286.05,284.19,10396800
2025-03-07,283.18,288.31,275.17,282.89,281.06,8248100
2025-03-10,276.97,278.35,270.72,272.9,271.13,10040200
2025-03-11,273.72,280.45,272.0,277.05,275.25,8313400
2025-03-12,281.85,285.93,279.09,284.58,282.73,7463900
2025-03-13,282.05,282.56,269.75,271.74,269.98,9494500
2025-03-14,275.0,279.89,272.68,279.4,277.59,6976900
2025-03-17,277.37,282.73,276.08,280.75,278.93,4484300
2025-03-18,280.02,280.5,275.94,278.73,276.92,5881700
2025-03-19,277.5,282.22,277.29,279.39,277.58,5245400
2025-03-20,277.06,282.88,277.06,279.03,277.22,5504700
2025-03-21,276.21,281.85,274.05,280.62,278.8,9804100
2025-03-24,283.74,286.76,283.22,285.96,284.11,6763800
2025-03-25,285.61,290.45,285.61,288.61,286.74,4301700
2025-03-26,288.34,289.04,279.58,280.99,279.17,5070300
2025-03-27,280.54,280.9,276.01,277.81,276.01,3757200
2025-03-28,276.71,277.21,269.19,269.97,268.22,4973400
2025-03-31,264.55,268.45,259.19,268.36,266.62,7585800
2025-04-01,268.86,270.82,265.82,270.2,268.45,4598200
2025-04-02,265.96,273.63,265.75,271.54,269.78,5396900
2025-04-03,260.14,262.57,254.45,255.23,253.57,8872600
2025-04-04,247.7,250.29,239.53,240.76,239.2,9705000
2025-04-07,230.0,252.95,230.0,244.21,242.63,11965200
2025-04-08,253.95,257.39,240.27,243.99,242.41,9340300
2025-04-09,240.9,268.17,240.9,265.17,263.45,12491100
2025-04-10,260.0,261.24,248.13,255.12,253.86,9692300
2025-04-11,254.27,256.41,247.68,255.0,253.74,6089000
2025-04-14,260.0,260.0,253.14,254.55,253.3,6038100
2025-04-15,254.37,256.72,253.8,254.93,253.67,5227700
2025-04-16,251.93,256.61,246.69,249.84,248.61,7190900
2025-04-17,249.77,251.56,246.8,247.26,246.04,5566900
2025-04-21,240.43,242.48,232.77,236.26,235.1,9240000
2025-04-22,238.23,244.22,235.6,243.39,242.19,7145300
2025-04-23,252.61,257.79,249.5,250.48,249.25,5818900
