Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,111.88,112.68,109.15,112.09,110.86,12470800
2025-02-07,111.61,112.55,110.81,110.86,109.65,8669300
2025-02-10,111.14,111.38,108.69,109.28,108.08,8239500
2025-02-11,108.38,109.05,107.69,109.02,107.83,7456700
2025-02-12,108.25,109.53,107.75,109.23,108.04,6521200
2025-02-13,108.92,109.76,108.56,109.59,108.39,6553200
2025-02-14,109.86,110.51,109.59,110.38,109.17,5964500
2025-02-18,109.78,109.92,108.71,109.56,108.36,8362900
2025-02-19,109.14,111.76,109.14,111.35,110.13,8452100
2025-02-20,111.24,111.52,109.38,110.55,109.34,5970100
2025-02-21,111.0,111.76,107.92,108.66,107.47,9082100
2025-02-24,108.84,111.56,108.65,111.2,109.98,7093300
2025-02-25,111.43,111.9,109.07,110.53,109.32,7289000
2025-02-26,110.06,113.25,110.06,111.83,110.61,7831600
2025-02-27,112.32,113.12,111.06,111.31,110.09,7854700
2025-02-28,111.46,113.99,111.0,113.8,112.56,14609400
2025-03-03,114.07,115.55,112.0,112.79,111.56,7884700
2025-03-04,111.7,112.25,108.27,109.01,107.82,12658000
2025-03-05,109.34,110.94,108.22,109.31,108.11,9956100
2025-03-06,108.38,108.83,105.02,105.43,104.28,11618800
2025-03-07,105.0,105.77,103.31,105.51,104.36,12715900
2025-03-10,104.43,104.8,102.11,103.08,101.95,10947100
2025-03-11,99.79,101.04,97.45,97.9,96.83,16906000
2025-03-12,98.68,99.49,96.38,98.76,97.68,11891800
2025-03-13,97.77,98.65,95.93,96.87,95.81,11059500
2025-03-14,97.44,99.1,97.42,98.64,97.56,10199800
2025-03-17,98.74,100.12,98.66,99.36,98.27,8332100
2025-03-18,99.27,99.73,98.48,99.35,98.26,6727000
2025-03-19,99.66,100.96,99.47,100.29,99.19,8614600
2025-03-20,99.57,100.05,98.64,98.86,97.78,7836500
2025-03-21,98.38,99.89,97.75,99.46,98.37,15089900
2025-03-24,100.22,100.44,98.86,100.18,99.08,8224400
2025-03-25,100.65,101.76,100.41,101.61,100.5,7365200
2025-03-26,101.7,102.27,100.26,100.78,99.68,6314000
2025-03-27,100.71,101.03,99.58,100.45,99.35,6598800
2025-03-28,100.05,100.39,97.74,98.07,97.0,7679700
2025-03-31,96.83,98.85,95.7,98.7,97.62,10554000
2025-04-01,98.32,98.59,96.84,97.68,96.61,8762700
2025-04-02,96.62,98.31,96.45,97.88,96.81,7959900
2025-04-03,94.51,94.78,88.61,88.84,87.87,19353400
2025-04-04,86.0,87.54,83.08,83.53,82.62,22580900
2025-04-07,80.99,86.63,80.1,83.3,82.39,20456000
2025-04-08,85.95,86.95,80.85,81.72,80.83,14845600
2025-04-09,81.29,92.25,81.19,91.44,90.44,24970900
2025-04-10,88.92,89.01,83.07,85.23,84.3,16377000
2025-04-11,85.11,85.67,83.35,84.89,83.96,10204400
2025-04-14,85.83,86.45,84.03,84.66,83.73,10841300
2025-04-15,84.75,85.98,84.52,85.01,84.08,7840500
2025-04-16,84.28,84.8,82.01,82.77,81.86,10144300
2025-04-17,83.37,85.78,83.36,84.81,83.88,14810900
