Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,9.49,9.64,9.26,9.26,8.62,222758300
2025-02-07,9.33,9.35,9.18,9.24,8.6,140852700
2025-02-10,9.25,9.3,9.12,9.24,8.6,72168000
2025-02-11,9.21,9.26,9.17,9.21,8.57,54844600
2025-02-12,9.17,9.29,9.1,9.23,8.59,67339600
2025-02-13,9.29,9.41,9.24,9.35,8.7,72059800
2025-02-14,9.43,9.51,9.39,9.48,8.83,53778300
2025-02-18,9.32,9.35,9.23,9.29,8.93,62175800
2025-02-19,9.27,9.39,9.21,9.34,8.98,50191700
2025-02-20,9.33,9.4,9.28,9.39,9.03,39787800
2025-02-21,9.38,9.41,9.23,9.28,8.92,58437700
2025-02-24,9.31,9.4,9.21,9.35,8.99,72562600
2025-02-25,9.37,9.49,9.31,9.42,9.06,88876800
2025-02-26,9.46,9.62,9.44,9.47,9.1,87948100
2025-02-27,9.44,9.53,9.29,9.29,8.93,70518800
2025-02-28,9.32,9.69,9.31,9.55,9.18,137992600
2025-03-03,9.71,9.82,9.32,9.39,9.03,154435900
2025-03-04,9.23,9.27,9.06,9.12,8.77,167500000
2025-03-05,9.26,9.67,9.2,9.65,9.28,157774900
2025-03-06,9.52,9.72,9.42,9.61,9.24,136680700
2025-03-07,9.54,9.96,9.51,9.9,9.52,150644900
2025-03-10,9.77,10.14,9.77,9.96,9.58,167183800
2025-03-11,9.92,9.96,9.49,9.69,9.32,210127000
2025-03-12,9.7,9.71,9.46,9.59,9.22,129994600
2025-03-13,9.57,9.95,9.5,9.53,9.16,137747600
2025-03-14,9.66,9.79,9.64,9.73,9.35,91313800
2025-03-17,9.74,9.98,9.74,9.92,9.54,98583100
2025-03-18,9.95,10.04,9.88,9.95,9.57,102730900
2025-03-19,9.96,10.28,9.95,10.17,9.78,124697400
2025-03-20,10.07,10.15,9.99,10.01,9.62,109103700
2025-03-21,9.91,10.12,9.83,10.0,9.61,240638600
2025-03-24,10.04,10.25,10.01,10.25,9.85,102847200
2025-03-25,10.3,10.35,10.17,10.29,9.89,83674900
2025-03-26,10.27,10.35,10.09,10.3,9.9,139742100
2025-03-27,10.26,10.4,9.82,9.9,9.52,229032500
2025-03-28,9.84,9.89,9.62,9.72,9.35,136868300
2025-03-31,9.57,10.11,9.55,10.03,9.64,139951900
2025-04-01,10.1,10.17,9.81,9.94,9.56,135388700
2025-04-02,9.84,10.27,9.82,10.15,9.76,136908500
2025-04-03,9.99,10.2,9.53,9.54,9.17,220271000
2025-04-04,9.32,9.73,9.2,9.58,9.21,177466200
2025-04-07,9.27,9.64,9.0,9.24,8.88,274938500
