Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,50.28,50.61,49.12,49.78,49.27,15123000
2025-01-30,50.45,50.99,47.76,49.5,48.99,16443200
2025-01-31,49.67,51.73,49.18,49.46,48.95,20564000
2025-02-03,46.5,49.23,46.37,47.9,47.41,28555900
2025-02-04,47.17,48.94,47.11,48.57,48.07,9746700
2025-02-05,48.71,48.79,47.74,47.81,47.32,10719400
2025-02-06,47.99,48.39,47.44,47.93,47.44,9218400
2025-02-07,47.69,48.32,47.21,47.39,46.9,9608500
2025-02-10,47.4,47.6,46.44,46.57,46.09,9017200
2025-02-11,46.36,46.84,46.26,46.7,46.22,7058500
2025-02-12,46.42,47.99,46.26,47.69,47.2,10572400
2025-02-13,48.14,48.63,47.35,47.89,47.4,7748300
2025-02-14,48.39,48.68,47.92,48.37,47.87,5630000
2025-02-18,48.7,48.71,47.6,48.13,47.64,6967300
2025-02-19,47.73,47.97,47.22,47.8,47.31,6836000
2025-02-20,47.79,47.91,46.76,47.89,47.4,5801800
2025-02-21,47.93,48.09,45.93,46.29,45.82,6775700
2025-02-24,46.67,46.91,46.04,46.57,46.09,8127100
2025-02-25,46.72,47.02,45.69,46.71,46.23,7903500
2025-02-26,48.91,50.19,48.16,48.46,47.96,17082000
2025-02-27,47.8,48.93,47.56,47.63,47.14,14881100
2025-02-28,47.52,49.49,47.13,49.13,48.63,21380500
2025-03-03,49.98,50.5,46.74,47.38,46.89,16880500
2025-03-04,46.42,46.42,44.41,45.22,44.76,20786800
2025-03-05,46.7,49.07,46.23,48.48,47.98,27954200
2025-03-06,47.77,48.33,46.39,47.2,46.72,14332000
2025-03-07,47.78,47.82,46.04,47.44,47.07,13824400
2025-03-10,46.81,48.18,46.77,48.08,47.71,21621600
2025-03-11,48.0,48.82,46.03,48.28,47.91,21879900
2025-03-12,48.5,48.74,46.93,47.9,47.53,10041800
2025-03-13,47.77,49.27,46.87,47.11,46.75,14189900
2025-03-14,47.79,48.75,47.64,48.34,47.97,14143900
2025-03-17,48.51,49.27,48.28,49.0,48.62,14102400
2025-03-18,49.35,49.83,48.19,48.67,48.29,19265400
2025-03-19,48.83,50.21,48.7,49.79,49.41,13291600
2025-03-20,48.81,49.98,48.75,49.44,49.06,12906900
2025-03-21,48.98,50.04,48.74,49.8,49.42,37624900
2025-03-24,50.76,51.89,50.46,51.46,51.06,16024400
2025-03-25,51.5,52.76,51.5,52.59,52.18,14836200
2025-03-26,52.69,53.29,50.65,50.95,50.56,20510100
2025-03-27,46.99,48.4,46.26,47.2,46.84,35799000
2025-03-28,46.91,47.14,45.81,46.68,46.32,18820100
2025-03-31,45.66,47.27,45.61,47.03,46.67,15878600
2025-04-01,47.01,47.77,46.5,47.26,46.89,14065600
2025-04-02,46.87,48.27,46.87,47.98,47.61,12305600
2025-04-03,46.95,47.78,45.85,45.9,45.55,18871200
2025-04-04,44.46,44.73,42.73,44.18,43.84,26717400
2025-04-07,41.75,45.35,41.6,43.53,43.19,25522100
2025-04-08,44.94,45.4,41.94,42.48,42.15,16415600
2025-04-09,41.86,46.3,41.64,45.74,45.39,23918100
2025-04-10,44.16,44.46,42.62,43.73,43.39,17437900
2025-04-11,43.5,43.94,42.75,43.63,43.29,10735600
2025-04-14,43.87,45.87,43.11,45.14,44.79,22020900
2025-04-15,44.2,44.87,44.13,44.54,44.2,9799300
2025-04-16,44.36,45.06,43.89,44.22,43.88,9877000
2025-04-17,44.27,45.28,43.93,44.57,44.23,11707500
2025-04-21,44.47,44.69,43.77,44.39,44.05,6424600
2025-04-22,45.1,45.65,44.74,45.16,44.81,8438500
2025-04-23,46.5,47.42,45.68,45.84,45.49,9032800
2025-04-24,46.21,47.07,45.84,46.88,46.52,7509200
2025-04-25,46.54,47.56,46.54,47.11,46.75,8108100
2025-04-28,47.2,47.81,46.65,47.24,46.87,15269800
2025-04-29,45.91,47.46,45.34,46.94,46.58,24183100
2025-04-30,46.21,46.54,44.72,45.24,44.89,17948600
2025-05-01,46.5,46.54,44.72,45.05,44.7,15875500
2025-05-02,45.71,45.82,44.95,45.3,44.95,11649800
2025-05-05,45.28,45.75,45.15,45.38,45.03,8084300
2025-05-06,45.01,45.97,44.84,45.46,45.11,9638200
2025-05-07,45.71,45.94,44.97,45.47,45.12,8711100
2025-05-08,46.1,47.72,46.09,47.35,46.98,14499500
2025-05-09,47.56,47.97,47.25,47.5,47.13,8582900
