Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,189.5,192.1,188.72,191.6,190.85,29297400
2025-02-07,191.05,191.18,183.24,185.34,184.62,49315000
2025-02-10,187.35,188.2,185.86,186.47,185.74,23105600
2025-02-11,185.03,186.94,184.28,185.32,184.6,21239500
2025-02-12,183.22,185.11,181.83,183.61,182.89,22072600
2025-02-13,184.32,186.28,183.14,186.14,185.41,21402500
2025-02-14,185.06,186.4,184.32,185.23,184.51,20448400
2025-02-18,185.6,185.96,181.74,183.77,183.05,29916700
2025-02-19,184.07,185.46,183.59,185.27,184.55,19549400
2025-02-20,184.8,185.31,182.72,184.56,183.84,20441500
2025-02-21,185.15,185.34,179.08,179.66,178.96,35199200
2025-02-24,181.99,183.12,178.89,179.25,178.55,29854200
2025-02-25,178.04,178.74,174.69,175.42,174.74,41913400
2025-02-26,175.07,176.08,171.58,172.73,172.06,35431300
2025-02-27,173.99,174.56,167.94,168.5,167.84,39991000
2025-02-28,168.68,170.61,166.77,170.28,169.62,48130600
2025-03-03,171.93,173.37,165.93,167.01,166.36,40770500
2025-03-04,166.24,173.29,165.8,170.92,170.25,45388000
2025-03-05,170.52,173.78,169.06,173.02,172.35,30954900
2025-03-06,170.53,174.81,170.5,172.35,171.68,28302000
2025-03-07,171.26,174.97,170.27,173.86,173.18,27385800
2025-03-10,168.26,168.46,163.69,165.87,165.41,43604000
2025-03-11,164.91,166.75,161.37,164.04,163.59,39587400
2025-03-12,166.58,167.64,163.53,167.11,166.65,28372400
2025-03-13,166.04,166.13,162.11,162.76,162.31,31756200
2025-03-14,163.27,166.49,162.45,165.49,165.03,31995900
2025-03-17,165.03,166.3,163.67,164.29,163.84,31184300
2025-03-18,163.68,164.25,156.72,160.67,160.23,42074800
2025-03-19,161.76,165.87,161.0,163.89,163.44,34275600
2025-03-20,161.57,164.89,160.96,162.8,162.35,28138500
2025-03-21,161.21,164.24,160.89,163.99,163.54,36625800
2025-03-24,167.07,168.32,165.14,167.68,167.22,30879100
2025-03-25,168.98,170.63,168.32,170.56,170.09,24174400
2025-03-26,169.0,169.61,164.84,165.06,164.61,28901600
2025-03-27,164.63,165.42,162.0,162.24,161.79,24508300
2025-03-28,160.49,161.82,153.63,154.33,153.9,48669300
2025-03-31,153.11,155.54,150.66,154.64,154.21,54603500
2025-04-01,153.62,158.1,153.62,157.07,156.64,30672900
2025-04-02,155.15,158.41,154.7,157.04,156.61,25041700
2025-04-03,151.11,152.78,150.39,150.72,150.3,46883400
2025-04-04,148.01,151.07,145.38,145.6,145.2,62259500
2025-04-07,141.55,152.85,140.53,146.75,146.35,76794100
2025-04-08,151.22,152.24,143.03,144.7,144.3,52200200
2025-04-09,144.42,159.55,143.91,158.71,158.27,70406200
2025-04-10,156.54,157.72,149.93,152.82,152.4,48022000
2025-04-11,152.9,157.67,152.82,157.14,156.71,33636200
2025-04-14,160.0,161.72,157.56,159.07,158.63,30333000
2025-04-15,159.13,159.65,155.21,156.31,155.88,27551500
2025-04-16,153.1,155.89,151.51,153.33,152.91,28187400
2025-04-17,154.29,154.68,148.5,151.16,150.74,33046600
2025-04-21,148.88,148.95,146.1,147.67,147.26,26049100
2025-04-22,148.89,152.19,148.54,151.47,151.05,26971800
2025-04-23,155.61,157.53,153.81,155.35,154.92,31128800
2025-04-24,156.15,159.59,155.79,159.28,158.84,45894000
2025-04-25,165.07,166.1,161.04,161.96,161.51,56034000
2025-04-28,162.43,163.15,158.6,160.61,160.17,29745800
2025-04-29,160.32,160.74,157.52,160.16,159.72,26809000
2025-04-30,157.98,159.27,155.4,158.8,158.36,34981100
2025-05-01,160.45,161.95,158.91,161.3,160.86,30203200
2025-05-02,163.41,164.97,161.87,164.03,163.58,25715000
2025-05-05,163.0,165.39,162.72,164.21,163.76,21341800
2025-05-06,162.17,164.8,161.19,163.23,162.78,21277200
2025-05-07,164.08,165.0,147.84,151.38,150.96,127490100
2025-05-08,155.0,155.93,152.9,154.28,153.86,57498700
2025-05-09,154.17,155.05,152.2,152.75,152.33,32435300
2025-05-12,157.49,159.1,156.25,158.46,158.02,44138800
2025-05-13,158.79,160.57,156.16,159.53,159.09,42382100
2025-05-14,159.96,167.0,159.61,165.37,164.91,48755900
