Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,650.0,658.85,648.94,658.22,645.06,2439200
2025-02-07,659.4,663.87,653.16,655.9,642.78,2616700
2025-02-10,659.02,662.49,644.25,650.53,637.52,2351600
2025-02-11,646.78,649.04,643.6,647.24,634.3,2711400
2025-02-12,643.76,650.47,639.11,649.0,636.02,2295800
2025-02-13,651.83,652.0,640.51,648.95,635.97,2031800
2025-02-14,650.32,663.26,650.32,660.55,647.34,2246000
2025-02-18,662.59,672.19,661.02,672.19,658.75,2350100
2025-02-19,669.08,671.04,663.28,668.15,654.79,1953600
2025-02-20,668.03,670.28,631.66,642.26,629.41,3929000
2025-02-21,644.75,647.5,623.43,625.6,613.09,3000800
2025-02-24,633.51,637.3,614.8,626.14,613.62,3274100
2025-02-25,628.53,631.32,606.0,614.91,602.61,2885900
2025-02-26,616.67,623.13,615.2,617.77,605.41,2001200
2025-02-27,617.54,625.23,607.31,608.0,595.84,2396300
2025-02-28,607.79,623.65,604.01,622.29,612.87,3337200
2025-03-03,622.4,628.78,598.32,605.26,596.1,3152300
2025-03-04,595.98,600.0,567.57,581.14,572.34,4061000
2025-03-05,582.09,597.12,576.78,593.07,584.09,2600600
2025-03-06,580.59,586.71,564.62,567.67,559.08,4332300
2025-03-07,568.17,568.17,544.91,559.67,551.2,4069600
2025-03-10,542.3,546.47,523.13,531.66,523.61,5272100
2025-03-11,532.47,539.99,524.2,531.43,523.38,4190500
2025-03-12,544.0,545.0,528.59,535.71,527.6,3078100
2025-03-13,535.67,538.14,520.06,524.81,516.86,2529100
2025-03-14,533.99,543.57,526.7,541.41,533.21,2808100
2025-03-17,541.23,557.16,540.0,551.34,542.99,2695600
2025-03-18,550.29,553.75,546.65,551.78,543.43,2641000
2025-03-19,549.0,563.0,544.6,557.34,548.9,2769800
2025-03-20,553.1,568.44,552.0,562.68,554.16,2531300
2025-03-21,555.33,567.0,551.21,565.14,556.58,3565600
2025-03-24,575.0,582.72,573.05,580.1,571.32,1877700
2025-03-25,584.69,586.89,578.21,585.94,577.07,1875500
2025-03-26,588.39,592.64,571.0,573.92,565.23,1944200
2025-03-27,565.0,566.0,552.55,558.92,550.46,2100900
2025-03-28,555.95,560.5,537.71,543.12,534.9,2773100
2025-03-31,533.82,547.39,528.59,546.29,538.02,2455100
2025-04-01,543.25,551.96,533.24,548.45,540.15,1869600
2025-04-02,539.8,567.32,539.08,563.1,554.57,2560700
2025-04-03,525.43,529.99,509.56,511.23,503.49,5193900
2025-04-04,487.0,492.0,460.0,470.81,463.68,8105200
2025-04-07,446.9,489.98,439.38,465.51,458.46,6353800
2025-04-08,488.25,491.92,452.83,462.22,455.22,4240900
2025-04-09,451.36,522.0,447.11,516.87,509.04,7024100
2025-04-10,503.1,503.1,474.0,489.8,482.38,5374500
2025-04-11,487.0,498.52,478.58,494.44,486.95,3770200
2025-04-14,510.0,512.0,497.15,503.98,496.35,4392600
2025-04-15,507.41,518.65,507.0,507.89,500.2,2501200
2025-04-16,501.72,509.45,492.69,499.05,491.49,2765600
2025-04-17,503.24,514.83,499.12,509.49,501.78,2593500
2025-04-21,505.4,509.27,494.68,501.36,493.77,2859300
2025-04-22,510.23,521.0,508.93,519.99,512.12,2514600
2025-04-23,533.63,551.79,528.26,529.31,521.3,3048100
2025-04-24,527.1,546.84,523.42,545.37,537.11,2223600
2025-04-25,544.6,549.09,541.22,544.86,536.61,1612700
2025-04-28,544.86,554.5,542.47,546.4,538.13,1459700
2025-04-29,543.79,550.88,541.3,548.92,540.61,1695600
2025-04-30,535.76,549.52,531.45,547.55,539.26,2438300
2025-05-01,548.1,558.35,545.5,553.83,545.44,2583000
2025-05-02,561.58,569.78,559.7,566.1,557.53,2883000
2025-05-05,558.36,566.56,557.5,559.56,551.09,2197200
2025-05-06,549.6,557.44,547.06,549.36,541.04,2902500
2025-05-07,550.21,555.38,547.74,551.92,543.56,1954900
2025-05-08,558.82,572.16,558.21,565.7,557.14,1994600
2025-05-09,570.25,572.1,565.78,567.1,558.51,1522500
2025-05-12,596.26,603.37,588.08,591.34,582.39,3527700
2025-05-13,593.3,607.71,593.06,603.81,594.67,2765800
2025-05-14,603.8,615.0,602.5,611.6,602.34,2874400
2025-05-15,609.73,619.21,609.73,615.9,606.57,2428100
2025-05-16,616.95,620.79,613.56,619.03,609.66,2021800
2025-05-19,609.19,619.38,598.34,612.3,603.03,2842100
2025-05-20,607.75,611.55,603.01,606.52,597.34,1601600
2025-05-21,601.8,609.87,592.0,593.46,584.47,2635900
2025-05-22,592.55,602.2,592.51,598.23,589.17,1939600
2025-05-23,585.0,601.96,582.5,598.54,589.48,1530600
2025-05-27,605.9,617.67,604.95,615.73,606.41,2364700
2025-05-28,617.28,618.63,607.31,608.44,599.23,2001900
2025-05-29,608.52,610.0,598.3,604.86,595.7,1736100
2025-05-30,600.0,603.6,593.83,600.45,594.31,2129500
2025-06-02,598.6,599.17,592.17,598.72,592.59,1221200
2025-06-03,600.0,606.32,593.73,603.83,597.65,1730300
2025-06-04,605.48,606.33,598.72,599.21,593.08,1294900
2025-06-05,600.0,609.72,592.9,605.88,599.68,2086700
2025-06-06,613.0,621.38,610.0,614.0,607.72,1675900
2025-06-09,614.75,619.1,611.01,613.52,607.24,1610700
2025-06-10,613.0,616.55,609.31,614.87,608.58,1376400
2025-06-11,617.18,629.84,614.59,624.17,617.78,2063600
2025-06-12,621.0,626.01,615.8,625.11,618.71,1634700
2025-06-13,616.05,620.12,609.59,613.54,607.26,1674800
2025-06-16,619.0,632.27,618.0,627.85,621.43,1870400
2025-06-17,624.7,631.67,623.0,624.64,618.25,1479300
2025-06-18,624.51,639.88,623.65,635.24,628.74,2423100
2025-06-20,638.83,642.64,636.69,640.8,634.24,4115400
2025-06-23,639.26,647.42,630.01,646.88,640.26,2020800
2025-06-24,654.45,663.77,653.24,662.11,655.34,2307800
2025-06-25,664.6,670.12,660.79,669.87,663.02,1566400
2025-06-26,670.62,689.33,670.51,687.16,680.13,2849500
2025-06-27,691.0,694.2,685.39,690.81,683.74,3650500
2025-06-30,714.27,714.3,702.95,707.75,700.51,3976400
2025-07-01,708.0,713.01,700.61,706.46,699.23,3301000
2025-07-02,708.8,718.73,705.08,715.89,708.57,2906500
2025-07-03,715.91,726.0,713.4,723.68,716.28,1502000
2025-07-07,721.7,723.97,706.34,710.93,703.66,2863700
2025-07-08,710.72,711.19,693.77,697.28,690.15,3100700
2025-07-09,704.34,704.34,694.71,696.56,689.43,1763400
2025-07-10,696.74,710.38,696.45,709.12,701.86,1733500
2025-07-11,703.59,706.0,700.23,704.95,697.74,1681800
2025-07-14,704.74,713.43,702.13,713.3,706.0,1909300
2025-07-15,713.3,714.69,700.04,702.51,695.32,1981200
2025-07-16,708.5,709.78,691.3,708.82,701.57,3323200
2025-07-17,706.28,717.45,704.28,705.84,698.62,2046100
2025-07-18,707.06,710.29,698.39,708.26,701.01,1925200
2025-07-21,709.14,712.76,704.35,706.0,698.78,2006500
