Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,54.8,54.88,52.16,53.17,53.17,15893900
2025-02-07,54.39,55.98,54.11,55.86,55.86,25050300
2025-02-10,57.18,57.27,55.55,56.27,56.27,23555900
2025-02-11,55.9,55.99,53.28,53.34,53.34,24210900
2025-02-12,53.17,56.74,52.65,55.91,55.91,48482700
2025-02-13,62.09,66.91,61.2,63.8,63.8,77989700
2025-02-14,63.31,66.08,61.72,65.28,65.28,39353300
2025-02-18,65.21,65.58,59.9,60.44,60.44,42371200
2025-02-19,61.09,61.91,58.65,59.23,59.23,26252600
2025-02-20,59.09,59.1,54.23,56.06,56.06,36348800
2025-02-21,57.87,57.87,51.44,51.6,51.6,33697500
2025-02-24,52.24,52.56,47.97,49.93,49.93,40671100
2025-02-25,47.51,48.84,44.02,45.92,45.92,59731300
2025-02-26,47.31,50.52,46.54,48.85,48.85,43151500
2025-02-27,51.76,52.93,48.42,48.78,48.78,48033000
2025-02-28,48.19,51.17,47.41,50.1,50.1,46083500
2025-03-03,54.72,54.84,46.68,46.89,46.89,52710100
2025-03-04,45.19,48.27,42.14,46.22,46.22,62405400
2025-03-05,46.7,48.29,44.92,48.12,48.12,33830100
2025-03-06,46.23,48.79,44.66,44.84,44.84,40627600
2025-03-07,43.64,45.37,40.95,44.42,44.42,53582200
2025-03-10,40.92,41.2,35.23,35.63,35.63,89410600
2025-03-11,36.19,38.35,35.57,36.36,36.36,69609300
2025-03-12,38.99,39.67,36.85,38.92,38.92,50844300
2025-03-13,38.27,38.68,35.91,36.02,36.02,47786300
2025-03-14,37.4,39.46,37.01,39.24,39.24,37821400
2025-03-17,39.35,42.92,38.96,42.02,42.02,45895500
2025-03-18,40.8,41.56,38.85,40.1,40.1,44644600
2025-03-19,40.78,43.84,40.18,42.8,42.8,56447100
2025-03-20,42.2,44.24,41.93,43.66,43.66,49146600
2025-03-21,41.95,44.73,41.5,44.36,44.36,43674200
2025-03-24,46.4,48.99,46.1,48.36,48.36,50762000
2025-03-25,48.75,49.88,47.2,48.15,48.15,43367900
2025-03-26,47.98,48.0,43.8,44.73,44.73,44462500
2025-03-27,44.11,45.59,43.24,43.99,43.99,51945500
2025-03-28,42.69,43.07,40.57,41.92,41.92,44330400
2025-03-31,39.78,41.95,38.84,41.62,41.62,40954800
2025-04-01,41.8,43.37,40.61,42.16,42.16,42942700
2025-04-02,40.69,43.6,40.55,42.68,42.68,44551400
2025-04-03,37.97,39.89,37.44,38.26,38.26,62216600
2025-04-04,35.62,36.25,31.59,34.51,34.51,80694700
2025-04-07,30.67,37.11,29.66,35.41,35.41,81135600
2025-04-08,37.13,37.85,33.08,34.17,34.17,63299900
2025-04-09,33.71,42.68,33.55,42.21,42.21,88299900
2025-04-10,40.3,42.13,37.78,40.51,40.51,64055500
2025-04-11,40.74,43.79,40.08,43.68,43.68,51352100
2025-04-14,45.01,45.09,42.51,44.14,44.14,45143500
2025-04-15,44.19,45.56,43.69,44.08,44.08,30788300
2025-04-16,41.86,43.14,40.07,40.66,40.66,46736500
2025-04-17,41.03,41.75,40.12,41.18,41.18,23940000
2025-04-21,40.73,41.56,39.21,39.85,39.85,27727700
2025-04-22,41.03,43.37,40.81,42.09,42.09,39232000
2025-04-23,45.3,47.22,44.27,44.66,44.66,48982800
2025-04-24,45.09,48.28,44.96,48.15,48.15,42991300
2025-04-25,48.9,49.99,48.48,49.45,49.45,34624100
2025-04-28,50.52,51.07,47.74,48.93,48.93,35081000
2025-04-29,49.44,49.88,48.46,49.37,49.37,28708400
2025-04-30,46.41,49.9,46.18,49.11,49.11,49380900
2025-05-01,51.12,51.3,46.53,46.62,46.62,88530700
2025-05-02,46.78,50.07,46.71,48.59,48.59,59187300
2025-05-05,47.21,48.34,45.56,48.05,48.05,37137900
2025-05-06,46.33,48.88,45.83,48.69,48.69,31103100
2025-05-07,48.85,50.51,48.32,49.99,49.99,38651800
2025-05-08,51.73,54.84,51.61,54.07,54.07,49440000
2025-05-09,54.94,56.31,53.74,54.65,54.65,44325500
2025-05-12,59.18,59.33,55.89,57.43,57.43,41385900
2025-05-13,58.92,63.42,58.82,62.57,62.57,57297900
2025-05-14,62.38,63.78,61.09,61.39,61.39,41568200
2025-05-15,60.31,60.83,57.68,60.68,60.68,36789200
2025-05-16,60.9,62.14,60.46,61.76,61.76,24538700
2025-05-19,59.85,64.36,59.68,64.27,64.27,34290800
2025-05-20,64.04,65.28,63.35,64.91,64.91,31331800
2025-05-21,64.06,66.89,63.32,63.86,63.86,40230100
2025-05-22,64.89,65.88,63.75,64.77,64.77,27235000
2025-05-23,62.85,64.46,62.63,63.17,63.17,28585500
2025-05-27,64.96,67.13,63.83,66.02,66.02,29735900
2025-05-28,66.14,66.61,64.81,65.14,65.14,17994200
2025-05-29,66.32,66.54,63.63,63.95,63.95,21300500
2025-05-30,63.59,66.49,62.92,66.15,66.15,35691700
2025-06-02,66.03,68.2,65.38,67.98,67.98,30252600
2025-06-03,69.9,72.72,69.06,71.72,71.72,43343500
2025-06-04,72.96,73.0,71.13,72.27,72.27,31915100
2025-06-05,73.55,76.75,71.2,72.51,72.51,64664700
2025-06-06,74.6,77.8,73.1,74.88,74.88,66229100
2025-06-09,72.06,73.73,68.56,73.4,73.4,65748800
2025-06-10,73.24,74.64,70.75,72.51,72.51,39178600
2025-06-11,73.05,75.39,72.32,74.88,74.88,34056700
2025-06-12,73.53,75.59,73.23,73.84,73.84,22611100
2025-06-13,72.0,74.82,71.69,72.6,72.6,27789300
2025-06-16,73.7,76.88,73.36,76.75,76.75,27114900
2025-06-17,76.11,77.05,72.86,74.95,74.95,26677500
2025-06-18,75.17,78.74,74.54,78.35,78.35,36185600
2025-06-20,78.47,79.38,75.79,78.5,78.5,37245800
2025-06-23,77.86,79.04,74.39,76.35,76.35,35289900
2025-06-24,77.9,82.27,76.83,82.01,82.01,42266600
2025-06-25,84.94,85.55,81.9,82.75,82.75,38974900
2025-06-26,83.41,84.8,82.53,84.52,84.52,25222500
2025-06-27,84.65,84.88,81.92,83.03,83.03,37005900
2025-06-30,85.65,94.24,85.5,93.63,93.63,101945000
2025-07-01,95.01,99.18,89.7,92.33,92.33,121171500
2025-07-02,91.25,100.88,90.9,97.98,97.98,113204200
2025-07-03,95.49,95.65,92.11,94.4,94.4,56373800
2025-07-07,93.59,95.7,91.25,93.46,93.46,49466000
2025-07-08,95.4,98.04,90.7,91.27,91.27,59808300
2025-07-09,92.91,94.65,91.74,94.54,94.54,42206400
2025-07-10,95.9,98.76,93.54,98.7,98.7,50119500
2025-07-11,97.5,101.5,97.33,98.34,98.34,60338900
2025-07-14,100.87,101.89,98.9,99.96,99.96,47356300
2025-07-15,99.01,101.26,97.16,99.54,99.54,45879400
