ticker,date,open,high,low,close,volume
IBM,2020-01-01,135,137.66,133.89,137.49,10728301
IBM,2020-01-02,137.49,137.61,132.89,133.33,11963170
IBM,2020-01-03,133.33,134.23,132.23,133.44,7595738
IBM,2020-01-06,133.44,136.76,133.23,136.55,7818699
IBM,2020-01-07,136.55,138.33,136.46,137.21,10957975
IBM,2020-01-08,137.21,137.29,134.98,135.23,5838293
IBM,2020-01-09,135.23,137.65,135.02,136.01,11685527
IBM,2020-01-10,136.01,140.12,135.33,139.08,14739233
IBM,2020-01-13,139.08,142.96,138.42,141.83,14093320
IBM,2020-01-14,141.83,141.88,140.41,141.32,13822272
IBM,2020-01-15,141.32,145.66,141.1,145.51,11655277
IBM,2020-01-16,145.51,146.66,145.45,146.13,11574855
IBM,2020-01-17,146.13,148.02,145.99,147.05,8535342
IBM,2020-01-20,147.05,148.9,145.62,148.26,11110379
IBM,2020-01-21,148.26,150.83,147.76,150.53,15155443
IBM,2020-01-22,150.53,151.25,149.08,150.09,12215866
IBM,2020-01-23,150.09,151.67,150.01,151.16,11300144
IBM,2020-01-24,151.16,151.88,150.62,151.73,8359228
IBM,2020-01-27,151.73,153.23,150.5,152.15,14128564
IBM,2020-01-28,152.15,152.27,149.84,150.05,9778414
IBM,2020-01-29,150.05,150.39,149.44,149.84,7826192
IBM,2020-01-30,149.84,150.35,146.42,146.43,5574077
IBM,2020-01-31,146.43,148.42,145.45,147.99,8826230
IBM,2020-02-03,147.99,148.91,147.09,147.12,10124891
IBM,2020-02-04,147.12,147.56,144.18,144.33,10074741
IBM,2020-02-05,144.33,148.49,143.48,146.81,8897317
IBM,2020-02-06,146.81,147.15,142.04,143.04,12979014
IBM,2020-02-07,143.04,143.49,138.31,139.08,7732686
IBM,2020-02-10,139.08,139.59,137.73,137.96,12562821
IBM,2020-02-11,137.96,138.07,135.93,137.16,6107073
IBM,2020-02-12,137.16,137.3,134.17,134.31,8470408
IBM,2020-02-13,134.31,134.62,133.18,134.16,11480608
IBM,2020-02-14,134.16,134.77,131.45,131.81,7759172
IBM,2020-02-17,131.81,131.92,131.59,131.8,10664550
IBM,2020-02-18,131.8,133.07,130.97,132.66,18096428
IBM,2020-02-19,132.66,133.31,129.7,131.18,5954558
IBM,2020-02-20,131.18,134.31,130.89,133.98,12390470
IBM,2020-02-21,133.98,134.51,131.68,132.64,5838366
IBM,2020-02-24,132.64,133.11,128.2,129.48,9584373
IBM,2020-02-25,129.48,133.96,128.91,133.39,8267519
IBM,2020-02-26,133.39,133.44,128.72,129.31,7654240
IBM,2020-02-27,129.31,131.55,129.25,131.07,11445859
IBM,2020-02-28,131.07,137.86,130.53,137.26,13354814
IBM,2020-03-02,137.26,138.31,135.11,135.67,10265764
IBM,2020-03-03,135.67,136.21,133.24,134.17,3815661
IBM,2020-03-04,134.17,138.78,133.69,136.26,7625151
IBM,2020-03-05,136.26,139.13,136.18,138.13,8382410
IBM,2020-03-06,138.13,139.13,137.07,137.36,14453836
IBM,2020-03-09,137.36,137.57,134.07,134.35,8154908
IBM,2020-03-10,134.35,135.42,134.21,134.94,12337850
IBM,2020-03-11,134.94,136.83,134.33,136.72,5484243
IBM,2020-03-12,136.72,137.93,134.55,135.25,8329717
IBM,2020-03-13,135.25,135.39,133.75,134.43,12913765
IBM,2020-03-16,134.43,138.7,133.91,137.84,10360134
IBM,2020-03-17,137.84,138.31,134.68,134.95,12597657
IBM,2020-03-18,134.95,135.58,133.99,135.02,11915261
IBM,2020-03-19,135.02,137.65,134.82,137.64,13301282
IBM,2020-03-20,137.64,139.16,134.78,135.82,12393031
IBM,2020-03-23,135.82,138.08,135.3,136.95,11110255
IBM,2020-03-24,136.95,138.36,136.51,138.0,11150962
IBM,2020-03-25,138.0,138.4,136.41,136.49,9350243
IBM,2020-03-26,136.49,136.84,134.72,135.24,13926906
IBM,2020-03-27,135.24,137.63,134.78,137.0,9026076
IBM,2020-03-30,137.0,137.33,134.83,135.33,9724042
IBM,2020-03-31,135.33,135.62,134.44,134.55,8620593
IBM,2020-04-01,134.55,139.23,133.14,139.05,8030056
IBM,2020-04-02,139.05,139.31,136.62,137.02,5954893
IBM,2020-04-03,137.02,137.18,130.78,131.86,12577733
IBM,2020-04-06,131.86,136.32,130.9,135.93,13520651
IBM,2020-04-07,135.93,137.17,133.85,135.13,3768190
IBM,2020-04-08,135.13,135.67,134.61,135.34,12551316
IBM,2020-04-09,135.34,137.81,134.62,137.39,11995668
IBM,2020-04-10,137.39,137.65,135.8,136.62,12350553
IBM,2020-04-13,136.62,141.56,135.85,141.3,12377807
IBM,2020-04-14,141.3,141.77,137.91,138.04,13995423
IBM,2020-04-15,138.04,139.62,137.17,139.03,5954825
IBM,2020-04-16,139.03,139.24,138.28,138.89,14866008
IBM,2020-04-17,138.89,139.98,135.42,135.45,12758600
IBM,2020-04-20,135.45,136.86,134.28,136.15,9748219
IBM,2020-04-21,136.15,137.72,136.02,137.52,7199279
IBM,2020-04-22,137.52,137.72,136.56,136.88,15892599
IBM,2020-04-23,136.88,137.48,133.55,134.56,10588080
IBM,2020-04-24,134.56,134.84,132.29,132.37,5184161
IBM,2020-04-27,132.37,135.96,131.67,134.82,12645214
IBM,2020-04-28,134.82,134.95,131.71,132.87,9403566
IBM,2020-04-29,132.87,135.22,132.83,134.23,6435531
IBM,2020-04-30,134.23,134.58,134.01,134.11,15824109
IBM,2020-05-01,134.11,134.28,131.33,132.45,4364940
IBM,2020-05-04,132.45,134.42,132.13,134.19,12409667
IBM,2020-05-05,134.19,134.21,132.34,133.5,13507817
IBM,2020-05-06,133.5,134.09,133.11,133.87,4834000
IBM,2020-05-07,133.87,133.99,132.29,132.78,5269375
IBM,2020-05-08,132.78,134.83,132.49,134.2,12304117
IBM,2020-05-11,134.2,135.02,134.03,134.68,11430386
IBM,2020-05-12,134.68,136.9,134.61,136.64,8607431
IBM,2020-05-13,136.64,142.49,135.56,141.68,7269262
IBM,2020-05-14,141.68,142.18,139.42,139.54,6010786
IBM,2020-05-15,139.54,140.11,139.13,139.2,8593606
IBM,2020-05-18,139.2,139.41,138.5,138.63,11458677
IBM,2020-05-19,138.63,139.28,134.4,135.14,14162781
IBM,2020-05-20,135.14,136.52,134.77,136.35,11882493
IBM,2020-05-21,136.35,138.79,135.86,137.89,9318128
IBM,2020-05-22,137.89,138.18,136.14,136.45,6762237
IBM,2020-05-25,136.45,138.06,135.76,137.98,11144509
IBM,2020-05-26,137.98,140.49,137.95,139.35,8530975
IBM,2020-05-27,139.35,140.41,138.87,139.31,9291065
IBM,2020-05-28,139.31,139.52,137.09,138.04,10245743
IBM,2020-05-29,138.04,138.45,136.61,137.23,15737656
IBM,2020-06-01,137.23,137.59,136.97,137.43,10142384
IBM,2020-06-02,137.43,141.7,136.75,141.53,8365450
IBM,2020-06-03,141.53,145.96,140.48,144.97,10665211
IBM,2020-06-04,144.97,145.16,142.61,143.53,8193949
IBM,2020-06-05,143.53,149.08,142.59,148.51,4156122
IBM,2020-06-08,148.51,151.45,146.8,151.03,12620083
IBM,2020-06-09,151.03,152.15,149.45,149.92,13506510
IBM,2020-06-10,149.92,152.98,149.77,152.11,9248927
IBM,2020-06-11,152.11,152.71,151.52,151.68,12738782
IBM,2020-06-12,151.68,154.47,151.25,153.53,7089877
IBM,2020-06-15,153.53,154.14,150.74,152.39,8177629
IBM,2020-06-16,152.39,152.57,151.08,151.8,9461966
IBM,2020-06-17,151.8,151.89,145.33,145.94,9362755
IBM,2020-06-18,145.94,146.1,141.25,142.67,6906386
IBM,2020-06-19,142.67,143.33,142.48,143.1,4176628
IBM,2020-06-22,143.1,143.57,136.18,136.76,8807853
IBM,2020-06-23,136.76,140.3,136.47,139.64,5465029
IBM,2020-06-24,139.64,139.87,137.53,137.69,14092858
IBM,2020-06-25,137.69,138.99,135.6,136.12,5387288
IBM,2020-06-26,136.12,140.74,135.81,139.89,8838323
IBM,2020-06-29,139.89,143.46,137.84,143.39,9296702
IBM,2020-06-30,143.39,143.77,141.59,141.95,12351589
IBM,2020-07-01,141.95,143.28,141.07,143.27,10869299
IBM,2020-07-02,143.27,144.18,142.71,144.01,2319783
IBM,2020-07-03,144.01,149.52,143.92,148.15,8554160
IBM,2020-07-06,148.15,148.83,145.81,147.16,7285925
IBM,2020-07-07,147.16,148.05,143.47,144.23,11499660
IBM,2020-07-08,144.23,148.61,143.92,148.13,15145098
IBM,2020-07-09,148.13,152.77,147.93,152.16,10046565
IBM,2020-07-10,152.16,154.03,149.97,150.19,7061609
IBM,2020-07-13,150.19,150.23,147.31,147.99,3622315
IBM,2020-07-14,147.99,149.79,146.74,149.52,13255453
IBM,2020-07-15,149.52,150.0,141.07,142.68,2888458
IBM,2020-07-16,142.68,144.25,142.61,143.72,8108488
IBM,2020-07-17,143.72,145.05,143.25,144.74,7428257
IBM,2020-07-20,144.74,145.0,143.16,143.39,8834639
IBM,2020-07-21,143.39,144.7,143.06,144.18,9222607
IBM,2020-07-22,144.18,144.65,141.15,142.25,5432601
IBM,2020-07-23,142.25,145.01,140.99,143.93,3578713
IBM,2020-07-24,143.93,145.16,143.27,144.87,14003125
IBM,2020-07-27,144.87,145.38,143.86,143.98,13974921
IBM,2020-07-28,143.98,144.67,143.71,143.84,11467513
IBM,2020-07-29,143.84,146.03,143.23,145.74,13653933
IBM,2020-07-30,145.74,146.82,145.58,146.6,11128542
IBM,2020-07-31,146.6,149.35,146.23,149.15,11702619
IBM,2020-08-03,149.15,153.82,147.56,152.81,10169203
IBM,2020-08-04,152.81,157.22,150.94,156.43,6274804
IBM,2020-08-05,156.43,160.24,155.91,159.96,9899789
IBM,2020-08-06,159.96,162.09,159.29,161.27,10640564
IBM,2020-08-07,161.27,161.6,156.0,157.06,9381942
IBM,2020-08-10,157.06,157.28,156.57,156.59,8282656
IBM,2020-08-11,156.59,157.04,154.57,154.64,11993785
IBM,2020-08-12,154.64,155.94,153.59,153.61,11004183
IBM,2020-08-13,153.61,156.09,153.48,155.1,6419221
IBM,2020-08-14,155.1,155.39,153.41,154.97,12540409
IBM,2020-08-17,154.97,156.42,153.01,153.06,16753544
IBM,2020-08-18,153.06,153.46,149.95,150.06,9523894
IBM,2020-08-19,150.06,151.37,149.9,150.6,6867950
IBM,2020-08-20,150.6,153.11,150.25,152.31,12713129
IBM,2020-08-21,152.31,155.18,152.03,154.61,9713133
IBM,2020-08-24,154.61,154.89,153.18,153.64,14904617
IBM,2020-08-25,153.64,158.38,153.09,157.55,8189526
IBM,2020-08-26,157.55,162.14,155.99,161.48,9492895
IBM,2020-08-27,161.48,162.81,161.12,162.47,10895541
IBM,2020-08-28,162.47,163.73,155.24,155.58,11456060
IBM,2020-08-31,155.58,155.77,153.74,153.92,10827743
IBM,2020-09-01,153.92,155.21,148.98,149.94,8915939
IBM,2020-09-02,149.94,150.72,148.03,148.07,4131003
IBM,2020-09-03,148.07,148.36,148.04,148.29,7778851
IBM,2020-09-04,148.29,150.43,147.86,149.66,7204922
IBM,2020-09-07,149.66,149.72,149.61,149.72,11081329
IBM,2020-09-08,149.72,150.9,149.15,150.1,12883717
IBM,2020-09-09,150.1,150.78,148.85,150.66,10575285
IBM,2020-09-10,150.66,150.97,150.19,150.37,13271049
IBM,2020-09-11,150.37,150.69,148.06,150.37,13355436
IBM,2020-09-14,150.37,154.95,150.14,154.71,7401689
IBM,2020-09-15,154.71,155.23,147.64,149.21,12540172
IBM,2020-09-16,149.21,151.72,148.99,151.2,11969467
IBM,2020-09-17,151.2,154.14,151.05,153.86,10704142
IBM,2020-09-18,153.86,157.02,152.9,156.89,6636365
IBM,2020-09-21,156.89,157.39,153.18,154.04,11094872
IBM,2020-09-22,154.04,156.76,153.73,155.66,12312058
IBM,2020-09-23,155.66,156.45,154.0,154.38,6254116
IBM,2020-09-24,154.38,161.46,153.76,160.37,7633656
