Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,154.79,154.84,153.38,153.51,148.95,7418100
2025-02-07,153.53,154.49,152.8,153.12,148.57,6204900
2025-02-10,153.61,154.37,152.29,154.24,149.66,6936200
2025-02-11,154.11,156.39,153.94,156.13,151.49,7554500
2025-02-12,155.27,155.66,154.27,155.26,150.65,7746000
2025-02-13,155.26,158.13,154.79,157.25,152.58,10704700
2025-02-14,157.29,157.47,156.06,156.15,151.51,6411800
2025-02-18,154.14,155.45,153.24,154.99,151.59,9670700
2025-02-19,155.0,158.3,154.75,157.89,154.43,7974700
2025-02-20,156.95,159.95,156.95,159.68,156.18,7224000
2025-02-21,159.88,163.51,159.28,162.3,158.74,12546900
2025-02-24,162.68,164.87,162.05,163.74,160.15,10201900
2025-02-25,164.1,166.43,163.94,166.09,162.45,12303700
2025-02-26,165.08,165.13,162.56,163.08,159.5,11396400
2025-02-27,162.31,163.95,161.73,163.73,160.14,8364600
2025-02-28,164.31,165.94,162.7,165.02,161.4,12037200
2025-03-03,164.96,167.33,164.84,167.28,163.61,9191500
2025-03-04,168.08,169.99,165.32,165.42,161.79,11999700
2025-03-05,164.51,166.46,163.53,165.12,161.5,8744800
2025-03-06,165.0,165.87,163.51,165.83,162.19,8037900
2025-03-07,165.13,168.46,164.7,166.69,163.03,9637600
2025-03-10,167.48,169.9,167.05,167.7,164.02,17559000
2025-03-11,167.2,167.3,165.05,165.86,162.22,9890300
2025-03-12,163.73,164.21,162.23,162.85,159.28,8010700
2025-03-13,163.43,164.54,162.66,162.99,159.41,5286700
2025-03-14,162.12,163.15,161.1,162.81,159.24,6235800
2025-03-17,162.41,163.5,161.73,162.84,159.27,6669800
2025-03-18,163.44,164.86,162.97,164.25,160.65,7348800
2025-03-19,163.97,164.36,162.21,162.99,159.41,5936400
2025-03-20,163.0,163.2,161.93,163.02,159.44,7485900
2025-03-21,163.0,164.13,162.48,163.63,160.04,17047100
2025-03-24,162.84,164.39,162.5,163.29,159.71,8046400
2025-03-25,163.52,164.19,160.56,161.02,157.49,7456200
2025-03-26,161.21,162.49,160.64,161.72,158.17,7223500
2025-03-27,162.35,164.07,161.32,163.13,159.55,6752500
2025-03-28,163.59,164.52,162.91,163.71,160.12,5760300
2025-03-31,164.37,166.63,164.23,165.84,162.2,12481400
2025-04-01,160.73,161.81,153.13,153.25,149.89,23303100
2025-04-02,154.01,155.79,153.45,155.36,151.95,10356900
2025-04-03,158.75,160.65,157.48,159.82,156.31,13249300
2025-04-04,159.16,159.82,152.93,153.24,149.88,16601700
2025-04-07,151.28,152.71,147.4,150.62,147.32,18083000
2025-04-08,153.59,153.59,148.0,150.0,146.71,12018400
2025-04-09,142.2,153.19,141.5,150.97,147.66,18773700
2025-04-10,150.37,151.2,145.13,148.69,145.43,13830500
2025-04-11,149.33,152.35,148.19,151.73,148.4,9943900
2025-04-14,151.59,154.67,151.17,154.36,150.97,10685300
2025-04-15,155.7,156.3,152.1,153.62,150.25,10847700
2025-04-16,155.37,155.63,152.24,153.91,150.53,7986900
2025-04-17,154.16,159.44,154.16,157.47,154.02,10981100
2025-04-21,157.96,158.23,155.49,156.92,153.48,6285400
2025-04-22,157.55,158.72,156.26,157.75,154.29,7136300
2025-04-23,156.49,157.1,154.33,155.38,151.97,9099400
2025-04-24,155.8,155.9,153.44,154.93,151.53,8310400
2025-04-25,154.32,154.9,152.45,154.58,151.19,8643600
2025-04-28,155.5,155.81,153.82,155.35,151.94,5815200
2025-04-29,155.45,157.02,154.29,155.91,152.49,5246700
2025-04-30,158.2,158.2,155.02,156.31,152.88,9598200
2025-05-01,155.0,155.09,153.36,154.46,151.07,7325800
2025-05-02,156.07,156.72,155.04,156.12,152.7,5974500
2025-05-05,156.67,156.79,154.73,155.0,151.6,5464100
2025-05-06,154.82,155.9,153.69,154.47,151.08,8644200
2025-05-07,154.74,157.94,154.5,157.3,153.85,7853100
2025-05-08,155.82,157.03,154.78,155.66,152.25,7606100
2025-05-09,155.42,156.06,153.81,154.22,150.84,6520400
2025-05-12,152.02,155.36,151.18,154.14,150.76,9023800
2025-05-13,151.7,151.7,148.08,148.44,145.18,10549600
2025-05-14,148.67,148.82,146.12,146.36,143.15,10216000
2025-05-15,148.0,149.65,147.33,149.61,146.33,7945800
2025-05-16,149.67,151.5,149.22,151.33,148.01,8051200
2025-05-19,151.89,152.66,151.05,152.49,149.15,12639900
2025-05-20,152.33,154.04,152.12,153.66,150.29,7351500
2025-05-21,153.19,154.43,153.0,153.18,149.82,7032200
2025-05-22,152.65,153.32,151.37,152.61,149.26,7535300
2025-05-23,153.0,153.48,152.21,152.94,149.59,6727300
2025-05-27,152.52,154.04,151.93,153.25,151.17,6990700
2025-05-28,153.28,153.64,151.93,152.43,150.36,8459300
2025-05-29,151.75,154.04,151.56,153.58,151.5,6810600
2025-05-30,153.9,155.71,153.22,155.21,153.11,15529700
2025-06-02,154.48,155.54,152.3,155.4,153.29,6669300
2025-06-03,154.8,155.66,154.08,154.42,152.33,8209800
2025-06-04,154.93,154.93,153.13,153.22,151.14,6983900
2025-06-05,153.68,154.09,152.64,153.66,151.58,5295400
2025-06-06,154.0,156.03,154.0,155.03,152.93,5391500
2025-06-09,154.85,155.99,154.45,155.23,153.13,5319000
2025-06-10,155.43,157.44,155.02,156.45,154.33,6791600
2025-06-11,156.3,156.6,154.73,155.26,153.16,6016000
2025-06-12,156.24,156.68,155.17,156.66,154.54,7075500
2025-06-13,155.97,157.67,155.97,157.1,154.97,6587500
2025-06-16,156.42,156.5,154.45,155.22,153.12,7024000
2025-06-17,154.97,155.28,152.1,152.38,150.32,6407100
2025-06-18,152.57,152.65,150.71,150.73,148.69,8325200
2025-06-20,151.26,151.4,149.04,149.79,147.76,22605500
2025-06-23,149.74,151.43,149.74,151.32,149.27,7397900
2025-06-24,151.5,152.72,150.98,152.19,150.13,9544200
2025-06-25,151.38,153.07,150.73,152.28,150.22,7153700
2025-06-26,152.7,153.22,151.53,152.01,149.95,7156900
2025-06-27,152.01,153.33,151.01,152.41,150.34,10010800
2025-06-30,152.16,152.97,151.52,152.75,150.68,9039300
2025-07-01,153.0,157.75,152.81,155.92,153.81,10896700
2025-07-02,156.0,156.3,155.07,155.56,153.45,5544000
2025-07-03,155.43,156.28,154.88,156.01,153.9,3482500
2025-07-07,156.02,156.35,154.89,155.27,153.17,6270900
2025-07-08,154.48,156.76,154.21,155.79,153.68,6438200
2025-07-09,155.79,156.69,155.07,156.28,154.16,6147400
2025-07-10,156.1,159.24,155.82,157.69,155.55,6732900
2025-07-11,157.09,157.18,155.18,156.9,154.77,7872000
2025-07-14,156.87,157.47,155.52,156.82,154.7,10185600
2025-07-15,156.36,157.19,154.8,155.17,153.07,6873200
2025-07-16,160.3,166.12,159.8,164.78,162.55,22134800
2025-07-17,163.18,164.7,162.3,162.98,160.77,11295700
2025-07-18,163.93,165.1,163.36,163.7,161.48,9792600
2025-07-21,163.77,164.92,162.78,164.36,162.13,8254000
2025-07-22,165.0,168.06,164.71,167.93,165.65,9288000
2025-07-23,168.6,169.12,166.59,169.1,166.81,10617600
