Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,272.45,276.98,271.19,276.9,271.34,7264400
2025-02-07,277.27,278.55,274.71,275.8,270.26,6857900
2025-02-10,276.15,276.18,269.59,271.04,265.59,8627400
2025-02-11,270.26,276.22,269.66,274.99,269.46,7196400
2025-02-12,274.08,276.45,273.25,275.45,269.92,6683900
2025-02-13,275.5,276.97,273.81,276.32,270.77,8398700
2025-02-14,277.37,279.23,276.45,276.59,271.03,5688600
2025-02-18,276.76,279.97,276.02,279.95,274.33,7919800
2025-02-19,278.38,280.25,277.22,279.25,273.64,7007200
2025-02-20,278.68,278.74,265.74,266.8,261.44,13846700
2025-02-21,268.32,269.2,262.84,264.24,258.93,12835600
2025-02-24,265.49,267.0,258.61,261.34,256.09,10372800
2025-02-25,262.23,263.0,253.35,257.4,252.23,9608400
2025-02-26,257.16,260.91,256.93,258.79,253.59,5943600
2025-02-27,260.18,263.64,257.86,259.05,253.84,8204400
2025-02-28,260.73,264.81,257.89,264.65,259.33,10467100
2025-03-03,264.0,266.32,257.82,260.62,255.38,9058300
2025-03-04,255.28,257.23,245.95,250.25,245.22,13465600
2025-03-05,251.25,253.05,247.83,251.53,246.48,7861400
2025-03-06,248.11,249.36,243.85,246.54,241.59,9983200
2025-03-07,245.23,246.72,239.42,242.28,237.41,20498700
2025-03-10,236.21,237.51,228.7,232.22,227.55,18887200
2025-03-11,231.75,233.32,226.69,229.14,224.54,18143000
2025-03-12,234.0,234.32,227.26,227.9,223.32,16054000
2025-03-13,229.3,229.5,224.23,225.19,220.67,16467900
2025-03-14,228.12,233.14,227.58,232.44,227.77,11962100
2025-03-17,231.18,235.67,230.46,233.93,229.23,9586000
2025-03-18,234.32,236.17,233.52,234.97,230.25,10344900
2025-03-19,235.74,242.33,234.89,239.11,234.31,10120600
2025-03-20,236.56,241.76,236.2,239.01,234.21,8328500
2025-03-21,237.81,242.3,236.5,241.63,236.77,19326900
2025-03-24,245.48,248.69,244.41,248.06,243.08,9422700
2025-03-25,249.31,251.82,247.62,251.13,246.08,9287700
2025-03-26,252.6,254.67,249.78,251.03,245.99,12779300
2025-03-27,249.53,250.64,247.18,248.12,243.13,8022500
2025-03-28,246.94,249.51,241.11,242.85,237.97,11978400
2025-03-31,239.41,245.86,237.36,245.3,240.37,13603000
2025-04-01,242.62,245.69,240.88,243.66,238.76,8054700
2025-04-02,241.6,247.25,241.46,245.82,240.88,7758800
2025-04-03,234.27,235.14,227.3,228.69,224.1,17188500
2025-04-04,215.31,217.7,208.93,210.28,207.32,27170700
2025-04-07,205.77,222.05,202.16,214.44,211.43,22914400
2025-04-08,223.52,227.84,213.25,216.87,213.82,19485700
2025-04-09,212.5,237.48,211.0,234.34,231.05,24022400
2025-04-10,230.0,230.35,220.1,227.11,223.92,18896400
2025-04-11,226.31,238.58,225.0,236.2,232.88,20284500
2025-04-14,237.1,239.78,233.63,234.72,231.42,13017800
2025-04-15,236.1,238.65,232.82,233.13,229.85,10912900
2025-04-16,232.0,233.58,227.93,229.61,226.38,9322300
2025-04-17,230.8,234.34,230.55,231.96,228.7,9557900
2025-04-21,230.63,231.81,226.34,228.99,225.77,8716200
2025-04-22,231.98,235.99,231.37,235.59,232.28,10701400
2025-04-23,240.22,246.79,240.0,240.88,237.49,14126800
2025-04-24,239.74,245.47,237.58,244.64,241.2,9055200
2025-04-25,244.65,245.62,241.75,243.55,240.13,8588600
