Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,680.43,689.86,675.35,687.70,687.70,69535929
2023-01-04,687.70,692.97,683.63,685.99,685.99,21238634
2023-01-05,685.99,687.90,670.58,674.76,674.76,13809371
2023-01-06,674.76,689.63,667.10,685.67,685.67,47443719
2023-01-07,685.67,686.64,672.00,678.73,678.73,33800864
2023-01-10,678.73,685.08,668.15,676.18,676.18,22763124
2023-01-11,676.18,680.97,665.82,666.91,666.91,49281403
2023-01-12,666.91,670.84,651.21,653.60,653.60,23067038
2023-01-13,653.60,658.04,643.04,643.36,643.36,34066229
2023-01-14,643.36,656.54,636.57,654.29,654.29,58843581
2023-01-17,654.29,655.77,640.21,646.17,646.17,58541244
2023-01-18,646.17,646.53,642.33,643.91,643.91,26622192
2023-01-19,643.91,648.63,623.42,630.16,630.16,16838589
2023-01-20,630.16,630.62,618.73,620.02,620.02,26966082
2023-01-21,620.02,626.00,604.06,605.86,605.86,73608502
2023-01-24,605.86,607.74,596.76,603.18,603.18,21307386
2023-01-25,603.18,624.20,600.48,618.14,618.14,56944492
2023-01-26,618.14,624.39,615.66,620.48,620.48,37717524
2023-01-27,620.48,625.12,610.47,615.10,615.10,24581091
2023-01-28,615.10,617.40,602.37,606.18,606.18,64013084
2023-01-31,606.18,626.10,601.17,622.41,622.41,65823966
2023-02-01,622.41,627.43,618.52,618.55,618.55,39235131
2023-02-02,618.55,625.74,607.73,613.10,613.10,21286958
2023-02-03,613.10,619.66,592.79,600.05,600.05,40970304
2023-02-04,600.05,606.59,585.69,591.40,591.40,15835344
2023-02-07,591.40,593.19,577.80,578.22,578.22,54841882
2023-02-08,578.22,586.77,574.26,581.44,581.44,36517437
2023-02-09,581.44,598.15,576.73,590.92,590.92,26599340
2023-02-10,590.92,592.73,577.77,580.63,580.63,59219555
2023-02-11,580.63,586.94,576.47,577.68,577.68,43761517
2023-02-14,577.68,581.07,565.21,565.59,565.59,51093125
2023-02-15,565.59,578.42,558.34,577.78,577.78,45393299
2023-02-16,577.78,592.85,574.49,587.17,587.17,70142883
2023-02-17,587.17,593.12,580.25,584.25,584.25,34973414
2023-02-18,584.25,586.09,576.92,583.29,583.29,44132307
2023-02-21,583.29,586.65,574.58,576.71,576.71,22997263
2023-02-22,576.71,583.64,567.14,573.22,573.22,58420228
2023-02-23,573.22,594.60,570.70,587.28,587.28,41159702
2023-02-24,587.28,588.86,579.22,582.79,582.79,33103444
2023-02-25,582.79,598.82,580.80,591.43,591.43,31876192
2023-02-28,591.43,596.46,574.15,577.44,577.44,76841583
2023-03-01,577.44,584.23,571.26,576.75,576.75,42202701
2023-03-02,576.75,587.19,569.29,585.47,585.47,73136593
2023-03-03,585.47,587.64,577.59,581.52,581.52,53299766
2023-03-04,581.52,588.58,575.89,577.02,577.02,22330023
2023-03-07,577.02,588.32,574.88,585.99,585.99,41041483
2023-03-08,585.99,588.95,570.95,574.00,574.00,23002721
2023-03-09,574.00,583.55,570.07,579.01,579.01,33135621
2023-03-10,579.01,595.38,571.83,592.41,592.41,43134356
2023-03-11,592.41,596.15,580.28,582.90,582.90,20679262
2023-03-13,582.90,587.55,575.73,583.95,583.95,10900985
2023-03-14,583.95,589.01,576.07,579.83,579.83,29948280
2023-03-15,579.83,591.97,573.05,590.14,590.14,61186869
2023-03-16,590.14,592.56,586.60,592.04,592.04,39706529
2023-03-17,592.04,595.13,575.17,582.13,582.13,48229916
2023-03-20,582.13,582.40,570.82,575.12,575.12,55257671
2023-03-21,575.12,585.93,568.08,584.79,584.79,50564943
2023-03-22,584.79,585.74,577.94,581.68,581.68,64559128
2023-03-23,581.68,588.66,576.55,588.41,588.41,37677468
2023-03-24,588.41,588.65,585.53,585.74,585.74,51083287
2023-03-27,585.74,589.68,567.26,571.97,571.97,63265403
2023-03-28,571.97,577.26,571.22,571.47,571.47,16731247
2023-03-29,571.47,575.75,570.97,575.68,575.68,44766091
2023-03-30,575.68,576.71,556.46,562.79,562.79,83000171
2023-03-31,562.79,565.15,558.84,560.69,560.69,62750473
2023-04-03,560.69,567.89,554.65,563.38,563.38,26825834
2023-04-04,563.38,567.11,545.15,552.11,552.11,30961391
2023-04-05,552.11,554.66,538.93,539.32,539.32,69321463
2023-04-06,539.32,540.45,534.67,536.06,536.06,14950406
2023-04-07,536.06,555.14,535.36,549.92,549.92,28287894
2023-04-10,549.92,565.54,545.00,561.98,561.98,52607559
2023-04-11,561.98,564.55,552.33,552.65,552.65,43866177
