Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,363.32,366.58,363.19,364.42,364.42,47418467
2023-01-04,364.42,371.59,363.42,369.10,369.10,55736251
2023-01-05,369.10,370.59,363.20,364.67,364.67,28796054
2023-01-06,364.67,365.79,364.29,364.83,364.83,45741977
2023-01-07,364.83,370.76,364.79,369.85,369.85,42047215
2023-01-10,369.85,376.37,367.94,375.05,375.05,58177808
2023-01-11,375.05,376.09,371.94,372.15,372.15,66532314
2023-01-12,372.15,373.44,371.10,373.30,373.30,61746894
2023-01-13,373.30,374.86,370.52,372.63,372.63,21644201
2023-01-14,372.63,373.51,369.41,370.74,370.74,26659191
2023-01-17,370.74,371.34,365.61,367.28,367.28,13572310
2023-01-18,367.28,369.06,363.27,363.63,363.63,66123550
2023-01-19,363.63,364.30,359.81,360.62,360.62,42475008
2023-01-20,360.62,362.18,358.23,360.48,360.48,54890723
2023-01-21,360.48,360.73,359.15,360.60,360.60,49551083
2023-01-24,360.60,361.35,355.36,356.80,356.80,55998918
2023-01-25,356.80,358.87,354.35,358.29,358.29,37513246
2023-01-26,358.29,361.64,357.40,359.57,359.57,22320474
2023-01-27,359.57,364.86,359.41,364.19,364.19,43785510
2023-01-28,364.19,364.87,357.86,359.70,359.70,65223885
2023-01-31,359.70,360.13,354.20,356.08,356.08,68313012
2023-02-01,356.08,357.89,350.96,351.43,351.43,54190249
2023-02-02,351.43,352.40,348.47,350.41,350.41,49297848
2023-02-03,350.41,351.55,348.78,351.14,351.14,14057117
2023-02-04,351.14,354.61,350.82,354.53,354.53,59643736
2023-02-07,354.53,354.57,350.81,353.06,353.06,16006502
2023-02-08,353.06,357.07,352.14,355.81,355.81,11862969
2023-02-09,355.81,357.64,352.87,354.34,354.34,36693080
2023-02-10,354.34,360.22,352.30,358.08,358.08,69385489
2023-02-11,358.08,361.35,356.86,359.79,359.79,43088809
2023-02-14,359.79,365.03,359.65,363.07,363.07,69037290
2023-02-15,363.07,368.60,361.04,367.59,367.59,17755846
2023-02-16,367.59,368.15,365.19,366.02,366.02,39359050
2023-02-17,366.02,367.63,364.97,367.52,367.52,31931808
2023-02-18,367.52,368.96,365.81,366.60,366.60,12585348
2023-02-21,366.60,367.52,362.32,364.73,364.73,58275339
2023-02-22,364.73,371.30,363.26,369.47,369.47,66744992
2023-02-23,369.47,371.55,365.57,367.45,367.45,45600327
2023-02-24,367.45,368.05,365.50,367.45,367.45,53594996
2023-02-25,367.45,367.53,367.12,367.17,367.17,53395880
2023-02-28,367.17,368.53,363.47,363.72,363.72,24690542
2023-03-01,363.72,365.81,362.80,364.84,364.84,37421795
2023-03-02,364.84,365.74,362.81,362.94,362.94,16717216
2023-03-03,362.94,366.93,361.11,366.26,366.26,56106457
2023-03-04,366.26,371.17,365.25,369.73,369.73,25927954
