Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,81.15,83.06,80.93,82.83,82.08,9903200
2025-02-07,83.19,83.51,81.79,82.33,81.58,9833600
2025-02-10,83.55,84.67,82.56,83.73,82.97,13613100
2025-02-11,83.06,84.5,82.98,83.26,82.5,8903400
2025-02-12,81.28,82.14,80.49,81.57,80.83,7973000
2025-02-13,81.58,83.66,81.45,83.3,82.54,7845900
2025-02-14,82.65,83.61,81.72,82.75,82.0,9149500
2025-02-18,84.91,86.81,83.37,86.58,85.79,16205500
2025-02-19,86.3,89.8,85.75,87.66,86.86,15588000
2025-02-20,89.98,91.72,88.56,89.02,88.21,16888400
2025-02-21,89.64,90.22,85.72,86.02,85.24,12860900
2025-02-24,86.45,86.71,83.22,83.34,82.58,11728700
2025-02-25,83.06,83.7,79.93,80.29,79.56,19088100
2025-02-26,81.69,82.93,80.65,81.3,80.56,12427500
2025-02-27,81.65,82.17,76.04,76.17,75.48,14830200
2025-02-28,76.75,78.18,75.37,76.74,76.04,22608300
2025-03-03,77.94,79.75,74.55,75.78,75.09,14787100
2025-03-04,76.03,78.47,74.08,76.44,75.75,15417700
2025-03-05,76.76,79.41,75.52,79.05,78.57,15404800
2025-03-06,77.13,78.57,75.86,76.47,76.0,13195500
2025-03-07,76.65,79.49,75.34,79.01,78.53,14160300
2025-03-10,76.9,77.38,72.7,73.81,73.36,16652700
2025-03-11,74.08,75.39,72.45,73.36,72.91,12617500
2025-03-12,75.31,77.66,75.17,76.59,76.12,12702100
2025-03-13,76.11,77.27,74.55,75.26,74.8,9746200
2025-03-14,76.76,79.08,76.52,78.69,78.21,11862000
2025-03-17,77.11,79.14,77.11,78.31,77.83,9555200
2025-03-18,77.48,77.84,76.17,77.36,76.89,8094700
2025-03-19,77.37,79.48,76.86,77.93,77.46,8907200
2025-03-20,76.69,78.1,76.44,77.55,77.08,10689100
2025-03-21,76.0,76.37,75.27,75.84,75.38,20062000
2025-03-24,77.74,78.78,77.38,77.99,77.52,7954800
2025-03-25,77.85,78.37,77.47,77.67,77.2,6437300
2025-03-26,77.75,77.86,75.13,76.14,75.68,7325600
2025-03-27,75.89,76.07,74.35,74.81,74.35,8441800
2025-03-28,74.63,75.3,72.23,72.61,72.17,9541500
2025-03-31,71.6,72.85,70.44,72.7,72.26,11778100
2025-04-01,72.04,72.85,70.75,72.83,72.39,9066200
2025-04-02,71.72,74.8,71.56,73.78,73.33,7641400
2025-04-03,70.22,70.55,65.11,65.22,64.82,19479400
2025-04-04,62.51,63.07,57.97,59.09,58.73,26250900
2025-04-07,57.92,66.1,56.32,62.2,61.82,28191400
2025-04-08,64.65,66.11,58.74,60.25,59.88,19560800
2025-04-09,60.69,71.87,59.92,71.11,70.68,29544700
2025-04-10,68.0,68.0,63.27,66.43,66.03,20011800
2025-04-11,65.69,67.96,64.58,67.48,67.07,14706200
2025-04-14,68.64,69.36,66.91,67.86,67.45,9945000
2025-04-15,68.09,69.54,67.95,68.44,68.02,10674200
2025-04-16,65.24,66.82,62.95,65.14,64.74,17845300
2025-04-17,65.34,65.38,63.48,63.76,63.37,13847700
2025-04-21,62.36,62.67,61.14,62.39,62.01,14302900
2025-04-22,62.97,64.02,62.56,63.48,63.09,10857300
2025-04-23,66.81,68.01,66.34,66.73,66.32,18214700
2025-04-24,69.67,71.21,67.55,70.9,70.47,18159400
2025-04-25,70.33,72.29,70.29,71.42,70.99,9751500
2025-04-28,70.95,71.94,70.04,71.57,71.13,10255000
2025-04-29,70.89,71.66,70.22,70.9,70.47,8583800
2025-04-30,68.89,71.84,68.53,71.67,71.23,11233900
2025-05-01,72.18,73.53,71.4,71.73,71.29,14147600
2025-05-02,74.25,75.49,73.69,74.52,74.07,13339400
2025-05-05,73.88,74.9,73.78,73.91,73.46,6960800
