Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,566.13,569.75,564.54,567.16,563.9,1738400
2025-02-07,568.06,570.05,561.78,562.75,559.52,2008300
2025-02-10,565.25,567.27,561.0,565.49,562.24,2357700
2025-02-11,564.99,566.43,559.22,564.7,561.46,1847800
2025-02-12,562.01,564.75,559.44,564.6,561.36,1722200
2025-02-13,565.6,567.39,561.47,566.31,563.06,1709500
2025-02-14,566.01,569.24,564.13,564.76,561.52,1927400
2025-02-18,564.9,568.63,561.52,568.61,565.35,2064100
2025-02-19,567.49,570.7,566.65,568.5,565.24,2459100
2025-02-20,568.15,568.5,559.04,563.28,560.05,2181900
2025-02-21,561.43,564.8,556.58,557.51,554.31,2256100
2025-02-24,558.43,561.46,556.79,559.0,555.79,1752500
2025-02-25,562.44,566.04,552.69,564.03,560.79,3609500
2025-02-26,562.59,566.68,559.6,561.27,558.05,2028000
2025-02-27,565.57,574.7,564.0,564.82,561.58,2436500
2025-02-28,567.3,576.43,564.0,576.31,573.0,3205400
2025-03-03,577.33,582.23,570.0,574.92,571.62,3092600
2025-03-04,570.46,573.2,552.01,555.07,551.88,3318100
2025-03-05,552.58,560.99,551.32,558.3,555.09,2795400
2025-03-06,548.5,555.68,544.69,549.82,546.66,3133200
2025-03-07,547.07,550.38,536.28,546.77,543.63,3161300
2025-03-10,538.15,548.56,532.02,537.12,534.04,3893400
2025-03-11,537.2,538.05,522.25,525.8,522.78,4582600
2025-03-12,530.51,532.71,519.26,524.64,521.63,2810800
2025-03-13,524.5,528.53,517.71,519.83,516.85,2375800
2025-03-14,522.6,528.41,520.95,527.64,524.61,2369500
2025-03-17,523.25,533.48,521.48,531.99,528.94,2544800
2025-03-18,532.34,532.59,525.51,530.19,527.15,2363300
2025-03-19,531.57,537.62,529.58,536.09,533.01,2804300
2025-03-20,533.6,540.49,532.55,536.38,533.3,2598600
2025-03-21,535.44,538.05,530.76,535.69,532.61,5973400
2025-03-24,539.35,545.46,538.24,543.67,540.55,2758700
2025-03-25,545.95,547.18,542.0,545.16,542.03,2138200
2025-03-26,547.14,551.03,545.12,549.07,545.92,2681600
2025-03-27,549.07,561.83,547.8,557.57,554.37,2901200
2025-03-28,554.23,558.59,540.09,540.61,537.51,2656400
2025-03-31,532.16,551.43,531.02,548.12,544.97,4741800
2025-04-01,546.8,551.15,544.0,548.51,545.36,2714900
2025-04-02,542.86,549.53,541.65,547.38,544.24,2994600
2025-04-03,528.42,539.99,527.0,530.55,527.5,3443500
2025-04-04,519.62,520.88,488.29,489.77,486.96,6125100
2025-04-07,478.5,502.2,465.59,485.52,482.73,6009400
2025-04-08,501.0,505.57,471.66,479.92,477.16,3555400
2025-04-09,470.11,518.51,470.0,515.43,513.28,4698400
2025-04-10,506.83,508.63,484.13,499.34,497.26,4105300
2025-04-11,498.26,515.91,495.91,509.75,507.63,3736200
2025-04-14,515.87,523.42,508.5,512.46,510.33,3005500
2025-04-15,513.4,521.29,513.38,517.38,515.23,2210700
2025-04-16,516.05,521.72,509.87,513.43,511.29,2501000
2025-04-17,510.95,523.98,509.13,517.33,515.18,3329800
2025-04-21,517.0,517.65,503.54,509.32,507.2,3345600
2025-04-22,515.62,528.8,512.75,527.33,525.13,2384000
2025-04-23,537.74,543.94,527.62,530.01,527.8,3051800
2025-04-24,528.69,536.04,525.27,535.46,533.23,2209100
2025-04-25,535.46,536.92,529.88,533.48,531.26,2006100
2025-04-28,536.03,537.76,530.5,534.49,532.26,1735400
2025-04-29,534.34,540.48,533.41,539.68,537.43,2041500
2025-04-30,538.53,549.07,529.55,548.06,545.78,3783500
2025-05-01,550.0,552.83,539.73,546.63,544.35,2839900
2025-05-02,555.63,562.38,554.99,559.39,557.06,2632600
2025-05-05,557.81,564.55,555.85,561.12,558.78,2130900
2025-05-06,556.48,565.74,556.1,558.99,556.66,2341700
2025-05-07,559.27,567.23,558.49,566.33,563.97,2493700
2025-05-08,569.45,573.87,567.0,567.12,564.76,2004300
2025-05-09,567.45,569.58,564.6,568.64,566.27,1528000
2025-05-12,580.0,580.79,566.43,578.27,575.86,3000300
2025-05-13,578.0,582.86,575.8,576.59,574.19,2370200
2025-05-14,578.27,578.64,572.28,573.28,570.89,2237500
2025-05-15,574.13,583.04,573.65,582.2,579.78,2034200
2025-05-16,580.43,584.29,580.43,583.28,580.85,2225900
2025-05-19,581.02,588.45,580.48,586.41,583.97,1875500
2025-05-20,581.24,583.99,576.85,581.11,578.69,1964300
2025-05-21,576.46,579.0,567.1,569.54,567.17,2505300
2025-05-22,568.66,573.16,566.93,570.14,567.77,1869900
2025-05-23,564.49,567.55,562.51,563.58,561.23,1948800
2025-05-27,566.82,574.56,566.49,574.55,572.16,2655200
2025-05-28,574.58,578.84,572.94,575.92,573.52,1702900
2025-05-29,575.88,578.58,572.94,577.78,575.37,1347800
2025-05-30,576.78,585.6,576.51,585.6,583.16,4581100
2025-06-02,580.5,581.82,574.78,581.22,578.8,2089100
2025-06-03,579.87,582.53,573.44,581.97,579.55,2116900
2025-06-04,584.17,586.85,582.22,584.13,581.7,1530200
2025-06-05,586.31,586.69,582.63,585.44,583.0,1480000
2025-06-06,587.91,591.16,586.04,590.12,587.66,1528600
2025-06-09,588.74,590.0,580.0,584.33,581.9,1936000
2025-06-10,584.65,589.87,583.16,589.54,587.09,2133700
2025-06-11,590.32,594.71,587.6,590.74,588.28,2238100
2025-06-12,589.43,590.67,584.56,589.28,586.83,1984000
2025-06-13,572.86,575.24,552.51,562.03,559.69,5905400
2025-06-16,563.9,575.0,562.64,568.67,566.3,3108200
2025-06-17,564.72,571.29,564.0,569.45,567.08,2246600
2025-06-18,570.88,571.08,534.16,538.73,536.49,6966800
2025-06-20,536.93,538.34,527.33,532.97,530.75,8202800
2025-06-23,531.42,543.13,527.57,542.35,540.09,3681100
2025-06-24,557.18,564.12,552.49,557.53,555.21,4503200
2025-06-25,556.0,558.48,548.62,549.7,547.41,2889200
2025-06-26,545.53,548.91,542.07,545.81,543.54,3764100
2025-06-27,546.77,556.7,545.55,550.32,548.03,3837500
2025-06-30,552.5,562.63,551.9,561.94,559.6,5054600
2025-07-01,559.32,566.31,557.04,564.61,562.26,3827000
2025-07-02,562.94,565.99,557.39,561.52,559.18,2502300
2025-07-03,560.78,569.66,560.74,569.24,566.87,1528700
2025-07-07,570.67,570.75,560.35,565.12,562.77,2478300
2025-07-08,564.58,566.62,560.42,562.44,560.1,3083800
2025-07-09,562.0,565.42,559.25,565.11,563.52,2454300
2025-07-10,565.65,566.06,561.01,563.52,561.93,2577200
2025-07-11,559.82,560.82,545.85,550.18,548.63,3221400
2025-07-14,550.5,559.07,547.79,553.02,551.46,2500900
2025-07-15,553.11,554.86,548.65,550.36,548.81,2449100
2025-07-16,552.42,555.52,549.5,555.52,553.96,2424200
2025-07-17,552.98,557.38,550.51,555.61,554.05,2722000
2025-07-18,555.26,556.35,550.88,552.66,551.1,2579600
2025-07-21,553.4,558.08,552.04,554.65,553.09,2194400
2025-07-22,555.81,560.21,555.24,558.76,557.19,2010400
2025-07-23,557.01,562.49,554.5,562.09,560.51,2180400
2025-07-24,562.0,567.84,561.9,563.5,561.91,1874700
2025-07-25,564.36,569.96,563.85,568.22,566.62,1513300
2025-07-28,567.37,571.65,566.22,568.28,566.68,2492400
2025-07-29,570.03,573.0,563.0,563.32,561.73,2393800
2025-07-30,560.33,565.61,555.21,559.11,557.54,2833200
2025-07-31,568.57,579.44,562.51,566.47,564.87,4568300
2025-08-01,563.86,564.87,556.1,559.89,558.31,3316700
2025-08-04,564.29,569.92,562.5,569.81,568.21,2984700
2025-08-05,569.6,571.83,562.13,566.04,564.45,2883200
2025-08-06,568.99,570.36,563.97,569.13,567.53,2245200
2025-08-07,572.97,573.9,553.86,561.22,559.64,2979600
2025-08-08,563.75,576.16,562.69,574.32,572.7,2907700
2025-08-11,575.0,576.59,569.44,573.59,571.97,2116600
2025-08-12,575.18,578.32,570.46,574.18,572.56,2593800
2025-08-13,577.33,580.27,574.04,577.9,576.27,2352900
2025-08-14,577.47,584.4,575.5,583.76,582.12,2642300
2025-08-15,585.0,589.56,581.11,581.7,580.06,2263800
2025-08-18,582.02,585.49,580.69,584.14,582.49,1812000
2025-08-19,584.41,590.57,584.22,585.51,583.86,2334500
2025-08-20,585.91,593.88,585.91,592.68,591.01,2884600
2025-08-21,589.04,592.21,583.93,591.92,590.25,2349200
2025-08-22,595.3,601.77,593.08,598.96,597.27,2388900
2025-08-25,597.82,599.04,592.86,593.21,591.54,1984300
2025-08-26,593.08,596.0,586.29,591.61,589.94,4774600
2025-08-27,591.21,594.62,589.82,590.66,589.0,1480900
2025-08-28,590.82,593.53,589.72,590.48,588.82,2159800
2025-08-29,592.0,596.83,590.26,595.29,593.61,2111200
2025-09-02,595.62,595.62,586.0,591.87,590.2,2284500
2025-09-03,591.83,594.0,588.96,593.28,591.61,1959400
2025-09-04,593.03,595.89,589.29,595.64,593.96,1653700
2025-09-05,595.47,598.58,579.03,584.22,582.57,2432100
2025-09-08,582.62,589.79,580.7,586.6,584.95,1948200
2025-09-09,583.54,591.18,583.3,584.0,582.36,2266000
2025-09-10,582.13,582.13,571.0,579.38,577.75,2535200
2025-09-11,580.88,589.97,580.01,588.73,587.07,2407000
2025-09-12,586.44,589.21,580.0,580.41,578.78,2242800
2025-09-15,582.73,586.5,581.5,582.96,581.32,2222600
2025-09-16,578.01,588.11,576.83,586.42,584.77,2537000
2025-09-17,587.71,598.89,587.44,598.63,596.94,2930800
2025-09-18,596.08,601.62,585.88,586.05,584.4,3294600
2025-09-19,588.62,588.87,581.51,584.16,582.51,6745300
2025-09-22,580.97,587.35,580.14,584.49,582.84,3241700
2025-09-23,585.45,586.86,568.25,569.97,568.36,3223000
2025-09-24,571.28,571.66,564.95,568.81,567.21,2867200
2025-09-25,565.0,572.39,564.57,567.3,565.7,2700600
2025-09-26,566.62,569.66,564.06,565.13,563.54,2106500
2025-09-29,566.0,569.32,562.51,568.14,566.54,2615600
2025-09-30,565.81,570.63,563.65,568.81,567.21,2379200
2025-10-01,565.68,575.47,565.01,573.77,572.15,3685100
2025-10-02,572.73,579.84,570.77,577.33,575.7,2483500
2025-10-03,576.43,583.22,576.43,580.45,578.82,2331600
2025-10-06,579.23,581.14,569.26,578.81,577.18,2573500
2025-10-07,578.99,586.08,578.91,579.84,578.21,2120700
2025-10-08,581.32,583.07,576.08,576.44,574.82,1934700
2025-10-09,577.24,579.4,562.51,564.55,563.7,2579800
2025-10-10,567.58,569.42,556.69,557.48,556.64,3553900
2025-10-13,558.0,565.0,553.01,559.24,558.4,2996500
2025-10-14,556.0,569.81,556.0,567.92,567.07,2627300
2025-10-15,564.3,568.69,559.4,562.81,561.97,2262400
2025-10-16,562.8,564.65,547.39,549.88,549.06,3210600
2025-10-17,552.49,562.8,552.01,560.97,560.13,2756700
2025-10-20,561.7,567.42,553.79,566.36,565.51,2046400
