ticker,date,open,high,low,close,volume
MRK,2020-01-01,90,90.34,89.72,89.84,8651147
MRK,2020-01-02,89.84,92.24,89.6,91.53,15793842
MRK,2020-01-03,91.53,91.53,90.32,91.31,8868071
MRK,2020-01-06,91.31,92.29,87.94,88.92,10597243
MRK,2020-01-07,88.92,89.96,88.5,89.94,14842887
MRK,2020-01-08,89.94,90.17,87.77,88.5,10256250
MRK,2020-01-09,88.5,88.58,87.83,88.35,15174330
MRK,2020-01-10,88.35,88.57,87.14,87.74,10286912
MRK,2020-01-13,87.74,88.67,87.38,88.38,11475227
MRK,2020-01-14,88.38,89.3,88.22,88.69,8049843
MRK,2020-01-15,88.69,89.11,86.22,86.84,6381791
MRK,2020-01-16,86.84,87.32,86.65,87.22,10814386
MRK,2020-01-17,87.22,87.79,86.53,86.77,6758629
MRK,2020-01-20,86.77,87.21,84.45,85.56,8709084
MRK,2020-01-21,85.56,85.95,85.26,85.64,11507235
MRK,2020-01-22,85.64,85.83,84.31,85.04,10489672
MRK,2020-01-23,85.04,85.95,84.79,85.93,10622653
MRK,2020-01-24,85.93,86.43,83.14,83.14,12306308
MRK,2020-01-27,83.14,83.76,82.79,83.57,7869790
MRK,2020-01-28,83.57,84.24,82.62,82.75,8461667
MRK,2020-01-29,82.75,82.98,81.72,82.09,7150969
MRK,2020-01-30,82.09,83.17,82.08,82.74,8945990
MRK,2020-01-31,82.74,83.05,81.94,82.03,8268869
MRK,2020-02-03,82.03,82.53,81.95,82.43,12599339
MRK,2020-02-04,82.43,84.42,82.07,83.9,9472853
MRK,2020-02-05,83.9,84.1,82.9,83.86,11490065
MRK,2020-02-06,83.86,84.09,83.52,83.61,7548003
MRK,2020-02-07,83.61,84.56,83.28,84.33,9233403
MRK,2020-02-10,84.33,84.74,84.16,84.45,13648200
MRK,2020-02-11,84.45,85.22,83.96,84.96,9569697
MRK,2020-02-12,84.96,85.1,82.69,83.07,10301208
MRK,2020-02-13,83.07,84.16,82.66,83.89,7138892
MRK,2020-02-14,83.89,86.07,83.72,85.85,8388823
MRK,2020-02-17,85.85,86.81,84.15,84.24,7440008
MRK,2020-02-18,84.24,84.6,83.69,83.97,6461296
MRK,2020-02-19,83.97,84.38,83.28,83.29,10246238
MRK,2020-02-20,83.29,84.05,83.28,83.92,7757216
MRK,2020-02-21,83.92,84.11,81.92,82.52,10348477
MRK,2020-02-24,82.52,82.66,82.28,82.54,7406208
MRK,2020-02-25,82.54,83.17,81.4,81.56,12834734
MRK,2020-02-26,81.56,83.06,81.44,83.05,8657138
MRK,2020-02-27,83.05,84.04,82.52,83.59,8473607
MRK,2020-02-28,83.59,83.71,83.53,83.54,7918138
MRK,2020-03-02,83.54,85.18,83.06,85.15,5800362
MRK,2020-03-03,85.15,85.59,83.79,84.03,9923732
MRK,2020-03-04,84.03,85.39,83.95,84.86,17507725
MRK,2020-03-05,84.86,85.19,82.67,83.11,15272772
MRK,2020-03-06,83.11,83.49,82.03,82.06,11372063
MRK,2020-03-09,82.06,82.22,81.33,82.14,11804359
MRK,2020-03-10,82.14,82.59,81.33,81.93,12544019
MRK,2020-03-11,81.93,82.7,81.83,82.13,4084362
MRK,2020-03-12,82.13,82.29,81.09,81.38,15049805
MRK,2020-03-13,81.38,82.92,81.01,82.57,14930088
MRK,2020-03-16,82.57,83.8,81.55,83.39,10414735
MRK,2020-03-17,83.39,84.02,82.54,83.18,10561373
MRK,2020-03-18,83.18,83.24,81.55,81.6,15379460
MRK,2020-03-19,81.6,82.29,79.35,79.62,9156475
