Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,138.47,141.48,138.18,138.71,134.93,5719800
2025-01-30,139.81,140.49,138.89,139.94,136.13,4545700
2025-01-31,139.14,139.76,137.77,138.43,135.56,5502700
2025-02-03,135.81,138.0,133.91,137.16,134.31,5307000
2025-02-04,137.73,137.88,136.29,136.77,133.93,5997300
2025-02-05,137.47,139.22,136.51,138.93,136.05,5871200
2025-02-06,140.01,141.4,140.0,141.08,138.15,4576600
2025-02-07,142.02,142.03,139.82,139.98,137.07,3529000
2025-02-10,140.25,140.31,135.61,137.31,134.46,5517700
2025-02-11,136.81,138.21,135.44,137.79,134.93,5096800
2025-02-12,136.08,137.28,135.6,137.11,134.26,4688900
2025-02-13,137.97,138.1,136.35,136.84,134.0,4699800
2025-02-14,136.45,139.58,136.45,138.95,136.06,5044500
2025-02-18,139.41,140.78,138.89,140.71,137.79,3797000
2025-02-19,140.01,140.93,139.26,140.69,137.77,3623100
2025-02-20,140.25,141.07,132.43,134.34,131.55,8860800
2025-02-21,135.18,135.6,130.91,131.69,128.96,6704100
2025-02-24,132.76,132.97,128.9,129.97,127.27,7784500
2025-02-25,131.03,131.29,126.38,129.6,126.91,7458500
2025-02-26,130.41,132.24,130.15,131.05,128.33,5493600
2025-02-27,131.8,132.87,128.81,129.24,126.56,5538700
2025-02-28,129.9,133.41,128.99,133.11,130.35,7424200
2025-03-03,133.33,133.99,127.73,129.13,126.45,5969400
2025-03-04,126.47,126.57,119.25,121.72,119.19,12996500
2025-03-05,122.0,124.38,121.44,123.75,121.18,7291900
2025-03-06,120.8,123.13,118.6,119.37,116.89,8611500
2025-03-07,118.73,119.49,115.45,119.29,116.81,8513500
2025-03-10,116.0,116.28,109.22,111.69,109.37,16765700
2025-03-11,111.71,113.51,110.34,112.04,109.71,13490400
2025-03-12,115.0,115.6,112.55,114.0,111.63,7925500
2025-03-13,114.0,114.85,111.23,111.68,109.36,7435500
2025-03-14,113.99,115.77,112.54,115.34,112.94,6879400
2025-03-17,114.97,119.3,114.84,117.96,115.51,8374900
2025-03-18,118.28,119.21,117.28,118.11,115.66,7234900
2025-03-19,117.23,121.25,116.23,119.85,117.36,8430800
2025-03-20,118.82,121.81,118.82,120.47,117.97,7026000
2025-03-21,119.35,120.88,118.3,120.14,117.65,10989900
2025-03-24,122.31,124.82,122.0,124.27,121.69,6184400
2025-03-25,124.9,126.05,124.15,125.2,122.6,4326300
2025-03-26,125.77,126.34,121.61,122.2,119.66,5084600
2025-03-27,118.93,119.84,117.54,119.0,116.53,8239400
2025-03-28,118.71,119.43,114.63,115.33,112.94,7349400
2025-03-31,113.71,117.03,112.18,116.67,114.25,7616600
2025-04-01,115.99,116.88,113.54,115.74,113.34,6651000
2025-04-02,113.97,120.35,113.88,119.27,116.79,8415300
2025-04-03,110.11,111.39,106.88,107.93,105.69,15186100
2025-04-04,101.54,103.7,97.31,99.83,97.76,18876900
2025-04-07,96.27,104.34,94.33,100.92,98.82,20721400
2025-04-08,105.22,106.94,98.27,100.31,98.23,10710100
2025-04-09,98.2,113.9,97.89,111.7,109.38,16919500
2025-04-10,108.77,108.87,103.41,106.58,104.37,10956700
2025-04-11,102.89,109.2,102.89,108.12,105.87,10573200
2025-04-14,110.48,111.5,108.55,109.11,106.84,8224500
2025-04-15,110.09,112.15,110.06,110.44,108.15,6003800
2025-04-16,109.58,110.32,106.65,107.86,105.62,6520100
2025-04-17,108.52,110.75,108.15,109.18,106.91,5233100
2025-04-21,108.14,108.33,104.78,106.3,104.09,7784500
2025-04-22,108.02,110.7,107.97,110.38,108.09,6571300
2025-04-23,113.25,116.61,111.93,112.31,109.98,9243800
2025-04-24,111.87,115.9,111.24,115.6,113.2,6640700
2025-04-25,115.71,117.1,114.97,116.01,113.6,5013200
2025-04-28,115.88,117.9,113.83,115.83,113.42,4171200
2025-04-29,115.38,116.47,114.23,116.21,113.8,4689800
2025-04-30,113.11,115.82,112.03,115.42,113.93,6502400
2025-05-01,115.54,117.82,114.67,116.76,115.25,7743600
2025-05-02,119.3,120.51,118.46,120.22,118.67,6894400
2025-05-05,118.74,120.87,118.39,119.6,118.06,6540300
2025-05-06,117.81,119.15,117.21,118.33,116.8,5739600
2025-05-07,118.33,120.0,118.2,119.1,117.56,4680600
2025-05-08,119.99,123.26,119.99,121.88,120.31,6449300
2025-05-09,122.49,123.23,121.47,121.7,120.13,4240100
2025-05-12,127.42,129.2,126.44,127.06,125.42,9162100
2025-05-13,127.76,130.11,127.23,129.35,127.68,6086700
2025-05-14,129.36,131.57,129.13,131.04,129.35,6273400
2025-05-15,130.26,133.03,130.02,132.51,130.8,7209300
2025-05-16,132.28,132.98,131.79,132.18,130.47,6303800
2025-05-19,130.3,132.13,129.07,130.84,129.15,7703500
2025-05-20,129.87,130.39,128.12,129.13,127.46,5220100
2025-05-21,128.09,128.64,125.07,125.3,123.68,6371600
2025-05-22,124.61,127.07,124.61,126.26,124.63,5689200
2025-05-23,124.1,126.57,123.88,126.07,124.44,3361400
2025-05-27,127.54,129.53,126.82,129.21,127.54,5472400
2025-05-28,129.21,129.42,127.27,127.51,125.86,4050900
2025-05-29,128.1,128.4,126.93,128.16,126.51,4337500
2025-05-30,127.61,128.33,126.35,128.03,126.38,6436100
2025-06-02,127.48,128.47,126.36,128.4,126.74,3607900
2025-06-03,128.12,129.18,127.13,128.68,127.02,4145600
2025-06-04,128.84,129.42,128.16,128.16,126.51,3123200
2025-06-05,128.37,131.05,127.34,130.62,128.93,6193300
2025-06-06,132.08,133.57,130.82,131.82,130.12,5004400
2025-06-09,132.23,132.9,131.11,131.95,130.25,4838600
2025-06-10,131.6,132.46,131.15,131.82,130.12,3816900
2025-06-11,132.03,133.45,131.42,131.81,130.11,5810200
2025-06-12,130.66,132.0,129.8,131.92,130.22,4258700
2025-06-13,130.19,131.07,128.81,129.49,127.82,4367500
2025-06-16,130.29,132.8,130.29,130.9,129.21,6240500
2025-06-17,129.84,131.17,129.66,130.09,128.41,4767700
2025-06-18,130.02,132.96,129.93,132.52,130.81,6170400
2025-06-20,133.35,133.37,131.91,132.71,131.0,8904400
2025-06-23,132.06,134.1,130.9,134.0,132.27,5232400
2025-06-24,135.68,136.68,135.01,135.9,134.15,5599900
2025-06-25,136.12,137.89,135.41,137.72,135.94,5736400
2025-06-26,138.01,140.2,137.84,139.75,137.95,6013200
2025-06-27,140.25,141.9,139.1,140.69,138.87,7249300
2025-06-30,141.51,141.85,139.55,140.86,139.04,8034400
2025-07-01,140.55,141.61,139.47,141.07,139.25,6166700
2025-07-02,141.62,142.88,140.98,142.86,141.02,5494500
2025-07-03,143.36,144.56,142.67,144.14,142.28,3974700
2025-07-07,144.11,145.16,142.5,143.74,141.88,5991600
2025-07-08,143.61,144.06,141.02,141.13,139.31,6620400
2025-07-09,142.9,142.94,140.9,141.55,139.72,4837000
2025-07-10,141.76,143.16,141.32,143.09,141.24,5622800
2025-07-11,141.86,142.45,141.12,142.28,140.44,3647500
2025-07-14,142.45,144.05,142.0,143.97,142.11,5376100
2025-07-15,143.29,144.0,141.55,141.59,139.76,7392200
2025-07-16,139.5,140.0,135.26,139.79,137.99,10610800
2025-07-17,139.26,141.69,139.13,140.9,139.08,7695800
2025-07-18,141.45,141.75,140.2,140.83,139.01,5572300
2025-07-21,141.24,142.52,140.18,140.47,138.66,5853400
2025-07-22,140.8,140.89,138.93,140.04,138.23,5257200
2025-07-23,140.78,142.63,139.93,142.21,140.37,6612900
2025-07-24,142.47,143.72,141.85,142.5,140.66,3817900
2025-07-25,142.92,143.38,142.05,143.01,141.16,3463000
2025-07-28,143.04,143.14,142.02,142.56,140.72,3729300
