ticker,date,open,high,low,close,volume
MSFT,2020-01-01,160,160.23,156.01,157.05,11690882
MSFT,2020-01-02,157.05,158.56,156.65,158.45,11753740
MSFT,2020-01-03,158.45,160.75,157.75,159.65,15246327
MSFT,2020-01-06,159.65,162.6,158.08,162.39,10741656
MSFT,2020-01-07,162.39,165.85,161.21,165.29,5223436
MSFT,2020-01-08,165.29,165.72,163.18,163.37,8909383
MSFT,2020-01-09,163.37,167.58,163.12,167.11,11129575
MSFT,2020-01-10,167.11,169.04,165.04,166.59,9224619
MSFT,2020-01-13,166.59,172.76,166.57,172.14,16233604
MSFT,2020-01-14,172.14,172.73,171.87,172.29,7486977
MSFT,2020-01-15,172.29,172.72,170.12,170.13,7799225
MSFT,2020-01-16,170.13,170.35,167.9,168.92,17079686
MSFT,2020-01-17,168.92,169.16,166.34,167.17,8143195
MSFT,2020-01-20,167.17,168.61,162.55,162.9,12879136
MSFT,2020-01-21,162.9,164.81,159.0,160.37,5153111
MSFT,2020-01-22,160.37,161.34,157.86,157.94,9442027
MSFT,2020-01-23,157.94,161.37,157.3,161.14,6290123
MSFT,2020-01-24,161.14,165.1,161.0,164.64,7844825
MSFT,2020-01-27,164.64,164.87,161.94,162.68,9265366
MSFT,2020-01-28,162.68,163.59,161.61,163.21,5604981
MSFT,2020-01-29,163.21,164.36,157.43,159.15,15162812
MSFT,2020-01-30,159.15,159.51,158.89,159.16,8027100
MSFT,2020-01-31,159.16,162.08,158.19,160.45,7863024
MSFT,2020-02-03,160.45,164.44,160.27,163.48,10437452
MSFT,2020-02-04,163.48,167.73,162.62,166.58,8763340
MSFT,2020-02-05,166.58,167.41,162.2,162.53,3989600
MSFT,2020-02-06,162.53,165.91,162.23,164.53,6620552
MSFT,2020-02-07,164.53,165.42,162.06,162.57,5476046
MSFT,2020-02-10,162.57,162.63,160.97,162.07,11381820
MSFT,2020-02-11,162.07,163.12,158.65,159.18,12290742
MSFT,2020-02-12,159.18,159.68,157.39,157.79,10868612
MSFT,2020-02-13,157.79,158.01,150.99,151.62,5547594
MSFT,2020-02-14,151.62,154.6,151.44,153.64,7462162
MSFT,2020-02-17,153.64,153.81,149.89,149.97,14565159
MSFT,2020-02-18,149.97,153.09,149.72,151.88,12943964
MSFT,2020-02-19,151.88,155.29,150.4,153.86,7880308
MSFT,2020-02-20,153.86,156.66,152.88,154.8,7988617
MSFT,2020-02-21,154.8,156.01,150.81,151.31,9677214
MSFT,2020-02-24,151.31,151.75,150.29,150.94,11849743
MSFT,2020-02-25,150.94,151.26,149.68,150.92,15369474
MSFT,2020-02-26,150.92,154.46,149.36,153.63,12671577
MSFT,2020-02-27,153.63,153.96,149.5,150.38,13214937
MSFT,2020-02-28,150.38,153.47,150.25,152.06,7577692
MSFT,2020-03-02,152.06,152.07,150.27,150.9,6811708
MSFT,2020-03-03,150.9,152.81,150.55,152.79,7198118
MSFT,2020-03-04,152.79,153.03,151.61,151.76,12263317
MSFT,2020-03-05,151.76,152.87,147.37,148.13,13327815
MSFT,2020-03-06,148.13,148.16,147.43,147.87,11968680
MSFT,2020-03-09,147.87,148.93,146.47,146.73,5414231
MSFT,2020-03-10,146.73,147.29,146.42,146.63,10588315
MSFT,2020-03-11,146.63,147.09,143.8,145.87,4465051
MSFT,2020-03-12,145.87,151.96,144.88,151.22,7116209
MSFT,2020-03-13,151.22,153.1,150.75,152.93,8260784
MSFT,2020-03-16,152.93,153.39,150.29,151.24,9234115
MSFT,2020-03-17,151.24,151.52,148.01,149.74,9836999
MSFT,2020-03-18,149.74,150.92,149.36,150.65,13363649
MSFT,2020-03-19,150.65,151.69,150.27,151.4,10429884
MSFT,2020-03-20,151.4,155.49,151.38,154.43,3150518
MSFT,2020-03-23,154.43,155.97,152.51,153.5,6690381
MSFT,2020-03-24,153.5,154.16,152.85,153.37,8368854
MSFT,2020-03-25,153.37,157.37,152.5,157.33,14780287
MSFT,2020-03-26,157.33,158.5,154.64,155.05,10558546
MSFT,2020-03-27,155.05,155.39,154.97,155.18,14684238
MSFT,2020-03-30,155.18,156.16,148.03,148.22,9617657
MSFT,2020-03-31,148.22,149.13,145.25,146.09,10324692
MSFT,2020-04-01,146.09,149.86,145.86,148.63,10932361
MSFT,2020-04-02,148.63,149.98,148.2,149.63,13115794
MSFT,2020-04-03,149.63,151.19,148.15,149.0,7964141
MSFT,2020-04-06,149.0,151.89,148.3,151.73,8660378
MSFT,2020-04-07,151.73,155.84,151.03,155.22,4380201
MSFT,2020-04-08,155.22,158.94,154.89,158.74,7277268
MSFT,2020-04-09,158.74,159.79,153.63,153.86,8518870
MSFT,2020-04-10,153.86,158.43,153.4,157.7,7218300
MSFT,2020-04-13,157.7,161.1,155.62,160.8,10289412
MSFT,2020-04-14,160.8,162.44,156.98,157.56,14336201
MSFT,2020-04-15,157.56,159.53,156.53,157.02,9129644
MSFT,2020-04-16,157.02,160.64,156.9,160.29,10908828
MSFT,2020-04-17,160.29,166.57,159.7,165.69,12052527
MSFT,2020-04-20,165.69,170.51,165.45,168.55,9030081
MSFT,2020-04-21,168.55,169.91,168.42,169.51,7585055
MSFT,2020-04-22,169.51,170.85,168.79,169.62,12395714
MSFT,2020-04-23,169.62,170.25,165.0,165.47,14238457
MSFT,2020-04-24,165.47,168.92,164.98,168.01,6870584
MSFT,2020-04-27,168.01,168.12,161.79,162.83,10569393
MSFT,2020-04-28,162.83,163.46,158.83,159.24,6161581
MSFT,2020-04-29,159.24,159.58,156.29,156.98,10689598
MSFT,2020-04-30,156.98,157.11,155.22,155.4,8396352
MSFT,2020-05-01,155.4,155.43,151.54,152.16,9615999
MSFT,2020-05-04,152.16,152.8,147.19,147.61,10238595
MSFT,2020-05-05,147.61,152.15,147.12,150.97,6936639
MSFT,2020-05-06,150.97,151.2,150.62,150.82,10421549
MSFT,2020-05-07,150.82,153.22,149.9,152.72,12467960
MSFT,2020-05-08,152.72,152.96,151.17,151.18,11238584
MSFT,2020-05-11,151.18,151.18,149.86,150.11,8396462
MSFT,2020-05-12,150.11,151.77,148.78,151.08,13067956
MSFT,2020-05-13,151.08,152.04,149.16,150.24,11246803
MSFT,2020-05-14,150.24,150.65,147.55,149.02,8738819
MSFT,2020-05-15,149.02,150.06,149.0,149.62,5917019
