Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,89.88,90.45,87.76,89.01,88.72,25342800
2025-01-30,90.66,93.16,90.3,92.5,92.2,22497100
2025-01-31,91.65,94.27,91.14,91.24,90.94,20492100
2025-02-03,88.65,91.4,88.02,89.92,89.63,18607900
2025-02-04,89.05,91.45,88.8,90.66,90.36,12827500
2025-02-05,90.39,93.65,90.22,93.6,93.29,15660000
2025-02-06,94.88,96.61,93.58,94.54,94.23,16141100
2025-02-07,95.59,95.93,91.59,92.3,92.0,15602800
2025-02-10,93.19,96.26,93.17,95.93,95.62,16217900
2025-02-11,94.25,95.84,93.56,94.08,93.77,12124000
2025-02-12,89.6,92.64,87.35,91.68,91.38,22874700
2025-02-13,92.06,96.07,92.02,95.66,95.35,16579900
2025-02-14,98.41,100.7,98.0,99.52,99.19,21284500
2025-02-18,102.64,107.88,102.05,106.79,106.44,29641900
2025-02-19,105.76,107.19,103.62,104.36,104.02,17875900
2025-02-20,103.98,104.85,102.34,103.18,102.84,14488000
2025-02-21,103.64,103.66,97.75,98.84,98.52,18650800
2025-02-24,100.22,100.7,95.28,95.41,95.1,14883700
2025-02-25,95.5,95.93,92.76,93.22,92.92,18608200
2025-02-26,96.0,99.72,95.5,97.71,97.39,21335200
2025-02-27,97.84,99.89,91.49,91.82,91.52,22386300
2025-02-28,91.0,94.46,89.87,93.63,93.32,23359100
2025-03-03,95.81,96.2,89.39,90.54,90.24,20281800
2025-03-04,90.2,93.59,86.8,91.2,90.9,23611500
2025-03-05,92.15,95.05,90.43,94.34,94.03,14010300
2025-03-06,90.93,93.29,89.03,89.27,88.98,18708100
2025-03-07,90.29,93.34,89.49,92.96,92.66,19133900
2025-03-10,89.59,91.37,85.76,87.08,86.8,21897900
2025-03-11,87.9,91.1,86.07,89.05,88.76,21962100
2025-03-12,92.47,96.99,92.24,95.64,95.33,23584700
2025-03-13,94.25,98.12,94.0,94.88,94.57,18824700
2025-03-14,98.75,102.78,98.75,100.79,100.46,24623600
2025-03-17,101.06,104.45,100.96,103.11,102.77,17095100
2025-03-18,101.9,103.31,100.29,101.72,101.39,18434100
2025-03-19,100.82,103.6,100.49,102.06,101.73,16633100
2025-03-20,101.58,104.69,101.35,103.0,102.66,29204400
2025-03-21,98.2,98.5,93.7,94.72,94.41,63239600
2025-03-24,96.1,98.42,95.33,96.94,96.62,35406600
2025-03-25,96.18,96.38,93.25,94.18,93.87,22191700
2025-03-26,96.0,96.64,90.97,92.13,91.83,27107200
2025-03-27,91.09,92.21,89.61,91.16,90.86,15658700
2025-03-28,90.47,90.89,87.6,88.44,88.15,17118000
2025-03-31,86.0,87.09,84.1,86.89,86.72,21089500
2025-04-01,88.53,88.89,86.25,88.71,88.54,15337100
2025-04-02,87.13,89.93,86.7,88.6,88.43,14520400
2025-04-03,82.92,83.35,74.21,74.34,74.19,44839500
2025-04-04,70.65,71.34,63.86,64.72,64.59,50737700
2025-04-07,63.94,72.46,61.54,68.37,68.24,50181800
2025-04-08,71.6,72.97,63.52,65.54,65.41,40822100
2025-04-09,66.2,78.56,63.7,77.87,77.72,63132600
2025-04-10,72.5,73.05,67.5,70.05,69.91,44882300
2025-04-11,69.04,70.17,66.83,69.55,69.41,30807800
2025-04-14,74.67,74.78,69.97,71.02,70.88,32634700
2025-04-15,71.12,72.8,70.55,71.04,70.9,19132700
2025-04-16,67.93,70.45,67.17,69.33,69.19,28475000
2025-04-17,70.44,70.48,67.0,68.8,68.66,20694100
2025-04-21,67.76,68.0,65.65,66.74,66.61,19826100
2025-04-22,67.54,70.4,67.44,70.21,70.07,20351200
2025-04-23,73.69,75.4,72.5,72.93,72.79,26385500
2025-04-24,74.57,77.59,73.6,77.42,77.27,23875600
2025-04-25,77.55,80.3,76.9,79.78,79.62,19746200
2025-04-28,78.77,79.61,76.92,78.56,78.41,16882400
2025-04-29,77.94,78.19,76.47,76.88,76.73,17098000
2025-04-30,73.62,77.15,73.5,76.95,76.8,19779300
2025-05-01,79.4,79.89,77.64,77.77,77.62,15349200
2025-05-02,79.58,81.67,79.1,80.72,80.56,18899700
2025-05-05,79.41,81.15,79.05,80.42,80.26,12513600
2025-05-06,79.04,81.22,78.54,80.51,80.35,13173800
2025-05-07,80.99,82.87,80.2,82.62,82.46,14889700
2025-05-08,84.25,86.21,83.36,85.15,84.98,17580500
2025-05-09,85.57,86.27,84.68,85.86,85.69,13017600
2025-05-12,92.81,94.2,91.95,92.29,92.11,27765300
2025-05-13,92.55,97.41,92.55,96.93,96.74,28009100
2025-05-14,96.3,97.65,94.32,95.32,95.13,28044400
2025-05-15,94.01,95.61,92.17,95.45,95.26,24196100
2025-05-16,95.9,98.19,95.7,98.0,97.81,22609300
2025-05-19,95.71,99.02,95.7,98.65,98.46,14380100
2025-05-20,97.92,98.63,96.97,98.1,97.91,12331300
2025-05-21,97.16,98.82,95.26,95.84,95.65,15764300
2025-05-22,95.41,97.22,94.37,94.83,94.64,13245200
2025-05-23,92.26,93.84,90.93,93.37,93.19,16545000
2025-05-27,95.18,96.7,94.19,96.38,96.19,17612600
2025-05-28,96.7,97.21,95.6,96.18,95.99,10500300
2025-05-29,98.59,99.63,96.11,96.8,96.61,14628700
2025-05-30,96.04,96.61,92.22,94.46,94.27,23758200
2025-06-02,94.58,99.24,94.4,98.18,97.99,16850300
2025-06-03,98.36,102.93,96.96,102.25,102.05,22757600
2025-06-04,102.38,103.91,101.7,103.25,103.05,14595900
2025-06-05,106.3,109.03,105.53,106.29,106.08,28833700
2025-06-06,108.08,111.05,108.04,108.56,108.35,20710100
2025-06-09,109.51,112.53,108.58,110.95,110.73,20159700
2025-06-10,111.53,114.92,111.23,114.14,113.92,22949400
2025-06-11,115.6,117.26,114.73,116.03,115.8,21614100
2025-06-12,114.11,116.48,113.52,116.18,115.95,17076500
2025-06-13,113.8,117.1,113.66,115.6,115.37,17453000
2025-06-16,117.81,120.96,117.32,119.84,119.6,21374100
2025-06-17,119.6,123.51,119.35,120.34,120.1,20837700
2025-06-18,120.46,122.98,120.18,121.82,121.58,20180000
2025-06-20,122.77,124.16,120.38,123.6,123.36,29290400
2025-06-23,123.67,124.51,119.81,122.08,121.84,23399200
2025-06-24,125.11,128.1,124.96,127.91,127.66,26420600
2025-06-25,126.61,127.5,125.62,127.25,127.0,39407000
2025-06-26,129.53,129.85,123.79,126.0,125.75,62678100
2025-06-27,125.14,127.54,123.39,124.76,124.51,36888600
2025-06-30,124.9,125.08,121.85,123.25,123.01,22799700
2025-07-01,122.35,123.99,119.08,120.89,120.65,24825800
2025-07-02,120.5,123.0,118.06,121.74,121.5,29303800
2025-07-03,122.33,123.63,121.83,122.29,122.05,13247900
2025-07-07,121.18,121.51,118.91,119.92,119.8,19148400
2025-07-08,122.45,125.45,121.95,124.42,124.29,26238200
2025-07-09,124.82,126.15,121.28,122.24,122.11,20464000
2025-07-10,124.28,124.35,122.02,123.11,122.98,15378400
2025-07-11,122.13,124.81,121.24,124.53,124.4,15820600
2025-07-14,120.38,120.44,117.02,118.61,118.49,32117700
2025-07-15,120.94,121.39,119.12,120.11,119.99,24958900
2025-07-16,119.03,119.09,114.81,116.43,116.31,30614800
2025-07-17,113.93,114.2,110.95,113.26,113.14,34702400
2025-07-18,114.24,114.8,113.28,114.39,114.27,19349900
2025-07-21,113.59,115.92,112.67,113.23,113.11,22189800
2025-07-22,112.86,113.0,108.13,109.22,109.11,27917600
2025-07-23,109.44,110.29,108.88,109.83,109.72,17810000
2025-07-24,111.06,112.73,110.25,111.73,111.61,20293100
2025-07-25,110.99,111.5,108.83,111.26,111.15,16372300
2025-07-28,111.72,112.0,109.86,111.25,111.14,12932300
2025-07-29,112.05,113.54,110.67,111.96,111.84,16653300
2025-07-30,112.6,114.89,112.41,114.74,114.62,16378800
2025-07-31,112.19,112.27,106.94,109.14,109.03,29224300
2025-08-01,105.49,106.5,103.38,104.88,104.77,24003300
2025-08-04,106.02,107.88,105.46,107.77,107.66,14780600
2025-08-05,109.3,110.64,106.83,109.06,108.95,17836000
2025-08-06,107.9,108.96,106.75,108.78,108.67,13021900
2025-08-07,114.14,115.28,110.79,111.87,111.75,18986500
2025-08-08,112.17,119.33,111.67,118.89,118.77,28962200
2025-08-11,124.97,127.28,121.65,123.72,123.59,35065800
2025-08-12,124.7,128.55,123.04,127.75,127.62,25961200
2025-08-13,127.58,128.6,123.35,124.27,124.14,18438200
2025-08-14,123.2,125.74,121.4,125.29,125.16,12235900
2025-08-15,123.17,123.38,119.44,120.87,120.75,18986700
2025-08-18,121.35,123.68,120.66,123.55,123.42,12208800
2025-08-19,122.94,124.24,121.31,122.05,121.92,11491200
2025-08-20,118.7,118.91,113.46,117.21,117.09,25795000
2025-08-21,117.0,117.73,115.61,115.79,115.67,13174900
2025-08-22,117.65,120.7,116.51,117.68,117.56,17038300
2025-08-25,117.68,118.08,116.1,116.42,116.3,8674800
2025-08-26,116.09,118.36,115.81,116.5,116.38,12584300
2025-08-27,116.85,118.73,116.44,117.75,117.63,15349300
2025-08-28,118.88,122.57,118.73,122.0,121.87,17295500
2025-08-29,122.6,122.77,118.06,119.01,118.89,16774000
2025-09-02,115.86,118.56,114.25,118.48,118.36,13771900
2025-09-03,119.36,119.44,117.3,118.72,118.6,14101300
2025-09-04,118.85,124.41,118.52,124.21,124.08,18589100
2025-09-05,127.77,131.41,125.66,131.37,131.23,28416000
2025-09-08,130.55,132.26,128.4,131.46,131.32,19492600
2025-09-09,131.76,138.0,131.56,135.24,135.1,20705000
2025-09-10,140.02,142.24,138.34,140.0,139.86,25791300
2025-09-11,147.72,156.26,147.61,150.57,150.42,52446400
2025-09-12,153.55,158.28,153.21,157.23,157.07,32288300
2025-09-15,156.96,160.34,156.55,157.77,157.61,20101400
2025-09-16,157.98,159.56,157.17,158.82,158.66,16911600
2025-09-17,157.41,160.59,155.26,159.99,159.83,18843600
2025-09-18,162.99,170.45,162.6,168.89,168.72,28212800
2025-09-19,162.75,163.7,159.38,162.73,162.56,37309900
2025-09-22,164.38,167.26,161.59,164.62,164.45,25851200
2025-09-23,165.68,168.99,165.23,166.41,166.24,43316500
2025-09-24,165.08,166.0,158.3,161.71,161.54,57096400
2025-09-25,157.39,158.95,154.65,156.83,156.67,32209200
2025-09-26,158.52,158.92,155.18,157.27,157.11,24045000
2025-09-29,160.0,165.8,159.97,163.9,163.73,26506500
2025-09-30,164.11,168.95,163.96,167.32,167.15,20092500
2025-10-01,165.6,182.39,165.5,182.15,181.96,41674800
2025-10-02,184.96,186.18,181.21,183.75,183.56,25122200
2025-10-03,185.21,191.85,184.92,187.83,187.75,29399300
2025-10-06,195.01,201.0,189.43,190.96,190.88,36392300
2025-10-07,194.85,195.3,183.24,185.69,185.62,27828200
2025-10-08,188.99,196.95,188.8,196.54,196.46,26833900
2025-10-09,192.97,196.62,189.5,192.33,192.25,19721500
2025-10-10,192.96,193.44,179.61,181.6,181.53,26990300
2025-10-13,190.79,193.4,187.99,192.77,192.69,20928400
2025-10-14,186.96,192.46,186.25,187.06,186.98,15912400
2025-10-15,192.48,192.88,187.42,191.94,191.86,17793100
2025-10-16,199.96,206.34,195.2,202.53,202.45,42041300
2025-10-17,199.28,203.39,195.55,202.38,202.3,23283100
2025-10-20,209.66,214.75,205.5,206.77,206.69,23268400
2025-10-21,204.3,205.87,200.84,202.29,202.21,13717300
2025-10-22,202.25,205.58,192.4,198.47,198.39,21949800
2025-10-23,196.7,209.0,195.2,206.71,206.63,19397900
2025-10-24,212.39,219.82,209.98,219.02,218.93,25821800
2025-10-27,224.81,224.98,215.74,220.1,220.01,23873100
2025-10-28,218.93,222.9,217.56,221.91,221.82,14957500
2025-10-29,229.06,232.4,226.1,226.63,226.54,23217300
