Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,75.24,75.4,71.63,71.74,70.09,16059400
2025-02-07,70.56,70.81,68.62,68.68,67.1,27428700
2025-02-10,69.36,70.95,69.12,70.94,69.31,16201300
2025-02-11,70.57,71.99,70.51,71.34,69.7,9636600
2025-02-12,70.6,72.45,70.33,72.26,70.6,10810900
2025-02-13,72.45,73.6,71.63,73.21,71.53,9739600
2025-02-14,73.17,73.5,72.34,73.04,71.36,9254400
2025-02-18,74.5,77.68,74.5,77.59,75.81,28252400
2025-02-19,76.82,77.68,76.09,76.78,75.02,14184100
2025-02-20,76.91,77.27,76.34,77.23,75.46,10689600
2025-02-21,77.4,77.99,75.86,76.5,74.74,12823400
2025-02-24,78.88,81.09,78.75,80.28,78.44,24553500
2025-02-25,80.31,81.96,80.05,81.72,79.84,15522500
2025-02-26,82.1,82.44,80.84,81.17,79.31,16058100
2025-02-27,81.49,81.49,79.46,80.02,78.18,11651900
2025-02-28,79.25,80.02,78.18,79.43,77.61,14113800
2025-03-03,79.99,80.96,77.89,78.41,77.0,8628800
2025-03-04,77.7,78.65,76.78,77.32,75.93,10034100
2025-03-05,77.33,78.31,76.46,77.81,76.41,9853600
2025-03-06,76.74,78.33,76.74,77.71,76.31,9623700
2025-03-07,77.48,79.0,76.97,78.59,77.17,9294300
2025-03-10,77.51,80.19,76.06,76.4,75.02,15822600
2025-03-11,75.91,76.08,73.62,74.17,72.83,12837000
2025-03-12,74.36,74.5,73.23,73.58,72.26,12304900
2025-03-13,73.18,73.94,71.67,72.64,71.33,10195900
2025-03-14,73.28,73.54,71.32,71.66,70.37,12183000
2025-03-17,72.14,73.95,72.03,73.7,72.37,15996900
2025-03-18,73.89,74.16,72.72,73.31,71.99,8972300
2025-03-19,72.64,73.43,72.29,72.99,71.68,10830500
2025-03-20,72.92,73.65,71.52,71.86,70.57,25202300
2025-03-21,66.59,68.73,65.17,67.94,66.72,77287000
2025-03-24,68.56,68.89,66.69,67.39,66.18,26552500
2025-03-25,67.56,68.05,66.24,66.54,65.34,17394100
2025-03-26,66.38,66.59,64.95,65.74,64.56,18688300
2025-03-27,65.5,67.1,65.29,65.8,64.62,16435800
2025-03-28,65.86,65.86,63.14,63.29,62.15,19600300
2025-03-31,62.84,63.99,62.65,63.48,62.34,17400000
2025-04-01,63.83,65.16,63.3,64.76,63.59,13489500
2025-04-02,64.3,65.4,64.16,64.96,63.79,11161400
2025-04-03,56.37,58.68,55.4,55.58,54.58,71499500
2025-04-04,53.22,59.22,52.5,57.25,56.22,67775700
2025-04-07,55.4,57.18,53.4,55.61,54.61,45374400
2025-04-08,58.77,58.77,52.37,53.27,52.31,30404300
2025-04-09,53.28,59.55,52.48,59.32,58.25,44732500
2025-04-10,57.23,57.25,52.28,54.4,53.42,53919800
2025-04-11,54.4,55.03,52.86,54.39,53.41,22617100
2025-04-14,55.64,56.69,54.67,55.41,54.41,28346600
2025-04-15,54.68,55.39,54.17,54.83,53.84,15977100
2025-04-16,54.72,55.15,53.34,53.55,52.59,19094900
2025-04-17,53.82,56.02,53.65,55.76,54.76,18935100
2025-04-21,55.23,56.36,53.5,56.12,55.11,17280900
2025-04-22,56.65,58.09,56.24,57.06,56.03,16852200
2025-04-23,59.0,59.2,56.7,57.39,56.36,21660300
2025-04-24,57.81,58.7,57.13,58.48,57.43,14508500
2025-04-25,58.21,58.25,56.61,57.62,56.58,17156000
2025-04-28,57.73,58.08,56.8,57.31,56.28,13321200
2025-04-29,57.0,57.74,56.74,57.54,56.5,12968000
2025-04-30,55.86,56.59,54.75,56.4,55.38,17205900
2025-05-01,56.68,57.21,56.26,56.76,55.74,10527000
2025-05-02,57.87,58.7,57.31,58.59,57.53,14723900
2025-05-05,58.12,58.34,57.29,57.35,56.32,15971000
2025-05-06,57.15,57.72,56.79,57.04,56.01,11440300
2025-05-07,57.87,58.81,57.56,58.62,57.56,11883500
2025-05-08,59.69,60.39,58.8,58.91,57.85,19009000
2025-05-09,59.14,59.38,58.22,58.3,57.25,13954400
2025-05-12,62.38,63.47,61.81,62.58,61.45,29776600
2025-05-13,62.61,62.78,61.97,62.39,61.27,17003100
2025-05-14,62.05,62.87,61.52,61.73,60.62,13736300
2025-05-15,60.64,62.68,60.42,62.4,61.28,14371100
2025-05-16,62.5,63.75,62.5,63.11,61.97,12950600
2025-05-19,62.15,62.43,61.76,62.08,60.96,15105300
2025-05-20,62.5,63.19,62.28,62.56,61.43,10771800
2025-05-21,61.17,61.76,59.88,59.98,58.9,17354700
2025-05-22,60.58,61.62,60.16,61.32,60.22,16764500
2025-05-23,59.86,60.38,59.49,60.02,58.94,14282400
2025-05-27,61.13,62.84,60.84,62.83,61.7,16642100
2025-05-28,62.74,63.11,61.56,61.78,60.67,10015600
2025-05-29,62.49,62.9,61.13,61.44,60.33,12218000
2025-05-30,61.0,61.12,60.1,60.59,59.5,18155100
2025-06-02,60.05,61.6,59.6,61.57,60.86,14065300
2025-06-03,61.24,62.45,60.46,62.37,61.65,10286100
