Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,232.18,234.08,227.04,228.73,228.73,13097000
2025-01-30,205.42,206.2,198.0,202.55,202.55,31037500
2025-01-31,206.4,207.15,202.28,203.68,203.68,14333500
2025-02-03,201.3,206.2,199.61,204.19,204.19,10080000
2025-02-04,207.98,208.69,199.67,202.03,202.03,9594000
2025-02-05,203.07,205.77,202.42,205.41,205.41,6696000
2025-02-06,204.58,207.06,203.66,204.66,204.66,6308500
2025-02-07,205.0,208.47,200.79,201.66,201.66,6936000
2025-02-10,203.51,206.62,202.25,204.36,204.36,5874500
2025-02-11,203.0,204.27,200.79,201.81,201.81,5080000
2025-02-12,199.25,199.68,196.0,196.48,196.48,8388000
2025-02-13,196.48,198.4,194.1,197.9,197.9,7817000
2025-02-14,195.82,197.8,193.32,197.33,197.33,7517000
2025-02-18,197.6,199.51,194.8,199.5,199.5,8363500
2025-02-19,199.46,200.57,195.13,197.43,197.43,8686000
2025-02-20,196.02,196.12,191.77,193.6,193.6,6756000
2025-02-21,192.94,193.4,186.6,187.68,187.68,10021000
2025-02-24,188.81,188.9,182.71,185.52,185.52,8464000
2025-02-25,184.74,185.33,179.64,184.46,184.46,10721500
2025-02-26,185.86,190.52,185.2,188.39,188.39,10012500
2025-02-27,189.63,190.67,183.93,184.19,184.19,7275500
2025-02-28,184.19,186.0,181.49,185.95,185.95,7839500
2025-03-03,187.2,187.8,180.54,182.06,182.06,7729500
2025-03-04,180.0,183.47,175.39,181.22,181.22,12295500
2025-03-05,181.0,184.8,179.68,183.16,183.16,7701500
2025-03-06,178.0,181.58,171.65,173.42,173.42,10821000
2025-03-07,171.3,174.0,166.54,170.13,170.13,12640500
2025-03-10,164.68,166.4,155.58,156.77,156.77,19492500
2025-03-11,160.0,165.6,158.8,161.68,161.68,14995500
2025-03-12,166.96,169.85,164.69,168.63,168.63,13709000
2025-03-13,166.0,167.0,161.2,162.32,162.32,9818000
2025-03-14,164.55,169.81,164.55,168.87,168.87,9266000
2025-03-17,167.8,171.14,167.0,168.59,168.59,8284000
2025-03-18,167.49,167.49,164.07,166.0,166.0,8840000
2025-03-19,167.15,170.8,166.0,168.82,168.82,7809000
2025-03-20,165.45,165.65,161.84,164.82,164.82,12965000
2025-03-21,163.23,165.78,161.76,165.55,165.55,14536500
2025-03-24,169.2,170.7,168.24,169.95,169.95,7997500
2025-03-25,171.65,174.2,171.0,172.28,172.28,8216000
2025-03-26,171.27,172.1,166.81,167.71,167.71,6743000
2025-03-27,167.01,167.99,164.43,165.55,165.55,7400000
2025-03-28,164.0,164.2,157.91,159.55,159.55,8792500
2025-03-31,156.3,159.8,151.57,159.23,159.23,14921000
2025-04-01,159.64,162.59,158.55,162.31,162.31,7715000
2025-04-02,158.94,165.43,158.94,164.81,164.81,8132000
2025-04-03,156.55,157.61,151.45,154.81,154.81,10439000
2025-04-04,151.27,151.75,143.69,144.33,144.33,14502000
2025-04-07,137.6,151.73,135.73,147.1,147.1,14391000
2025-04-08,153.6,155.18,142.64,145.52,145.52,10616000
2025-04-09,145.0,166.33,144.64,165.19,165.19,15460000
2025-04-10,161.42,162.0,152.22,156.7,156.7,10232000
2025-04-11,154.26,157.38,151.0,157.13,157.13,10515000
2025-04-14,160.44,162.43,157.36,159.96,159.96,8585000
2025-04-15,160.19,164.98,159.84,163.3,163.3,8676000
2025-04-16,160.92,164.23,158.15,159.33,159.33,9347500
2025-04-17,160.01,160.01,153.8,154.43,154.43,9019500
2025-04-21,151.87,153.11,148.48,151.2,151.2,8343500
2025-04-22,152.56,155.33,150.49,153.37,153.37,7914000
2025-04-23,164.21,166.79,161.4,162.54,162.54,15096000
2025-04-24,180.06,188.8,179.67,187.71,187.71,30415500
2025-04-25,188.8,192.0,185.83,189.05,189.05,14439000
2025-04-28,191.97,192.21,185.43,187.48,187.48,10262000
2025-04-29,188.0,189.45,186.11,188.57,188.57,6226500
2025-04-30,186.11,191.53,184.08,191.0,191.0,9739500
2025-05-01,194.77,195.72,191.5,191.59,191.59,9038500
2025-05-02,195.78,197.1,193.81,195.47,195.47,8347000
2025-05-05,194.6,198.4,194.27,195.61,195.61,6371000
2025-05-06,193.81,195.74,192.84,193.05,193.05,6402500
2025-05-07,194.24,197.46,193.46,196.66,196.66,8648500
2025-05-08,197.0,198.4,194.56,194.9,194.9,7344000
2025-05-09,196.0,197.36,194.32,196.01,196.01,4600500
2025-05-12,201.7,203.4,199.13,203.12,203.12,7160500
2025-05-13,204.6,208.0,203.4,207.34,207.34,7415500
2025-05-14,207.4,209.2,205.33,205.36,205.36,7073000
2025-05-15,206.88,208.13,204.39,207.04,207.04,4940000
2025-05-16,207.68,208.75,206.63,208.04,208.04,5804500
2025-05-19,205.79,206.94,203.21,205.15,205.15,10356000
2025-05-20,203.0,204.93,202.66,204.37,204.37,5375000
2025-05-21,201.78,206.15,201.12,202.95,202.95,6298000
2025-05-22,202.95,205.5,202.36,203.15,203.15,4282000
2025-05-23,200.0,202.86,198.92,200.87,200.87,6940500
2025-05-27,202.72,205.97,202.6,205.48,205.48,5512500
2025-05-28,205.48,207.53,203.64,204.26,204.26,4966500
2025-05-29,204.63,204.92,200.94,203.05,203.05,6329500
2025-05-30,204.0,204.0,200.52,202.22,202.22,13319500
2025-06-02,201.83,203.59,200.06,202.42,202.42,5013000
2025-06-03,202.36,203.25,201.1,202.18,202.18,5118500
2025-06-04,202.31,203.51,200.59,202.55,202.55,3589000
2025-06-05,205.46,206.29,202.83,203.52,203.52,4512000
2025-06-06,205.25,206.92,203.27,206.04,206.04,4798500
2025-06-09,206.2,206.9,203.61,205.37,205.37,4539000
2025-06-10,204.23,205.37,199.82,201.96,201.96,5946000
2025-06-11,202.05,203.54,200.28,200.87,200.87,3714000
2025-06-12,200.52,203.21,200.52,201.47,201.47,4241000
2025-06-13,199.61,200.2,195.64,197.73,197.73,6661000
2025-06-16,198.4,203.39,198.28,201.03,201.03,6154500
2025-06-17,200.77,202.4,199.87,200.98,200.98,4099000
2025-06-18,200.89,201.41,195.84,196.42,196.42,6047500
2025-06-20,197.12,197.2,193.09,194.28,194.28,10038500
2025-06-23,194.28,196.27,191.37,196.08,196.08,5499500
2025-06-24,198.0,199.9,197.0,199.26,199.26,7570000
2025-06-25,199.66,202.8,199.63,201.03,201.03,5968500
2025-06-26,201.44,202.71,198.9,202.29,202.29,6022000
2025-06-27,202.56,206.61,202.41,204.48,204.48,7571500
2025-06-30,205.95,207.27,203.69,205.62,205.62,5046500
2025-07-01,205.45,206.39,198.95,202.38,202.38,6220500
2025-07-02,200.07,202.21,198.4,201.95,201.95,4357000
2025-07-03,203.55,211.48,203.0,208.94,208.94,6029500
2025-07-07,208.65,209.8,205.52,207.0,207.0,5668000
2025-07-08,207.44,207.75,202.25,204.6,204.6,7301000
2025-07-09,204.9,205.6,201.8,202.74,202.74,5767000
2025-07-10,202.74,202.74,193.06,193.62,193.62,10016500
2025-07-11,192.0,193.2,186.83,187.76,187.76,10773500
2025-07-14,187.74,192.87,187.03,192.36,192.36,9062500
2025-07-15,193.05,194.87,191.2,191.38,191.38,6321500
2025-07-16,193.01,193.82,190.68,193.39,193.39,4925500
2025-07-17,193.7,195.0,191.0,191.83,191.83,6378000
2025-07-18,191.61,192.7,189.95,192.68,192.68,5778000
2025-07-21,191.91,193.82,191.6,191.98,191.98,5564000
2025-07-22,192.76,194.79,191.37,192.47,192.47,5878500
2025-07-23,189.57,193.37,189.57,191.29,191.29,9920000
2025-07-24,206.93,210.2,196.4,199.24,199.24,20350500
2025-07-25,200.02,200.2,192.82,193.76,193.76,9998000
