ticker,date,open,high,low,close,volume
NVDA,2020-01-01,230,231.04,225.11,226.36,14300078
NVDA,2020-01-02,226.36,228.65,223.82,227.22,8679036
NVDA,2020-01-03,227.22,228.05,219.74,220.72,13792693
NVDA,2020-01-06,220.72,225.48,220.51,224.66,8967171
NVDA,2020-01-07,224.66,226.48,217.69,218.19,10784798
NVDA,2020-01-08,218.19,224.86,217.72,223.91,10185881
NVDA,2020-01-09,223.91,229.46,223.53,228.4,12760815
NVDA,2020-01-10,228.4,232.56,226.97,231.94,7642033
NVDA,2020-01-13,231.94,232.72,225.17,225.21,5853827
NVDA,2020-01-14,225.21,225.61,224.3,225.41,14452092
NVDA,2020-01-15,225.41,227.62,222.66,224.65,9292608
NVDA,2020-01-16,224.65,227.06,222.09,225.25,7284930
NVDA,2020-01-17,225.25,225.65,221.11,222.69,7333292
NVDA,2020-01-20,222.69,224.71,222.05,222.39,2526393
NVDA,2020-01-21,222.39,224.02,221.01,222.83,8509702
NVDA,2020-01-22,222.83,231.04,222.18,229.11,11131471
NVDA,2020-01-23,229.11,233.86,229.03,233.34,8456318
NVDA,2020-01-24,233.34,234.69,232.58,232.9,7844242
NVDA,2020-01-27,232.9,232.99,228.21,228.76,6619961
NVDA,2020-01-28,228.76,231.82,227.9,229.66,13992459
NVDA,2020-01-29,229.66,236.0,228.51,234.01,13273913
NVDA,2020-01-30,234.01,235.49,230.9,231.38,8733871
NVDA,2020-01-31,231.38,237.07,229.79,236.03,7047952
NVDA,2020-02-03,236.03,238.54,236.01,238.01,12057187
NVDA,2020-02-04,238.01,238.56,233.35,234.15,13099273
NVDA,2020-02-05,234.15,236.81,229.5,231.72,13060588
NVDA,2020-02-06,231.72,232.77,228.27,229.16,8057707
NVDA,2020-02-07,229.16,230.46,226.39,227.28,10302998
NVDA,2020-02-10,227.28,228.27,225.85,226.76,8772774
NVDA,2020-02-11,226.76,230.16,225.95,229.64,16730270
NVDA,2020-02-12,229.64,230.59,228.08,228.32,7389684
NVDA,2020-02-13,228.32,230.19,222.62,223.02,6695860
NVDA,2020-02-14,223.02,223.3,219.01,219.49,17727040
NVDA,2020-02-17,219.49,224.48,218.42,223.86,9458386
NVDA,2020-02-18,223.86,231.5,222.97,229.78,11150649
NVDA,2020-02-19,229.78,235.35,228.61,234.02,12803722
NVDA,2020-02-20,234.02,234.06,231.12,231.38,14079517
NVDA,2020-02-21,231.38,232.18,229.36,229.58,4821468
NVDA,2020-02-24,229.58,230.52,222.12,223.04,7917356
NVDA,2020-02-25,223.04,223.52,220.68,221.1,3460162
NVDA,2020-02-26,221.1,229.92,220.33,229.04,12862767
NVDA,2020-02-27,229.04,233.76,228.45,231.75,11189742
NVDA,2020-02-28,231.75,237.98,231.13,237.51,13013763
NVDA,2020-03-02,237.51,238.08,236.06,236.18,11529577
NVDA,2020-03-03,236.18,237.63,235.37,235.4,7440506
NVDA,2020-03-04,235.4,236.01,233.27,234.36,12579652
