ticker,date,open,high,low,close,volume
PG,2020-01-01,125,126.25,124.36,125.13,12439314
PG,2020-01-02,125.13,125.5,122.46,122.83,6659782
PG,2020-01-03,122.83,122.93,122.72,122.84,9764388
PG,2020-01-06,122.84,125.37,122.83,124.18,9089351
PG,2020-01-07,124.18,128.66,123.95,127.31,12243936
PG,2020-01-08,127.31,130.49,127.08,129.5,13879068
PG,2020-01-09,129.5,129.67,128.13,128.84,10389102
PG,2020-01-10,128.84,129.82,127.73,128.16,14081419
PG,2020-01-13,128.16,128.27,126.34,127.09,11800560
PG,2020-01-14,127.09,129.71,126.85,128.92,11235345
PG,2020-01-15,128.92,134.76,127.81,132.85,12207938
PG,2020-01-16,132.85,133.1,132.24,132.61,12454210
PG,2020-01-17,132.61,132.63,129.38,129.54,8814746
PG,2020-01-20,129.54,130.37,128.81,130.29,10563477
PG,2020-01-21,130.29,131.58,129.95,130.53,5997890
PG,2020-01-22,130.53,132.51,129.94,132.43,14583218
PG,2020-01-23,132.43,134.47,131.67,134.29,8990505
PG,2020-01-24,134.29,136.87,134.16,136.49,11479958
PG,2020-01-27,136.49,137.16,135.6,136.13,13124538
PG,2020-01-28,136.13,136.18,135.79,136.03,11179632
PG,2020-01-29,136.03,136.26,134.2,135.25,6656725
PG,2020-01-30,135.25,137.59,134.49,136.83,14235725
PG,2020-01-31,136.83,137.22,135.25,135.98,11168260
PG,2020-02-03,135.98,136.58,133.77,133.89,10811074
PG,2020-02-04,133.89,135.19,133.57,134.25,8604001
PG,2020-02-05,134.25,135.37,133.88,134.96,9326060
PG,2020-02-06,134.96,135.48,134.45,134.88,9005022
PG,2020-02-07,134.88,135.52,134.11,134.62,13094126
PG,2020-02-10,134.62,134.83,133.14,133.9,9834475
PG,2020-02-11,133.9,134.43,131.02,131.62,10154099
PG,2020-02-12,131.62,131.94,129.0,129.51,8244294
PG,2020-02-13,129.51,131.84,128.83,131.48,5349337
PG,2020-02-14,131.48,133.1,131.3,132.46,11314428
