Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,88.17,89.42,88.17,88.76,88.56,5234500
2025-01-30,89.51,90.93,88.84,89.57,89.36,7708500
2025-01-31,89.57,90.4,88.54,88.58,88.38,8331400
2025-02-03,86.5,89.71,86.0,89.51,89.3,11215000
2025-02-04,82.26,82.69,77.38,77.72,77.55,58801900
2025-02-05,78.21,79.5,77.67,79.2,79.02,23631900
2025-02-06,79.68,79.74,78.11,78.57,78.39,14440500
2025-02-07,79.0,79.49,77.23,77.31,77.13,13597300
2025-02-10,78.16,78.92,77.61,78.24,78.06,11815600
2025-02-11,77.82,77.85,76.04,76.21,76.03,15769400
2025-02-12,75.42,76.85,75.3,76.27,76.09,11782500
2025-02-13,76.37,76.93,75.73,76.59,76.41,9958600
2025-02-14,76.9,78.33,76.63,77.97,77.79,10504600
2025-02-18,78.2,78.76,77.5,78.62,78.44,11281200
2025-02-19,78.5,79.0,77.54,78.36,78.18,9082300
2025-02-20,78.12,78.17,76.85,77.63,77.45,9319300
2025-02-21,77.44,77.48,74.75,74.95,74.78,15171700
2025-02-24,75.25,75.88,73.97,75.25,75.08,12873300
2025-02-25,77.14,77.57,72.7,74.07,73.9,20647200
2025-02-26,74.33,74.48,71.77,72.05,71.88,15277600
2025-02-27,72.15,72.55,70.58,70.73,70.57,11661200
2025-02-28,70.5,71.12,69.68,71.05,70.89,13601300
2025-03-03,71.1,71.57,69.5,69.75,69.59,15753700
2025-03-04,69.0,69.08,66.34,67.48,67.32,20180000
2025-03-05,67.98,69.69,67.7,69.5,69.34,14464300
2025-03-06,68.82,69.86,67.66,68.08,67.92,11226900
2025-03-07,67.97,70.98,67.82,70.48,70.32,16388300
2025-03-10,69.02,69.97,66.99,68.16,68.0,15035200
2025-03-11,68.41,68.95,67.17,67.98,67.82,12133100
2025-03-12,68.87,69.38,67.9,68.62,68.46,11545800
2025-03-13,68.33,68.91,66.7,66.91,66.76,9778300
2025-03-14,67.81,69.14,67.52,68.95,68.79,9828700
2025-03-17,68.67,70.22,67.98,69.65,69.49,7971200
2025-03-18,69.07,69.46,68.29,68.88,68.72,7520800
2025-03-19,69.1,70.48,68.82,70.0,69.84,6876400
2025-03-20,69.43,70.81,69.25,69.67,69.51,7453600
2025-03-21,68.62,70.41,68.55,70.19,70.03,14603800
2025-03-24,71.55,71.66,70.5,70.97,70.81,9911000
2025-03-25,71.0,71.71,70.55,70.86,70.7,6690600
2025-03-26,70.93,71.62,69.54,69.97,69.81,7449600
2025-03-27,69.06,69.96,68.7,68.86,68.7,7883100
2025-03-28,68.06,68.24,64.95,65.15,65.0,16536300
2025-03-31,64.28,65.43,63.4,65.25,65.1,11562000
2025-04-01,64.62,66.36,64.6,66.1,65.95,8000600
2025-04-02,65.25,67.57,65.1,67.15,67.0,8123000
2025-04-03,63.1,63.94,60.95,61.71,61.57,18479900
2025-04-04,60.0,60.19,57.32,58.37,58.24,22125000
2025-04-07,56.74,61.48,55.85,58.53,58.4,20263200
2025-04-08,59.76,61.26,56.46,57.41,57.28,16533600
2025-04-09,56.67,64.17,56.51,63.95,63.8,22502000
2025-04-10,62.3,62.45,58.94,60.56,60.42,14398100
2025-04-11,60.53,62.81,60.45,62.59,62.45,12919400
2025-04-14,63.7,63.9,61.69,62.27,62.13,8997500
2025-04-15,62.36,62.79,61.65,62.0,61.86,9140800
2025-04-16,61.38,61.46,59.72,60.24,60.1,9833600
2025-04-17,60.35,61.47,60.13,61.0,60.86,9023700
2025-04-21,60.24,60.96,59.46,60.28,60.15,7354100
2025-04-22,60.73,61.91,59.95,61.42,61.28,9390100
2025-04-23,62.72,64.57,62.17,62.46,62.32,9838900
2025-04-24,62.9,64.83,62.76,64.77,64.62,10877000
2025-04-25,64.49,65.42,64.49,65.34,65.19,8693400
2025-04-28,65.31,65.82,64.13,64.93,64.78,14251500
2025-04-29,66.37,67.43,64.36,66.32,66.17,19706800
2025-04-30,65.15,65.99,63.54,65.84,65.69,10293800
2025-05-01,65.62,66.12,64.85,65.41,65.26,10073000
2025-05-02,66.14,67.76,65.98,67.24,67.08,10081500
2025-05-05,66.96,69.36,66.91,68.54,68.38,12000300
2025-05-06,67.95,68.93,67.8,68.05,67.89,7659400
2025-05-07,68.33,68.94,67.72,68.69,68.53,8103700
2025-05-08,69.3,70.95,69.3,70.48,70.32,11791500
2025-05-09,70.87,71.32,70.01,70.26,70.1,7470500
2025-05-12,72.97,74.15,71.85,72.31,72.14,12513000
2025-05-13,72.41,72.65,71.89,72.29,72.12,8076200
2025-05-14,72.66,73.34,72.24,72.68,72.51,7724000
2025-05-15,72.34,72.67,71.44,71.57,71.4,8116500
2025-05-16,71.47,72.22,71.08,72.18,72.01,8717900
2025-05-19,71.16,72.54,71.11,72.32,72.15,7434900
2025-05-20,71.89,72.78,71.74,72.61,72.44,8403200
2025-05-21,72.2,73.2,71.5,71.65,71.48,8094300
2025-05-22,71.47,71.99,71.28,71.45,71.29,6451000
2025-05-23,69.46,70.14,69.41,69.85,69.69,7683600
2025-05-27,70.75,72.0,70.67,71.48,71.32,8770900
2025-05-28,71.58,72.04,71.1,71.44,71.28,6292100
2025-05-29,72.16,72.45,70.25,70.93,70.77,7058300
2025-05-30,70.96,71.08,69.52,70.28,70.12,14937200
2025-06-02,69.28,70.96,69.05,70.93,70.77,7518200
2025-06-03,71.0,71.43,69.86,71.33,71.17,7316400
2025-06-04,71.49,73.07,71.33,72.8,72.63,7712300
2025-06-05,72.79,73.55,72.08,72.47,72.3,6323600
2025-06-06,73.26,73.62,72.64,73.43,73.26,7240200
2025-06-09,73.7,73.97,72.95,73.55,73.38,6166500
2025-06-10,73.58,75.27,73.32,74.76,74.59,9510700
2025-06-11,75.1,75.21,73.93,74.61,74.44,7706100
2025-06-12,74.02,75.31,74.0,74.81,74.64,8644600
2025-06-13,73.3,74.21,70.53,70.83,70.67,16744400
2025-06-16,71.63,72.49,71.07,72.26,72.09,7195500
2025-06-17,71.92,72.1,70.46,70.67,70.51,7374300
2025-06-18,70.51,71.28,67.52,68.57,68.41,20427700
2025-06-20,68.83,70.55,68.55,70.05,69.89,18497900
2025-06-23,71.0,72.15,70.16,72.01,71.84,11447900
2025-06-24,73.12,73.94,72.55,73.58,73.41,9500900
2025-06-25,74.14,74.25,72.42,73.07,72.9,7851900
2025-06-26,73.25,73.38,71.61,73.17,73.0,10235600
2025-06-27,73.27,73.75,72.86,73.64,73.47,10449500
2025-06-30,73.94,74.54,73.66,74.32,74.15,7738000
2025-07-01,73.95,75.69,73.8,75.29,75.12,8633800
2025-07-02,75.01,76.86,75.0,76.31,76.13,9361500
2025-07-03,76.71,77.36,76.47,76.59,76.41,5263400
2025-07-07,76.21,76.83,75.62,76.18,76.0,5918600
2025-07-08,76.44,76.51,74.51,75.03,74.86,8758400
2025-07-09,75.49,75.79,74.38,74.83,74.66,6755700
2025-07-10,74.46,76.22,74.13,75.7,75.53,6380200
2025-07-11,75.17,75.2,70.79,71.36,71.2,21877700
2025-07-14,71.56,74.31,71.54,73.89,73.72,12993900
2025-07-15,73.77,73.91,72.94,72.96,72.79,7333600
2025-07-16,73.26,73.58,71.73,72.97,72.8,9671100
2025-07-17,72.47,74.18,72.35,73.86,73.69,8522700
2025-07-18,74.1,74.35,73.28,74.17,74.0,9011600
2025-07-21,74.35,76.23,74.24,74.82,74.65,8200400
2025-07-22,74.76,76.15,74.76,76.0,75.82,9094400
2025-07-23,76.93,77.23,75.91,76.66,76.48,9283200
2025-07-24,77.74,78.76,77.35,77.82,77.64,10504300
2025-07-25,77.59,78.82,77.5,77.98,77.8,6888100
