Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,171.55,173.49,170.22,171.71,167.95,5118900
2025-01-30,172.34,173.54,170.97,171.93,168.17,6010600
2025-01-31,172.51,176.79,172.29,172.93,169.14,7800500
2025-02-03,168.88,172.58,168.06,170.24,166.51,7447100
2025-02-04,168.5,173.79,168.5,173.04,169.25,5457900
2025-02-05,173.0,177.0,169.9,175.86,172.01,15197800
2025-02-06,167.84,169.49,165.4,169.32,165.61,16293500
2025-02-07,169.83,171.3,166.06,167.96,164.28,7841700
2025-02-10,169.73,171.8,169.0,171.36,167.61,6237700
2025-02-11,169.65,172.7,169.11,171.99,168.22,6588100
2025-02-12,169.55,170.93,168.24,170.29,166.56,5505700
2025-02-13,170.19,172.36,169.47,172.15,168.38,6362200
2025-02-14,172.6,172.82,171.04,172.23,168.46,4691300
2025-02-18,173.26,173.72,171.24,173.64,169.84,7292600
2025-02-19,173.99,176.5,173.35,175.22,171.38,6849600
2025-02-20,176.0,176.39,172.9,173.7,169.9,6316400
2025-02-21,174.98,175.43,165.21,165.43,161.81,12531900
2025-02-24,165.91,166.59,160.99,161.1,157.57,9827800
2025-02-25,161.66,163.33,159.44,161.22,157.69,8244900
2025-02-26,161.83,164.14,160.93,162.1,158.55,9161900
2025-02-27,162.34,163.25,154.1,154.44,151.06,10807200
2025-02-28,155.1,157.31,153.4,157.17,153.73,10149500
2025-03-03,158.99,160.08,152.52,153.62,150.26,9601900
2025-03-04,155.27,157.2,151.35,154.46,151.08,8956800
2025-03-05,155.04,159.15,153.03,158.49,155.02,6786900
2025-03-06,154.11,157.88,154.09,156.04,153.45,7808100
2025-03-07,155.22,161.82,155.22,161.22,158.54,8727600
2025-03-10,157.35,159.26,152.61,154.98,152.4,10139900
2025-03-11,154.85,156.23,150.86,153.1,150.56,8692900
2025-03-12,154.21,155.86,151.92,152.8,150.26,7117400
2025-03-13,152.6,155.63,150.42,151.94,149.41,5861700
2025-03-14,153.56,156.95,153.54,156.58,153.98,5309400
2025-03-17,155.6,158.72,155.44,157.95,155.32,5781000
2025-03-18,157.95,159.73,155.92,156.29,153.69,6898400
2025-03-19,156.43,160.51,155.06,158.26,155.63,5871000
2025-03-20,158.0,159.12,156.52,157.95,155.32,5089300
2025-03-21,154.98,157.42,153.56,156.82,154.21,10949300
2025-03-24,160.0,161.0,158.8,160.08,157.42,6033400
2025-03-25,159.88,161.47,159.42,160.15,157.49,3978200
2025-03-26,159.45,160.81,156.85,158.39,155.76,5960300
2025-03-27,158.21,159.25,155.75,157.97,155.34,6102000
2025-03-28,156.92,157.64,151.56,152.72,150.18,8918000
