Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,102.7,110.08,102.68,108.58,105.77,40769300
2025-01-30,109.0,110.34,108.03,109.0,106.18,15023000
2025-01-31,109.0,109.36,107.5,107.68,104.9,19136900
2025-02-03,105.72,108.44,105.52,108.16,105.36,8894100
2025-02-04,108.67,111.07,108.13,110.6,107.74,11123700
2025-02-05,110.18,112.42,109.86,112.25,109.35,12826000
2025-02-06,112.05,112.31,111.05,111.7,108.81,11967300
2025-02-07,111.43,112.62,110.06,112.2,109.3,11502400
2025-02-10,112.58,112.58,111.0,111.45,108.57,8348400
2025-02-11,110.88,112.08,110.61,111.03,108.16,4683100
2025-02-12,110.56,113.19,110.4,113.04,110.12,7269400
2025-02-13,113.12,113.4,111.53,113.0,110.08,10046300
2025-02-14,112.82,113.47,112.03,112.55,110.23,9115000
2025-02-18,111.8,113.36,111.62,113.03,110.7,7574100
2025-02-19,112.44,113.34,112.34,112.49,110.18,8268900
2025-02-20,112.17,113.5,111.96,113.34,111.01,6343800
2025-02-21,113.33,114.68,111.63,111.75,109.45,9664700
2025-02-24,112.34,113.91,111.89,113.19,110.86,13120500
2025-02-25,113.08,115.24,112.67,114.59,112.23,11001800
2025-02-26,114.61,114.79,112.26,113.0,110.67,7466800
2025-02-27,113.0,115.7,112.8,114.49,112.13,9013700
2025-02-28,115.06,116.09,114.27,115.81,113.43,11466000
2025-03-03,116.04,117.46,114.1,115.41,113.04,9225500
2025-03-04,114.99,115.27,112.0,112.06,109.75,12482400
2025-03-05,111.57,112.52,110.21,111.69,109.39,11926800
2025-03-06,110.01,110.43,104.91,105.47,103.3,16321700
2025-03-07,104.73,106.86,103.44,106.48,104.29,11637400
2025-03-10,105.73,106.0,99.8,101.13,99.05,15823300
2025-03-11,101.89,103.0,99.0,99.58,97.53,10663500
2025-03-12,100.3,100.3,96.97,98.69,96.66,9461200
2025-03-13,98.71,98.87,95.93,96.04,94.06,9274300
2025-03-14,96.52,98.25,96.16,98.11,96.09,8240900
2025-03-17,97.71,99.45,97.0,99.08,97.04,10131700
2025-03-18,99.23,99.37,97.68,98.28,96.26,7423400
2025-03-19,98.27,99.53,97.95,99.19,97.15,4982700
2025-03-20,98.85,99.69,98.67,99.28,97.24,5952800
2025-03-21,97.94,98.01,96.29,97.07,95.07,11366000
2025-03-24,98.03,98.2,95.63,95.72,93.75,8265000
2025-03-25,96.19,96.97,94.77,95.88,93.91,6984800
2025-03-26,96.0,98.39,96.0,97.97,95.95,9561600
2025-03-27,97.9,99.92,97.54,98.85,96.82,9141000
2025-03-28,98.0,98.49,97.06,97.73,95.72,8066200
2025-03-31,96.62,98.82,94.58,98.09,96.07,11302900
2025-04-01,97.85,98.9,97.13,98.23,96.21,5868400
2025-04-02,97.41,99.75,97.41,99.41,97.36,6043300
2025-04-03,93.35,93.39,87.65,88.26,86.44,20490100
2025-04-04,84.66,85.43,81.3,82.1,80.41,19700100
2025-04-07,78.63,83.27,76.15,80.0,78.35,26099400
2025-04-08,83.07,83.48,78.69,79.69,78.05,20534600
2025-04-09,79.22,89.13,77.93,88.68,86.86,26668100
2025-04-10,86.11,86.58,81.67,84.6,82.86,16209300
2025-04-11,84.43,85.82,82.08,85.43,83.67,10059700
2025-04-14,86.32,86.77,83.4,85.49,83.73,8880500
2025-04-15,85.5,86.06,83.46,83.71,81.99,7088600
2025-04-16,83.3,83.52,79.89,80.76,79.1,13080800
2025-04-17,81.25,82.55,81.2,81.5,79.82,9787500
2025-04-21,80.36,80.82,78.13,80.68,79.02,10595600
2025-04-22,81.91,83.49,81.62,81.75,80.07,10408600
2025-04-23,84.0,85.74,82.65,82.81,81.11,9114400
2025-04-24,82.39,84.14,81.58,83.86,82.13,6798100
2025-04-25,83.63,83.99,82.46,83.81,82.09,5799400
2025-04-28,84.33,85.06,83.27,83.9,82.17,7091400
2025-04-29,83.64,85.07,83.2,84.85,83.1,16356900
2025-04-30,76.37,80.28,75.5,80.05,78.4,41297000
2025-05-01,80.71,82.71,80.27,82.01,80.32,18326700
2025-05-02,82.59,84.83,82.05,84.69,82.95,13512900
2025-05-05,84.0,84.08,81.59,81.66,79.98,13361900
2025-05-06,81.0,83.37,80.61,82.78,81.08,10709500
2025-05-07,82.97,83.23,82.14,82.71,81.01,8224800
2025-05-08,83.34,83.6,81.69,82.19,80.5,8759800
2025-05-09,82.41,82.67,80.2,80.3,78.65,8210700
2025-05-12,83.65,86.54,83.64,85.67,83.91,17241500
2025-05-13,85.87,87.14,85.1,86.88,85.09,11533700
2025-05-14,86.71,87.63,85.74,86.54,84.76,12741500
2025-05-15,86.54,87.78,85.82,87.26,85.46,13721900
2025-05-16,86.62,86.91,84.28,85.57,84.4,13109500
2025-05-19,84.45,85.14,84.11,84.61,83.45,9568100
2025-05-20,84.52,86.15,84.45,85.59,84.42,9310600
2025-05-21,84.41,85.51,82.51,82.98,81.84,10875400
2025-05-22,83.22,84.48,82.72,83.97,82.82,8440400
2025-05-23,82.58,84.83,82.57,84.4,83.25,7088200
2025-05-27,85.43,87.09,85.22,87.01,85.82,10922300
2025-05-28,87.43,87.6,84.54,86.0,84.82,12328500
2025-05-29,84.9,85.7,83.7,84.05,82.9,10308700
2025-05-30,83.94,84.27,83.19,83.95,82.8,7394100
2025-06-02,83.28,85.3,83.19,85.19,84.02,8258900
2025-06-03,85.07,87.49,84.4,86.6,85.42,8287700
2025-06-04,86.63,88.54,86.02,88.11,86.9,8740900
2025-06-05,88.18,88.41,86.86,86.99,85.8,8476100
2025-06-06,88.4,89.89,88.24,89.64,88.41,8772900
2025-06-09,89.08,91.14,89.08,90.67,89.43,8097300
2025-06-10,89.9,91.89,89.53,91.43,90.18,6911100
2025-06-11,92.11,95.91,92.0,95.39,94.09,14835500
2025-06-12,94.68,95.07,93.97,94.32,93.03,7183300
2025-06-13,93.5,94.61,93.16,93.26,91.98,7119900
2025-06-16,93.98,94.43,92.94,93.48,92.2,5871000
2025-06-17,93.16,93.21,90.79,91.59,90.34,6183000
2025-06-18,91.88,92.58,91.23,92.28,91.02,7319300
2025-06-20,93.08,93.8,92.4,93.12,91.85,9197000
2025-06-23,93.2,93.21,90.74,92.34,91.08,7533000
2025-06-24,92.91,93.84,90.31,91.5,90.25,11373900
2025-06-25,91.76,92.0,90.62,91.1,89.85,6929600
2025-06-26,92.1,92.2,90.42,91.84,90.58,6571600
2025-06-27,91.77,92.72,90.33,92.11,90.85,21491600
2025-06-30,92.42,94.16,91.08,91.63,90.38,10083300
2025-07-01,91.54,95.86,91.54,94.92,93.62,9828400
2025-07-02,95.28,95.3,93.35,94.18,92.89,7942300
2025-07-03,94.2,94.65,93.76,94.44,93.15,3557300
2025-07-07,94.16,94.95,92.97,93.64,92.36,5311200
2025-07-08,94.06,95.75,93.78,94.94,93.64,6985700
2025-07-09,97.55,97.89,94.66,95.25,93.95,8322400
2025-07-10,94.88,95.74,93.55,95.15,93.85,6913600
2025-07-11,94.37,95.32,94.14,94.94,93.64,6339800
2025-07-14,93.68,93.96,92.27,93.42,92.14,6048300
2025-07-15,93.62,94.3,92.15,92.48,91.21,8567900
