ticker,date,open,high,low,close,volume
SPY,2020-01-01,325,325.49,324.42,325.08,33321777
SPY,2020-01-02,325.08,325.8,324.16,324.45,35686306
SPY,2020-01-03,324.45,328.69,323.31,325.62,50523532
SPY,2020-01-06,325.62,327.56,320.54,321.6,84304377
SPY,2020-01-07,321.6,321.82,315.67,315.73,61716344
SPY,2020-01-08,315.73,317.03,307.27,307.28,55503372
SPY,2020-01-09,307.28,307.7,300.87,302.3,48556493
SPY,2020-01-10,302.3,304.34,300.24,303.68,40565999
SPY,2020-01-13,303.68,304.68,294.1,296.37,56529799
SPY,2020-01-14,296.37,300.45,294.11,300.43,54078669
SPY,2020-01-15,300.43,303.72,299.15,299.33,21861346
SPY,2020-01-16,299.33,301.32,295.42,296.39,17234006
SPY,2020-01-17,296.39,302.81,295.36,302.47,53131044
SPY,2020-01-20,302.47,304.52,294.12,296.22,53878028
SPY,2020-01-21,296.22,299.41,295.35,298.92,70554975
SPY,2020-01-22,298.92,302.62,298.73,301.67,33919805
SPY,2020-01-23,301.67,306.07,292.66,293.39,33675066
SPY,2020-01-24,293.39,294.78,290.06,290.84,76890233
SPY,2020-01-27,290.84,291.03,289.42,290.0,48420082
SPY,2020-01-28,290.0,290.92,282.08,285.53,62349042
SPY,2020-01-29,285.53,287.43,284.84,285.72,65939714
SPY,2020-01-30,285.72,289.21,284.41,287.58,57228576
SPY,2020-01-31,287.58,288.93,286.68,288.24,70467198
SPY,2020-02-03,288.24,291.12,288.01,291.11,31611810
SPY,2020-02-04,291.11,294.85,290.56,294.29,36617618
SPY,2020-02-05,294.29,295.29,287.11,287.68,37496526
SPY,2020-02-06,287.68,294.65,284.11,291.74,29635739
SPY,2020-02-07,291.74,295.78,289.95,292.75,36871796
SPY,2020-02-10,292.75,301.95,292.4,300.4,51996208
SPY,2020-02-11,300.4,300.62,294.56,294.83,60670401
SPY,2020-02-12,294.83,295.72,293.34,293.46,64891969
SPY,2020-02-13,293.46,295.47,292.99,293.44,48388842
SPY,2020-02-14,293.44,295.23,291.7,294.81,31745317
SPY,2020-02-17,294.81,295.04,288.71,288.96,86985340
SPY,2020-02-18,288.96,289.17,285.72,285.78,34173531
SPY,2020-02-19,285.78,289.54,285.74,287.31,74427365
SPY,2020-02-20,287.31,294.35,286.22,292.71,47234118
SPY,2020-02-21,292.71,297.62,292.04,295.08,60896340
SPY,2020-02-24,295.08,300.05,293.87,298.77,33576198
SPY,2020-02-25,298.77,300.5,288.17,288.57,42921992
SPY,2020-02-26,288.57,296.23,288.48,294.67,77825123
SPY,2020-02-27,294.67,296.92,294.04,296.2,60622320
SPY,2020-02-28,296.2,296.92,294.13,295.91,62482608
SPY,2020-03-02,295.91,298.3,291.0,295.08,48241800
SPY,2020-03-03,295.08,295.71,293.53,294.59,68831191
SPY,2020-03-04,294.59,296.37,291.81,293.67,48623697
SPY,2020-03-05,293.67,296.54,293.0,296.29,40917338
SPY,2020-03-06,296.29,299.77,296.18,297.51,22176670
SPY,2020-03-09,297.51,298.38,295.27,295.6,54148530
SPY,2020-03-10,295.6,296.51,290.8,290.91,49229747
SPY,2020-03-11,290.91,295.33,288.61,294.28,67389254
SPY,2020-03-12,294.28,300.05,293.02,297.69,61709471
SPY,2020-03-13,297.69,304.64,297.22,303.76,82220850
SPY,2020-03-16,303.76,306.6,303.47,305.18,46663161
SPY,2020-03-17,305.18,306.51,299.55,300.1,33195820
SPY,2020-03-18,300.1,304.77,299.1,303.5,55011670
SPY,2020-03-19,303.5,304.24,300.26,300.67,46560209
SPY,2020-03-20,300.67,301.44,300.14,300.26,82143072
SPY,2020-03-23,300.26,300.69,299.19,299.25,22354213
SPY,2020-03-24,299.25,313.27,298.71,309.76,46721362
SPY,2020-03-25,309.76,312.71,309.11,310.41,32771057
SPY,2020-03-26,310.41,311.39,305.81,308.45,58189335
SPY,2020-03-27,308.45,309.47,299.25,299.59,34789579
SPY,2020-03-30,299.59,299.85,288.94,289.02,46387767
SPY,2020-03-31,289.02,290.35,288.92,289.92,62364314
SPY,2020-04-01,289.92,296.4,289.05,294.32,49225466
SPY,2020-04-02,294.32,295.83,290.83,291.28,59494412
