Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,136.06,137.05,134.13,134.68,128.99,4289200
2025-02-07,134.68,135.0,130.29,131.35,125.8,5756700
2025-02-10,131.78,132.32,130.29,131.28,125.73,4003500
2025-02-11,130.92,132.47,130.21,132.45,126.85,4782600
2025-02-12,129.21,129.84,126.82,127.5,123.15,6429000
2025-02-13,127.61,129.44,126.99,128.58,124.2,5325900
2025-02-14,128.93,129.44,127.36,127.88,123.52,4549000
2025-02-18,128.0,130.65,127.75,130.11,125.68,4901600
2025-02-19,130.0,131.7,129.47,130.75,126.29,3893500
2025-02-20,128.78,130.15,127.8,128.13,123.76,6195900
2025-02-21,125.91,127.0,123.93,124.27,120.03,9052900
2025-02-24,124.31,126.71,123.69,125.77,121.48,8772900
2025-02-25,126.28,127.71,125.9,127.39,123.05,6404300
2025-02-26,127.72,127.89,123.65,124.04,119.81,7714200
2025-02-27,123.74,125.05,122.37,122.5,118.32,6164500
2025-02-28,122.8,124.53,122.36,124.24,120.01,8893600
2025-03-03,125.27,127.06,119.92,120.76,116.64,12120900
2025-03-04,117.5,118.22,112.53,117.14,113.15,15623300
2025-03-05,116.37,116.78,114.1,116.56,112.59,7311000
2025-03-06,114.98,115.9,113.26,114.05,110.16,8020200
2025-03-07,113.52,115.32,112.1,115.08,111.16,8050900
2025-03-10,114.69,115.63,111.84,113.85,109.97,8146200
2025-03-11,113.92,115.01,112.21,112.76,108.92,8271800
2025-03-12,112.99,113.48,107.02,107.28,103.62,10434200
2025-03-13,107.78,108.02,104.01,104.5,100.94,9700200
2025-03-14,105.23,105.28,103.46,104.7,101.13,7551800
2025-03-17,105.66,106.96,105.26,105.67,102.07,5436200
2025-03-18,105.46,106.25,104.49,104.59,101.03,4922200
2025-03-19,104.0,105.76,103.75,104.94,101.36,6331900
2025-03-20,104.4,106.67,103.92,104.2,100.65,5863300
2025-03-21,103.36,105.12,101.76,104.06,100.51,31066200
2025-03-24,104.99,108.48,104.94,108.35,104.66,8526100
2025-03-25,108.16,108.76,104.57,105.4,101.81,6837700
2025-03-26,105.76,106.67,104.97,106.09,102.47,5490800
2025-03-27,105.8,107.98,105.72,106.51,102.88,5015300
2025-03-28,104.49,105.39,102.37,103.65,100.12,9704400
2025-03-31,102.0,104.66,100.5,104.36,100.8,7069200
2025-04-01,104.98,105.59,103.53,104.43,100.87,6240500
2025-04-02,104.02,107.09,103.93,105.77,102.16,5654400
2025-04-03,97.75,98.45,93.0,94.28,91.07,19020400
2025-04-04,91.84,96.88,90.62,95.72,92.46,16229700
2025-04-07,91.27,97.86,90.25,94.38,91.16,13800600
2025-04-08,96.54,97.5,87.35,88.76,85.73,13408900
2025-04-09,88.0,98.48,87.88,97.69,94.36,13717800
2025-04-10,95.69,96.0,89.8,92.71,89.55,12187900
2025-04-11,92.41,92.96,88.63,92.78,89.62,10457600
2025-04-14,94.42,95.41,92.72,94.65,91.42,8164400
2025-04-15,94.04,94.98,91.96,92.08,88.94,6605600
2025-04-16,91.0,92.63,89.53,90.46,87.38,8048400
2025-04-17,90.23,93.54,90.23,93.11,89.94,5349800
2025-04-21,92.64,93.91,90.85,93.78,90.58,6856600
2025-04-22,94.12,95.94,92.75,94.1,90.89,7200100
2025-04-23,96.85,97.62,91.69,92.15,89.01,9113800
2025-04-24,92.3,95.56,91.88,95.31,92.06,7718800
2025-04-25,95.01,96.85,94.69,96.58,93.29,5274900
2025-04-28,96.49,97.99,95.17,96.37,93.09,4662400
2025-04-29,95.95,97.09,95.3,96.91,93.61,3768400
2025-04-30,95.51,96.99,94.23,96.7,93.4,8255300
2025-05-01,97.11,97.53,95.55,95.97,92.7,5443700
2025-05-02,97.3,98.51,96.69,97.37,94.05,5294900
2025-05-05,96.84,96.84,93.71,94.02,90.82,6789300
2025-05-06,93.9,94.59,93.01,93.65,90.46,5726600
2025-05-07,94.12,96.13,93.95,95.49,92.24,5725200
2025-05-08,96.95,98.38,96.24,96.93,93.63,5006300
2025-05-09,96.94,97.84,96.09,96.4,93.11,4614700
2025-05-12,100.93,103.0,99.03,101.08,97.63,9670800
2025-05-13,100.88,100.88,98.47,99.09,95.71,7774500
2025-05-14,97.05,97.25,94.81,95.26,93.06,10286400
2025-05-15,94.3,97.5,93.71,97.07,94.83,8348500
2025-05-16,97.76,99.14,97.4,98.58,96.31,6371500
2025-05-19,96.76,98.44,96.05,97.99,95.73,8468700
2025-05-20,98.0,99.33,97.35,98.12,95.86,10163500
