Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,210.06,211.18,207.0,210.5,207.7,8491400
2025-02-07,213.01,213.18,205.72,206.12,203.38,11616200
2025-02-10,208.0,209.98,206.53,207.95,205.19,9296500
2025-02-11,205.13,209.84,201.0,208.74,205.96,9224500
2025-02-12,204.9,207.07,203.01,206.38,203.64,7373700
2025-02-13,201.88,202.3,199.23,201.83,199.15,15580900
2025-02-14,199.98,206.25,197.46,203.9,201.19,23220300
2025-02-18,204.76,205.85,200.52,202.74,200.04,14988100
2025-02-19,202.01,202.6,200.02,200.95,198.28,13163100
2025-02-20,200.28,200.34,197.61,200.1,197.44,10639300
2025-02-21,201.33,202.69,196.01,198.24,195.6,13757300
2025-02-24,196.88,198.79,191.46,191.65,189.1,15114300
2025-02-25,190.65,193.53,187.47,189.37,186.85,20581000
2025-02-26,191.09,196.08,191.09,194.62,192.03,14112300
2025-02-27,194.69,194.77,181.08,181.09,178.68,24219200
2025-02-28,179.31,182.16,175.52,180.53,178.13,27929400
2025-03-03,181.15,181.57,171.07,172.97,170.67,37403000
2025-03-04,175.06,183.6,174.18,180.0,177.61,29395200
2025-03-05,183.0,184.74,180.72,184.28,181.83,17334000
2025-03-06,178.58,181.55,175.79,175.85,173.51,17864300
2025-03-07,175.79,178.47,171.02,177.1,174.75,21012700
2025-03-10,172.47,174.89,167.91,170.65,168.38,18265100
2025-03-11,170.65,173.33,168.1,170.97,168.7,16561100
2025-03-12,175.6,178.13,174.76,177.17,174.81,14737600
2025-03-13,173.89,173.89,170.5,171.59,169.31,14381600
2025-03-14,172.65,174.37,171.93,174.09,171.78,11449400
2025-03-17,173.95,177.16,173.82,176.24,173.9,9678100
2025-03-18,174.38,174.58,170.43,173.13,171.49,9986000
2025-03-19,173.0,175.73,171.74,173.76,172.12,10678500
2025-03-20,174.85,178.67,174.55,177.47,175.79,12209700
2025-03-21,174.91,177.2,173.79,176.73,175.06,9993200
2025-03-24,179.99,182.93,179.68,181.16,179.45,11440000
2025-03-25,182.47,182.51,179.8,180.9,179.19,8718800
2025-03-26,179.23,179.55,171.47,173.5,171.86,14612400
2025-03-27,171.39,171.61,167.55,168.24,166.65,17559100
2025-03-28,168.04,168.63,164.06,165.25,163.69,16332000
2025-03-31,160.36,166.13,159.73,166.0,164.43,19408300
2025-04-01,166.39,168.87,165.06,168.64,167.05,9180000
2025-04-02,166.85,171.75,166.35,170.39,168.78,10072700
2025-04-03,160.06,161.8,157.21,157.38,155.89,28370500
2025-04-04,150.89,151.31,144.84,146.8,145.41,36085100
2025-04-07,134.51,153.75,134.25,146.17,144.79,46388300
2025-04-08,151.98,152.61,138.98,141.37,140.03,30479700
2025-04-09,140.2,160.62,137.9,158.75,157.25,45612500
2025-04-10,155.5,156.0,146.91,151.13,149.7,24503500
2025-04-11,156.0,158.01,153.25,157.08,155.6,19632200
2025-04-14,158.3,158.59,154.03,155.84,154.37,17509400
2025-04-15,156.49,158.25,156.05,157.33,155.84,14306600
2025-04-16,150.6,153.54,148.49,151.67,150.24,23806100
2025-04-17,156.05,157.5,151.45,151.74,150.31,27239900
2025-04-21,149.99,150.28,145.84,147.86,146.46,15170500
2025-04-22,148.0,152.6,147.44,151.4,149.97,12668600
2025-04-23,159.37,160.38,156.0,157.81,156.32,17667900
2025-04-24,157.78,164.55,157.39,164.18,162.63,18761100
2025-04-25,163.93,165.91,161.16,165.1,163.54,14654800
2025-04-28,165.0,165.32,160.5,163.4,161.86,11415600
2025-04-29,164.38,166.0,163.5,164.48,162.93,9830100
2025-04-30,163.54,166.92,161.75,166.69,165.11,10073000
2025-05-01,172.8,174.78,170.95,172.72,171.09,22670600
2025-05-02,179.8,180.65,177.14,179.28,177.59,21691200
2025-05-05,179.0,180.08,176.25,176.4,174.73,14618900
2025-05-06,172.6,174.74,170.59,172.28,170.65,14565600
2025-05-07,174.1,175.98,171.37,174.54,172.89,9682500
2025-05-08,175.34,177.45,173.66,175.22,173.56,10343000
2025-05-09,179.8,180.46,176.47,176.52,174.85,11582800
2025-05-12,187.28,189.17,184.61,186.98,185.21,22064900
2025-05-13,187.72,194.28,187.72,193.99,192.16,19996000
2025-05-14,195.28,196.22,193.23,194.76,192.92,12359000
2025-05-15,193.1,194.49,191.63,194.22,192.38,10241800
2025-05-16,194.53,195.08,192.57,194.22,192.38,9146700
2025-05-19,189.0,193.5,188.81,193.5,191.67,10144400
2025-05-20,191.8,193.73,190.81,193.45,191.62,7054100
2025-05-21,193.1,195.27,190.53,191.76,189.95,7375700
2025-05-22,191.34,196.83,191.34,196.19,194.34,11825000
2025-05-23,192.02,192.8,190.03,191.98,190.17,9403100
2025-05-27,194.1,198.31,193.7,197.68,195.81,12228200
2025-05-28,196.09,198.07,195.48,196.14,194.29,17787600
2025-05-29,199.46,199.8,196.08,197.15,195.29,14609900
2025-05-30,195.77,195.91,190.56,193.32,191.49,11998300
2025-06-02,193.04,195.16,192.2,194.84,193.0,7447400
2025-06-03,194.35,198.17,193.64,197.61,195.74,9548300
2025-06-04,201.38,204.03,200.38,202.4,200.49,13531100
2025-06-05,204.88,205.76,202.28,203.34,201.42,12214300
2025-06-06,203.58,206.29,203.23,205.18,203.24,8532000
2025-06-09,206.4,209.27,205.87,207.0,205.04,11472300
2025-06-10,211.61,213.23,209.96,212.46,210.45,14514000
2025-06-11,215.0,217.43,212.95,214.1,212.08,13326400
2025-06-12,212.92,215.88,211.91,215.43,214.17,9796100
2025-06-13,210.11,213.26,209.4,211.1,209.87,10152500
2025-06-16,213.0,217.6,212.73,215.68,214.42,10932900
2025-06-17,213.89,215.94,213.5,213.9,212.65,8389700
2025-06-18,214.7,215.17,212.89,213.5,212.26,6932000
2025-06-20,215.2,215.5,208.15,209.51,208.29,16992000
2025-06-23,206.63,210.59,206.2,210.32,209.09,7535500
2025-06-24,214.39,220.37,213.88,220.09,218.81,14814700
2025-06-25,220.8,223.5,220.8,222.74,221.44,9168400
2025-06-26,224.98,225.22,222.7,224.01,222.7,7982200
2025-06-27,224.3,228.88,224.03,228.57,227.24,13133000
2025-06-30,227.44,228.15,224.8,226.49,225.17,9279800
2025-07-01,227.43,228.6,221.18,224.68,223.37,9990200
2025-07-02,224.48,233.82,224.0,233.6,232.24,12012500
2025-07-03,233.87,237.58,233.27,234.8,233.43,7779600
2025-07-07,231.63,232.55,227.44,229.17,227.83,13817500
2025-07-08,229.78,230.33,227.54,227.86,226.53,8854400
2025-07-09,230.45,233.27,230.24,231.84,230.49,9475300
2025-07-10,232.78,233.05,227.77,229.76,228.42,13124700
2025-07-11,231.0,232.27,229.4,230.4,229.06,8817800
2025-07-14,229.33,229.85,226.31,228.67,227.34,10673500
2025-07-15,234.46,237.71,233.85,236.95,235.57,14270100
2025-07-16,236.4,238.31,234.15,237.56,236.18,15092800
2025-07-17,245.79,248.28,241.39,245.6,244.17,27395700
2025-07-18,245.31,245.97,238.69,240.4,239.0,16252000
2025-07-21,240.12,242.34,238.71,238.85,237.46,11971800
2025-07-22,237.83,238.0,231.76,234.6,233.23,11919500
2025-07-23,238.52,240.5,236.38,240.33,238.93,9885400
2025-07-24,240.21,241.95,238.03,241.6,240.19,9081900
2025-07-25,241.32,246.24,240.94,245.6,244.17,11593400
2025-07-28,243.0,243.95,241.05,242.75,241.34,11892200
2025-07-29,241.5,243.97,239.82,241.33,239.92,9411500
2025-07-30,242.12,244.57,241.22,242.91,241.49,6823800
2025-07-31,245.98,247.41,239.8,241.62,240.21,13490700
2025-08-01,235.62,237.19,231.84,235.21,233.84,13549800
2025-08-04,237.91,239.0,236.39,239.0,237.61,6450700
2025-08-05,238.33,238.63,230.17,232.47,231.12,11868900
2025-08-06,231.03,232.2,228.82,231.37,230.02,9457200
2025-08-07,244.47,247.84,240.8,242.62,241.21,17691000
2025-08-08,243.16,243.16,238.97,241.83,240.42,10552500
2025-08-11,242.04,245.35,241.54,242.09,240.68,8272900
2025-08-12,243.72,244.77,241.7,244.29,242.87,7295800
2025-08-13,246.43,246.43,239.94,241.44,240.03,7971900
2025-08-14,237.97,241.38,236.82,241.0,239.6,11040500
2025-08-15,240.33,240.8,237.26,238.88,237.49,8155500
2025-08-18,239.99,242.86,239.99,241.41,240.0,6919800
2025-08-19,240.02,240.17,232.58,232.7,231.34,14594700
2025-08-20,228.14,229.03,223.7,228.6,227.27,17165200
2025-08-21,228.15,230.33,226.26,227.33,226.0,7449100
2025-08-22,228.0,234.45,226.17,232.99,231.63,10299500
2025-08-25,234.3,237.28,232.25,235.59,234.22,7655000
2025-08-26,236.37,238.83,235.73,238.72,237.33,9793100
2025-08-27,236.87,239.4,235.44,239.29,237.9,9516400
2025-08-28,236.3,240.66,236.0,238.27,236.88,8466200
2025-08-29,235.84,235.95,230.58,230.87,229.52,15526000
2025-09-02,226.15,229.34,225.63,228.39,227.06,13974900
2025-09-03,231.52,232.45,228.6,231.39,230.04,7198500
2025-09-04,231.35,235.31,230.3,235.21,233.84,6241900
2025-09-05,240.24,244.55,237.9,243.41,241.99,14056600
2025-09-08,241.99,247.88,241.62,247.19,245.75,12986600
2025-09-09,246.93,254.73,246.93,250.92,249.46,13443400
2025-09-10,258.87,264.58,257.75,260.44,258.92,18822400
2025-09-11,260.35,261.64,258.23,258.91,257.4,10005000
2025-09-12,260.85,260.95,258.38,259.33,257.82,8496600
2025-09-15,260.0,262.8,258.75,261.38,259.86,8147700
2025-09-16,265.92,266.44,260.61,262.06,261.35,10381900
2025-09-17,264.34,264.81,259.73,262.79,262.08,10422000
2025-09-18,258.0,270.54,257.98,268.64,267.92,16917300
2025-09-19,266.37,266.57,262.81,264.87,264.16,17640200
2025-09-22,266.54,276.36,265.45,272.63,271.9,15630300
2025-09-23,282.4,286.0,280.0,282.71,281.95,17830300
2025-09-24,280.31,281.21,276.72,280.71,279.95,10231000
2025-09-25,273.12,277.14,270.19,276.66,275.92,11863400
2025-09-26,273.89,275.5,270.62,273.36,272.62,10451900
2025-09-29,276.49,279.87,273.23,273.23,272.49,8046200
