Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,67.8,68.06,65.82,66.75,66.75,29592600
2025-01-30,63.42,67.22,63.42,66.59,66.59,33246500
2025-01-31,67.09,67.87,66.33,66.85,66.85,19776000
2025-02-03,65.3,68.85,65.18,67.29,67.29,25290000
2025-02-04,67.69,70.19,67.69,69.75,69.75,33786200
2025-02-05,66.5,66.75,63.5,64.48,64.48,78975900
2025-02-06,65.67,70.05,65.54,69.99,69.99,45940200
2025-02-07,70.36,76.78,70.13,74.6,74.6,81813200
2025-02-10,77.1,78.99,76.8,78.63,78.63,42551700
2025-02-11,78.91,79.2,76.6,76.95,76.95,27329600
2025-02-12,74.97,80.1,74.15,79.35,79.35,33142400
2025-02-13,79.12,80.53,78.51,80.29,80.29,21754700
2025-02-14,80.35,80.35,78.87,79.42,79.42,15405700
2025-02-18,79.85,81.51,79.75,81.49,81.49,18943200
2025-02-19,80.79,81.9,79.26,81.16,81.16,14973400
2025-02-20,81.23,81.84,80.06,81.26,81.26,14770300
2025-02-21,81.26,82.1,78.36,78.89,78.89,21774300
2025-02-24,78.65,78.88,74.85,76.42,76.42,24368400
2025-02-25,76.36,76.37,73.53,74.95,74.95,19559200
2025-02-26,75.33,76.49,75.31,75.87,75.87,10328900
2025-02-27,75.95,77.69,73.71,74.21,74.21,22535900
2025-02-28,74.28,76.11,73.58,76.01,76.01,17752000
2025-03-03,77.06,77.74,73.68,74.44,74.44,16999500
2025-03-04,72.93,76.68,71.6,75.26,75.26,24241200
2025-03-05,75.65,76.94,74.93,76.48,76.48,13122300
2025-03-06,75.32,77.22,74.72,74.96,74.96,16504900
2025-03-07,73.99,76.7,73.78,76.27,76.27,18610400
2025-03-10,74.94,75.49,71.97,73.06,73.06,22120100
2025-03-11,71.44,74.25,69.57,70.65,70.65,26668200
2025-03-12,72.31,72.42,69.55,71.2,71.2,17315000
2025-03-13,71.68,72.0,69.36,69.51,69.51,15272200
2025-03-14,70.55,71.79,70.33,71.55,71.55,13537300
2025-03-17,72.02,73.81,71.78,72.73,72.73,20577800
2025-03-18,72.2,72.68,70.48,71.55,71.55,16137500
2025-03-19,71.92,73.79,70.73,73.02,73.02,15042100
2025-03-20,72.56,75.54,72.46,74.35,74.35,17851400
2025-03-21,73.72,76.0,72.77,75.84,75.84,26551400
2025-03-24,76.97,77.58,75.44,76.51,76.51,18126300
2025-03-25,76.6,76.71,75.05,75.61,75.61,16065900
2025-03-26,75.55,75.64,73.22,74.18,74.18,11828600
2025-03-27,73.89,75.62,73.53,74.86,74.86,11866800
2025-03-28,74.5,74.92,72.38,72.75,72.75,11277900
2025-03-31,71.4,73.3,70.5,72.86,72.86,16033100
2025-04-01,72.6,73.07,70.83,72.99,72.99,16889200
2025-04-02,72.0,75.41,72.0,74.5,74.5,14806900
2025-04-03,71.72,72.44,69.77,69.85,69.85,23290800
2025-04-04,66.69,67.56,63.94,64.62,64.62,34938700
2025-04-07,62.52,67.59,60.63,65.64,65.64,32841700
2025-04-08,69.31,70.07,63.5,65.07,65.07,24045200
2025-04-09,65.0,73.4,64.95,72.68,72.68,30148800
2025-04-10,71.75,72.87,68.34,70.94,70.94,22373900
2025-04-11,70.46,72.4,69.33,72.28,72.28,16274600
2025-04-14,73.52,73.65,72.23,73.1,73.1,12483200
2025-04-15,73.1,74.72,73.1,74.02,74.02,13790200
2025-04-16,73.57,74.8,72.05,73.06,73.06,15990800
2025-04-17,73.98,75.91,73.76,75.24,75.24,21893400
2025-04-21,74.44,75.44,71.27,72.92,72.92,20634600
2025-04-22,73.85,75.56,73.35,74.44,74.44,16599300
2025-04-23,76.93,77.58,73.23,73.77,73.77,22750200
2025-04-24,74.15,78.38,73.86,78.1,78.1,22188500
2025-04-25,78.57,80.55,77.47,77.75,77.75,20047800
2025-04-28,78.11,78.78,77.04,78.33,78.33,13324200
2025-04-29,78.33,79.73,78.03,79.42,79.42,12172200
2025-04-30,77.77,81.22,77.3,81.01,81.01,17762800
2025-05-01,81.0,81.92,80.67,80.89,80.89,18698500
2025-05-02,82.09,84.92,81.8,84.28,84.28,22401800
2025-05-05,83.05,86.57,82.97,85.43,85.43,25339000
2025-05-06,83.5,86.53,83.1,85.83,85.83,30378900
2025-05-07,83.13,85.17,80.12,83.65,83.65,49238800
2025-05-08,83.87,84.0,82.0,82.3,82.3,24293100
2025-05-09,82.85,84.12,82.32,82.81,82.81,19105400
2025-05-12,84.61,88.31,82.22,88.1,88.1,39104600
2025-05-13,87.41,92.17,86.93,91.72,91.72,36770800
2025-05-14,90.58,91.65,89.68,90.41,90.41,30640100
2025-05-15,89.66,91.11,89.24,90.16,90.16,20481600
2025-05-16,90.55,92.9,89.71,91.79,91.79,21909600
2025-05-19,90.88,92.54,90.56,92.46,92.46,19252100
2025-05-20,93.35,93.6,90.61,91.87,91.87,20851300
2025-05-21,90.64,91.04,88.0,88.67,88.67,25035100
2025-05-22,88.45,89.26,87.88,88.0,88.0,16496000
2025-05-23,87.21,88.49,86.7,87.75,87.75,17929700
2025-05-27,89.17,89.71,87.89,89.0,89.0,17446900
2025-05-28,89.29,89.88,88.12,88.26,88.26,13810300
2025-05-29,87.58,87.87,82.96,84.3,84.3,38116300
2025-05-30,84.53,84.65,82.54,84.16,84.16,29050900
2025-06-02,84.48,84.76,82.64,83.64,83.64,17047000
2025-06-03,83.57,83.79,81.86,82.53,82.53,25668400
2025-06-04,83.19,84.71,82.99,83.45,83.45,20080500
2025-06-05,83.4,85.75,83.08,84.67,84.67,33304500
2025-06-06,85.4,86.69,85.03,85.6,85.6,28172700
2025-06-09,86.32,87.86,86.2,87.12,87.12,22780800
2025-06-10,88.29,88.38,85.6,86.39,86.39,24494800
2025-06-11,87.59,87.6,85.94,86.58,86.58,15364200
2025-06-12,86.11,86.79,84.87,85.62,85.62,18776100
2025-06-13,84.81,85.57,83.38,83.93,83.93,18003000
2025-06-16,84.85,86.02,84.71,85.12,85.12,12254200
2025-06-17,84.57,85.48,84.24,84.76,84.76,13677800
2025-06-18,85.17,86.48,82.31,83.44,83.44,25976700
2025-06-20,84.47,85.37,83.62,83.78,83.78,27472100
2025-06-23,83.03,85.25,82.47,85.24,85.24,18407500
2025-06-24,87.99,92.48,87.91,91.65,91.65,38925100
2025-06-25,91.57,92.89,90.6,90.9,90.9,17400800
2025-06-26,91.3,94.38,90.88,93.12,93.12,23657800
2025-06-27,92.1,92.51,89.97,91.53,91.53,24731200
2025-06-30,91.68,93.39,91.52,93.3,93.3,16155300
2025-07-01,92.85,93.24,90.31,92.13,92.13,17124000
2025-07-02,91.88,94.1,91.55,92.05,92.05,13604000
2025-07-03,92.63,94.11,92.61,93.63,93.63,8112600
2025-07-07,93.54,97.12,93.54,96.68,96.68,29817200
2025-07-08,96.89,97.6,95.11,97.48,97.48,20586800
2025-07-09,97.5,97.71,96.1,96.64,96.64,14858900
2025-07-10,96.07,97.45,95.12,96.4,96.4,15644400
2025-07-11,96.12,96.83,95.27,95.39,95.39,12453500
2025-07-14,95.19,95.48,93.56,93.89,93.89,14300200
2025-07-15,95.0,95.16,91.85,92.21,92.21,18488400
2025-07-16,92.65,92.75,89.81,90.75,90.75,17636000
2025-07-17,91.21,91.4,89.9,90.5,90.5,16903600
2025-07-18,90.8,91.17,89.4,90.59,90.59,14223500
2025-07-21,90.85,91.93,90.53,91.16,91.16,12150600
2025-07-22,91.48,92.26,89.88,91.79,91.79,11561800
2025-07-23,92.7,92.7,89.86,89.94,89.94,18617900
2025-07-24,91.05,93.61,90.87,90.87,90.87,23446200
2025-07-25,90.49,91.38,89.5,91.29,91.29,13864100
2025-07-28,91.31,92.35,90.24,90.6,90.6,11606100
2025-07-29,88.89,89.16,86.36,87.11,87.11,24966200
2025-07-30,87.24,87.81,86.47,87.64,87.64,16862800
2025-07-31,87.53,88.84,86.61,87.75,87.75,16922400
2025-08-01,86.5,87.06,85.42,86.91,86.91,15732500
2025-08-04,87.7,88.59,87.41,88.43,88.43,15138900
2025-08-05,89.37,90.96,89.05,89.39,89.39,25856000
2025-08-06,90.95,90.96,86.3,89.22,89.22,40169800
2025-08-07,90.72,92.74,89.16,92.67,92.67,28522200
2025-08-08,92.96,94.31,88.91,89.56,89.56,26212500
