Date,Open,High,Low,Close,Adj Close,Volume
2025-02-06,537.89,539.1,525.27,530.04,517.3,3926800
2025-02-07,529.2,532.39,525.39,527.03,514.36,3349100
2025-02-10,527.67,534.16,523.38,533.37,520.55,3143100
2025-02-11,535.0,547.54,528.27,533.92,521.09,2631900
2025-02-12,539.85,542.35,525.51,527.4,514.72,3859200
2025-02-13,530.9,534.33,527.1,531.18,518.41,2835100
2025-02-14,529.0,533.2,522.91,523.51,510.93,3705300
2025-02-18,510.94,516.0,497.0,500.73,488.7,8759300
2025-02-19,501.33,511.86,498.15,511.04,498.76,4380300
2025-02-20,505.19,508.43,500.24,502.42,490.34,4144300
2025-02-21,439.55,469.7,438.5,466.42,455.21,19864900
2025-02-24,466.68,468.0,457.0,461.52,450.43,6919300
2025-02-25,460.77,470.76,450.07,470.38,459.07,9101000
2025-02-26,464.65,473.05,458.2,463.59,452.45,5108400
2025-02-27,466.17,475.4,465.02,468.56,457.3,4216800
2025-02-28,467.0,476.36,464.48,474.96,463.54,6146300
2025-03-03,474.37,477.27,465.21,467.05,455.82,5700200
2025-03-04,469.75,479.21,466.46,474.61,463.2,5864100
2025-03-05,471.07,479.08,471.01,475.98,464.54,3637100
2025-03-06,476.0,488.12,472.0,487.72,476.0,4964000
2025-03-07,483.83,499.92,483.37,493.48,481.62,5434100
2025-03-10,492.28,497.85,477.71,480.22,470.68,5108900
2025-03-11,482.5,486.77,477.14,486.04,476.39,4101000
2025-03-12,483.14,487.6,478.82,481.11,471.55,3680800
2025-03-13,479.45,484.06,475.0,481.52,471.96,2876600
2025-03-14,481.0,489.45,478.24,488.65,478.94,3915900
2025-03-17,487.51,500.61,485.95,499.02,489.11,5152300
2025-03-18,502.24,505.97,497.82,503.8,493.79,3617600
2025-03-19,505.04,506.35,500.06,503.2,493.2,3317600
2025-03-20,505.25,514.39,503.51,511.3,501.14,4965400
2025-03-21,511.68,519.0,505.09,516.85,506.58,10244900
2025-03-24,515.08,518.25,511.12,516.5,506.24,3840900
2025-03-25,518.28,519.0,511.53,513.43,503.23,3015100
2025-03-26,515.2,522.95,512.85,518.2,507.91,3253800
2025-03-27,516.29,521.08,512.95,515.72,505.48,2822200
2025-03-28,516.87,520.98,515.05,516.04,505.79,2379100
2025-03-31,519.18,528.12,518.59,523.75,513.35,5238700
2025-04-01,525.74,528.17,520.95,523.12,512.73,2962500
2025-04-02,522.95,525.0,516.8,523.2,512.81,2378900
2025-04-03,529.99,548.5,529.29,540.44,529.7,6457900
2025-04-04,540.64,551.74,524.84,525.05,514.62,9919000
2025-04-07,513.4,529.2,503.59,524.7,514.28,7356700
2025-04-08,582.17,585.01,547.46,553.08,542.09,11762300
2025-04-09,560.14,589.4,554.46,578.5,567.01,12691900
2025-04-10,580.24,601.88,580.0,594.4,582.59,8646000
2025-04-11,588.92,606.36,586.53,599.47,587.56,6121500
2025-04-14,595.0,595.63,579.29,587.06,575.4,4839300
2025-04-15,592.24,592.86,582.01,583.59,572.0,3871300
2025-04-16,585.32,594.81,582.96,585.04,573.42,4192100
2025-04-17,481.95,489.79,447.1,454.11,445.09,29120200
2025-04-21,449.76,453.5,424.81,425.33,416.88,13029900
2025-04-22,424.64,431.5,417.12,427.18,418.69,10156900
