Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,334.5,337.11,334.5,335.88,333.51,5087300
2025-01-30,339.51,344.44,339.0,343.05,340.63,8081300
2025-01-31,346.47,351.25,341.71,341.8,339.39,8624100
2025-02-03,340.0,346.0,339.24,345.82,343.38,8004500
2025-02-04,344.6,346.01,342.54,345.15,342.72,5532600
2025-02-05,346.0,349.48,345.25,349.44,346.98,4939100
2025-02-06,349.78,350.65,346.6,347.48,345.03,4294500
2025-02-07,348.0,350.75,347.21,348.02,345.57,4261200
2025-02-10,348.7,351.9,347.7,351.23,348.75,6067000
2025-02-11,348.3,352.12,346.25,350.72,348.83,5154800
2025-02-12,349.16,351.83,347.49,351.49,349.6,6760100
2025-02-13,353.12,356.08,350.73,355.63,353.72,4279200
2025-02-14,354.43,355.43,353.22,353.81,351.91,5720300
2025-02-18,353.69,356.74,352.4,356.73,354.81,5822000
2025-02-19,356.02,357.15,354.18,355.23,353.32,4152300
2025-02-20,355.23,356.13,349.06,350.49,348.6,5697000
2025-02-21,350.49,353.32,347.48,348.53,346.65,6924100
2025-02-24,348.76,350.8,347.36,349.86,347.98,5055900
2025-02-25,351.37,352.59,346.0,352.09,350.2,6191900
2025-02-26,350.0,351.83,348.99,350.63,348.74,5960600
2025-02-27,351.9,360.31,351.68,355.74,353.83,7298100
2025-02-28,354.71,364.0,353.71,362.71,360.76,15857300
2025-03-03,363.0,366.54,359.54,361.82,359.87,9099600
2025-03-04,360.11,360.27,350.4,352.23,350.33,8955800
2025-03-05,350.83,354.11,348.94,352.68,350.78,8244200
2025-03-06,345.96,348.87,340.39,344.16,342.31,8611100
2025-03-07,340.87,346.39,339.14,345.32,343.46,6358700
2025-03-10,339.94,345.01,337.64,341.48,339.64,8204300
2025-03-11,338.41,339.61,329.58,332.14,330.35,9776100
2025-03-12,335.97,336.16,329.11,332.84,331.05,6295400
2025-03-13,330.99,336.2,327.7,328.55,326.78,7915300
2025-03-14,327.21,332.77,326.38,331.8,330.01,7810600
2025-03-17,330.03,336.11,329.76,334.55,332.75,6149400
2025-03-18,335.29,335.8,332.3,334.77,332.97,7778300
2025-03-19,336.8,341.03,334.5,339.87,338.04,5614900
2025-03-20,339.0,342.24,337.66,339.5,337.67,5432700
2025-03-21,337.37,339.43,335.52,335.66,333.85,17279700
2025-03-24,338.65,345.22,337.65,343.87,342.02,5675100
2025-03-25,344.56,345.53,340.67,344.62,342.77,3931200
2025-03-26,345.99,347.38,343.0,344.18,342.33,6187100
2025-03-27,344.0,350.84,343.32,349.86,347.98,7254800
2025-03-28,349.19,351.62,341.61,342.85,341.0,5687600
2025-03-31,339.35,351.86,334.49,350.46,348.57,9950800
2025-04-01,350.44,350.45,342.57,346.35,344.49,7473300
2025-04-02,343.44,348.2,343.05,346.33,344.47,5682500
2025-04-03,333.9,344.74,331.0,339.39,337.56,8792900
2025-04-04,330.0,334.65,312.12,313.13,311.44,13201700
2025-04-07,302.07,322.18,299.0,312.32,310.64,12163400
2025-04-08,322.24,326.28,303.93,308.27,306.61,9569300
2025-04-09,305.64,334.03,305.64,332.43,330.64,11361800
2025-04-10,328.02,330.16,313.27,324.61,322.86,8709800
2025-04-11,324.43,336.98,322.54,333.4,331.61,6804500
2025-04-14,336.41,339.61,333.14,335.18,333.38,5011800
2025-04-15,336.72,339.39,335.0,335.81,334.0,4386200
2025-04-16,335.0,337.22,328.86,331.33,329.55,5850600
2025-04-17,331.07,334.32,328.44,329.61,327.84,5655900
2025-04-21,329.0,329.15,316.65,320.1,318.38,6362300
2025-04-22,323.86,332.56,322.39,331.4,329.62,5435500
2025-04-23,337.24,341.25,333.2,334.37,332.57,8906000
2025-04-24,333.28,336.77,331.25,335.71,333.9,8055200
2025-04-25,334.76,336.37,332.17,335.17,333.37,4452800
2025-04-28,336.78,339.34,335.02,337.51,335.69,5422900
2025-04-29,338.5,342.27,336.46,341.52,339.68,5519500
2025-04-30,334.44,346.52,333.24,345.5,343.64,9526700
2025-05-01,345.58,345.72,340.12,342.45,340.61,5849900
2025-05-02,347.22,350.09,346.12,347.6,345.73,6113700
2025-05-05,347.0,351.05,346.12,348.64,346.76,3865300
2025-05-06,346.4,349.65,345.76,347.7,345.83,3438500
2025-05-07,348.7,351.15,347.21,349.85,347.97,5454000
2025-05-08,352.0,355.33,350.95,351.27,349.38,4156400
2025-05-09,351.83,353.8,350.67,352.54,350.64,3086600
2025-05-12,359.14,361.89,351.13,355.85,353.93,7985400
2025-05-13,355.52,358.87,354.58,356.14,354.81,5406200
2025-05-14,356.67,358.41,355.21,356.46,355.13,6207600
2025-05-15,356.89,363.73,356.68,362.3,360.95,5826100
2025-05-16,362.95,366.19,360.89,365.12,363.76,5838100
2025-05-19,363.02,369.15,362.32,367.9,366.53,5081500
2025-05-20,367.78,368.25,364.69,366.84,365.47,5281400
2025-05-21,363.72,365.99,358.08,358.3,356.96,6125500
2025-05-22,357.76,360.0,356.56,357.97,356.63,4936600
2025-05-23,353.75,356.0,352.22,353.54,352.22,5345900
2025-05-27,355.41,360.0,354.48,359.3,357.96,6316000
2025-05-28,359.34,360.91,358.04,359.73,358.39,3299000
2025-05-29,360.35,363.04,358.72,362.4,361.05,4590400
