Date,Open,High,Low,Close,Adj Close,Volume
2025-01-29,107.71,108.78,107.47,108.67,104.82,12345500
2025-01-30,109.24,109.85,108.7,109.57,105.69,14346300
2025-01-31,110.55,110.55,106.1,106.83,103.05,20376500
2025-02-03,106.64,107.3,105.32,107.09,103.3,14623200
2025-02-04,106.71,110.28,106.53,109.96,106.07,14835700
2025-02-05,109.74,110.01,109.1,109.88,105.99,13364400
2025-02-06,110.77,111.05,107.99,108.43,104.59,13411400
2025-02-07,108.78,109.73,108.32,108.89,105.04,10051600
2025-02-10,110.01,111.03,109.88,110.97,107.04,12142200
2025-02-11,111.6,112.51,110.82,111.67,107.72,12713100
2025-02-12,110.05,110.23,107.18,107.35,104.48,18244100
2025-02-13,107.15,108.41,106.52,108.13,105.23,15460000
2025-02-14,108.52,110.23,108.1,108.24,105.34,15733500
2025-02-18,108.63,110.99,108.32,110.14,107.19,20060300
2025-02-19,110.76,112.13,110.06,110.3,107.35,10964700
2025-02-20,110.57,112.42,109.95,112.0,109.0,16325800
2025-02-21,111.32,111.85,110.56,110.69,107.73,14710000
2025-02-24,110.93,111.86,110.32,111.27,108.29,13153500
2025-02-25,111.3,112.13,108.89,109.73,106.79,14497000
2025-02-26,109.74,109.87,108.52,109.46,106.53,10446400
2025-02-27,110.01,111.29,109.28,110.15,107.2,15293200
2025-02-28,110.11,111.58,109.34,111.33,108.35,18821700
2025-03-03,111.7,112.16,106.51,107.76,104.87,18706900
2025-03-04,106.36,108.96,105.94,107.54,104.66,19394900
2025-03-05,105.84,106.33,103.67,105.44,102.62,24822200
2025-03-06,105.43,108.11,104.36,107.62,104.74,17150200
2025-03-07,108.41,110.4,108.3,109.02,106.1,19625000
2025-03-10,109.28,112.57,109.08,111.8,108.81,22749100
2025-03-11,111.92,112.1,108.79,109.16,106.24,19904700
2025-03-12,109.05,110.13,108.42,109.13,106.21,14051500
2025-03-13,108.33,110.82,107.63,108.67,105.76,17767800
2025-03-14,108.94,112.18,108.31,111.9,108.9,15890100
2025-03-17,111.8,114.5,111.73,113.76,110.71,19908800
2025-03-18,114.09,114.54,112.57,113.64,110.6,15998700
2025-03-19,114.2,115.82,113.83,115.41,112.32,17315000
2025-03-20,114.72,116.47,114.21,115.9,112.8,16230800
2025-03-21,115.5,115.99,114.35,115.5,112.41,41102800
2025-03-24,115.68,116.91,115.58,115.8,112.7,14207500
2025-03-25,116.43,117.64,115.96,116.59,113.47,12081800
2025-03-26,117.68,119.18,117.68,118.27,115.1,14110800
2025-03-27,118.1,119.07,117.26,117.89,114.73,12740800
2025-03-28,118.1,118.46,117.24,117.73,114.58,10233400
2025-03-31,117.79,119.91,117.79,118.93,115.75,21652300
2025-04-01,119.22,119.28,117.93,119.04,115.85,12425400
2025-04-02,118.39,118.84,117.66,118.67,115.49,12614600
2025-04-03,114.37,115.45,112.23,112.43,109.42,21204600
2025-04-04,109.87,110.83,103.83,104.34,101.55,30841300
2025-04-07,100.39,105.8,98.46,102.94,100.18,35068500
2025-04-08,105.46,105.6,99.01,100.77,98.07,27147800
2025-04-09,99.37,106.58,98.13,105.8,102.97,30063300
2025-04-10,103.71,103.78,97.8,99.93,97.25,33999300
2025-04-11,100.3,103.93,98.79,103.14,100.38,22884600
2025-04-14,105.03,105.09,102.72,103.39,100.62,18020000
2025-04-15,103.64,105.41,103.0,103.1,100.34,13164900
2025-04-16,103.95,105.59,103.7,104.19,101.4,13607000
2025-04-17,104.69,108.55,104.46,106.92,104.06,17916500
2025-04-21,105.61,105.63,104.12,105.35,102.53,16926500
2025-04-22,106.14,108.94,106.14,108.3,105.4,13147000
2025-04-23,108.81,109.3,106.47,107.37,104.5,14235700
2025-04-24,107.97,108.88,106.96,108.63,105.72,9849600
2025-04-25,108.14,108.76,107.42,108.57,105.66,11245800
